"id_prov";"id_kab";"id_kategori_luas_lahan_tani";"id_kec";"prov";"kab";"kec";"kategori_luas_lahan_tani";"n_utp_kategori_luas_lahan_tani";"n_upb_kategori_luas_lahan_tani";"n_utl_kategori_luas_lahan_tani"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.1";"[5310010] PAGA";"53";"5310";"5310010";"Usaha Pertanian Tanpa Lahan Pertanian";"121.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.2";"[5310010] PAGA";"53";"5310";"5310010";"Usaha Pertanian yang Menguasai Lahan Pertanian (>0 ha)";"2856.00";"0.00";"1.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310010] PAGA";"53";"5310";"5310010";"< 1";"2371.00";"0.00";"1.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"10";"[5310010] PAGA";"53";"5310";"5310010";"500-999";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"11";"[5310010] PAGA";"53";"5310";"5310010";">=1000";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310010] PAGA";"53";"5310";"5310010";"1-1,99";"386.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310010] PAGA";"53";"5310";"5310010";"2-4,99";"93.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310010] PAGA";"53";"5310";"5310010";"5-9,99";"5.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310010] PAGA";"53";"5310";"5310010";"10-19,99";"1.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310010] PAGA";"53";"5310";"5310010";"20-49,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310010] PAGA";"53";"5310";"5310010";"50-99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"8";"[5310010] PAGA";"53";"5310";"5310010";"100-199";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"9";"[5310010] PAGA";"53";"5310";"5310010";"200-499";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.1";"[5310011] MEGO";"53";"5310";"5310011";"Usaha Pertanian Tanpa Lahan Pertanian";"70.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.2";"[5310011] MEGO";"53";"5310";"5310011";"Usaha Pertanian yang Menguasai Lahan Pertanian (>0 ha)";"2338.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310011] MEGO";"53";"5310";"5310011";"< 1";"1266.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"10";"[5310011] MEGO";"53";"5310";"5310011";"500-999";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"11";"[5310011] MEGO";"53";"5310";"5310011";">=1000";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310011] MEGO";"53";"5310";"5310011";"1-1,99";"693.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310011] MEGO";"53";"5310";"5310011";"2-4,99";"356.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310011] MEGO";"53";"5310";"5310011";"5-9,99";"19.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310011] MEGO";"53";"5310";"5310011";"10-19,99";"3.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310011] MEGO";"53";"5310";"5310011";"20-49,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310011] MEGO";"53";"5310";"5310011";"50-99";"1.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"8";"[5310011] MEGO";"53";"5310";"5310011";"100-199";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"9";"[5310011] MEGO";"53";"5310";"5310011";"200-499";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.1";"[5310012] TANA WAWO";"53";"5310";"5310012";"Usaha Pertanian Tanpa Lahan Pertanian";"11.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0.2";"[5310012] TANA WAWO";"53";"5310";"5310012";"Usaha Pertanian yang Menguasai Lahan Pertanian (>0 ha)";"1759.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310012] TANA WAWO";"53";"5310";"5310012";"< 1";"1196.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"10";"[5310012] TANA WAWO";"53";"5310";"5310012";"500-999";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"11";"[5310012] TANA WAWO";"53";"5310";"5310012";">=1000";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310012] TANA WAWO";"53";"5310";"5310012";"1-1,99";"435.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310012] TANA WAWO";"53";"5310";"5310012";"2-4,99";"127.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310012] TANA WAWO";"53";"5310";"5310012";"5-9,99";"1.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310012] TANA WAWO";"53";"5310";"5310012";"10-19,99";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310012] TANA WAWO";"53";"5310";"5310012";"20-49,99";"0.00";"0.00";"0.00"
