"id_prov";"id_kab";"id_kategori_subsektor";"id_kec";"prov";"kab";"kec";"kategori_subsektor";"n_utp_subsektor_st2023";"n_upb_subsektor_st2023";"n_utl_subsektor_st2023";"n_total_subsektor_st2023"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0";"[5310010] PAGA";"53";"5310";"5310010";"Pertanian";"2977";"0";"1";"2978"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310010] PAGA";"53";"5310";"5310010";"Tanaman Pangan";"2065";"0";"1";"2066"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.1";"[5310010] PAGA";"53";"5310";"5310010";"Padi";"1517";"0";"1";"1518"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.2";"[5310010] PAGA";"53";"5310";"5310010";"Palawija";"1200";"0";"0";"1200"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310010] PAGA";"53";"5310";"5310010";"Hortikultura";"521";"0";"0";"521"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310010] PAGA";"53";"5310";"5310010";"Perkebunan";"1979";"0";"0";"1979"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310010] PAGA";"53";"5310";"5310010";"Peternakan";"1518";"0";"0";"1518"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310010] PAGA";"53";"5310";"5310010";"Perikanan";"120";"0";"0";"120"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.1";"[5310010] PAGA";"53";"5310";"5310010";"Budidaya Ikan";"1";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.2";"[5310010] PAGA";"53";"5310";"5310010";"Penangkapan Ikan";"119";"0";"0";"119"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310010] PAGA";"53";"5310";"5310010";"Kehutanan";"485";"0";"0";"485"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310010] PAGA";"53";"5310";"5310010";"Jasa Pertanian";"16";"0";"0";"16"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0";"[5310011] MEGO";"53";"5310";"5310011";"Pertanian";"2408";"0";"0";"2408"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310011] MEGO";"53";"5310";"5310011";"Tanaman Pangan";"1790";"0";"0";"1790"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.1";"[5310011] MEGO";"53";"5310";"5310011";"Padi";"1564";"0";"0";"1564"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.2";"[5310011] MEGO";"53";"5310";"5310011";"Palawija";"744";"0";"0";"744"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310011] MEGO";"53";"5310";"5310011";"Hortikultura";"684";"0";"0";"684"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310011] MEGO";"53";"5310";"5310011";"Perkebunan";"2047";"0";"0";"2047"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310011] MEGO";"53";"5310";"5310011";"Peternakan";"1741";"0";"0";"1741"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310011] MEGO";"53";"5310";"5310011";"Perikanan";"13";"0";"0";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.1";"[5310011] MEGO";"53";"5310";"5310011";"Budidaya Ikan";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.2";"[5310011] MEGO";"53";"5310";"5310011";"Penangkapan Ikan";"13";"0";"0";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310011] MEGO";"53";"5310";"5310011";"Kehutanan";"414";"0";"0";"414"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310011] MEGO";"53";"5310";"5310011";"Jasa Pertanian";"24";"0";"0";"24"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"0";"[5310012] TANA WAWO";"53";"5310";"5310012";"Pertanian";"1770";"0";"0";"1770"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310012] TANA WAWO";"53";"5310";"5310012";"Tanaman Pangan";"1568";"0";"0";"1568"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.1";"[5310012] TANA WAWO";"53";"5310";"5310012";"Padi";"1558";"0";"0";"1558"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1.2";"[5310012] TANA WAWO";"53";"5310";"5310012";"Palawija";"467";"0";"0";"467"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310012] TANA WAWO";"53";"5310";"5310012";"Hortikultura";"450";"0";"0";"450"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310012] TANA WAWO";"53";"5310";"5310012";"Perkebunan";"1583";"0";"0";"1583"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310012] TANA WAWO";"53";"5310";"5310012";"Peternakan";"1305";"0";"0";"1305"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310012] TANA WAWO";"53";"5310";"5310012";"Perikanan";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.1";"[5310012] TANA WAWO";"53";"5310";"5310012";"Budidaya Ikan";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5.2";"[5310012] TANA WAWO";"53";"5310";"5310012";"Penangkapan Ikan";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310012] TANA WAWO";"53";"5310";"5310012";"Kehutanan";"555";"0";"0";"555"
