"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_pertanian";"n_rtup_tanaman_pangan";"n_rtup_tanaman_pangan_padi";"n_rtup_tanaman_pangan_palawija";"n_rtup_hortikultura";"n_rtup_perkebunan";"n_rtup_peternakan";"n_rtup_perikanan";"n_rtup_perikanan_budidaya";"n_rtup_perikanan_penangkapan";"n_rtup_kehutanan";"n_rtup_jasa_pertanian"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"2802";"2009";"1478";"1181";"518";"1944";"1500";"115";"1";"114";"477";"16"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"2391";"1781";"1556";"740";"681";"2035";"1734";"13";"0";"13";"414";"24"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"1767";"1567";"1557";"467";"450";"1580";"1303";"0";"0";"0";"555";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"1926";"1020";"32";"1016";"675";"1593";"1311";"127";"0";"127";"87";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"2128";"1053";"221";"1050";"979";"2032";"1388";"59";"1";"58";"520";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"2154";"870";"76";"867";"962";"2110";"1618";"13";"2";"11";"308";"20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"1293";"906";"799";"377";"234";"1243";"726";"20";"0";"20";"91";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"4345";"3389";"3180";"1770";"1516";"3137";"2958";"697";"4";"693";"2117";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"4552";"3007";"2062";"1934";"1888";"3862";"3170";"157";"4";"153";"893";"17"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"1642";"1511";"1508";"464";"299";"1562";"798";"12";"4";"8";"555";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"2055";"1180";"97";"1171";"1046";"1319";"1494";"79";"0";"79";"424";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1653";"809";"131";"801";"1154";"1634";"1341";"0";"0";"0";"899";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"3312";"2211";"19";"2207";"1033";"2000";"2722";"67";"0";"67";"660";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"1869";"1804";"0";"1804";"27";"1387";"627";"168";"0";"168";"7";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"1290";"772";"65";"758";"807";"1132";"767";"0";"0";"0";"266";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"1066";"686";"10";"681";"577";"803";"856";"3";"2";"1";"250";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"3781";"2153";"945";"1892";"2096";"3331";"2433";"4";"3";"1";"1090";"29"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"2478";"1894";"1577";"931";"906";"1438";"1607";"186";"0";"186";"183";"30"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"2575";"1320";"54";"1298";"575";"1014";"1443";"553";"1";"552";"60";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"2567";"1036";"174";"997";"438";"625";"1379";"733";"3";"730";"53";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"3024";"1627";"75";"1593";"563";"1288";"2193";"506";"4";"502";"368";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"50670";"32605";"15616";"23999";"17424";"37069";"33368";"3512";"29";"3483";"10277";"237"
