"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_putp_0_15";"n_putp_15_24";"n_putp_25_34";"n_putp_35_44";"n_putp_45_54";"n_putp_55_64";"n_putp_65plus";"n_putp";"n_putp_cek"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"0";"2";"54";"184";"214";"245";"161";"860";"860"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"0";"1";"23";"84";"104";"121";"93";"426";"426"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"3";"28";"50";"91";"97";"67";"336";"336"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"0";"2";"14";"41";"70";"82";"101";"310";"310"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"0";"4";"17";"66";"149";"208";"239";"683";"683"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"0";"7";"33";"68";"103";"118";"98";"427";"427"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"2";"18";"26";"46";"54";"41";"187";"187"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"0";"21";"102";"185";"256";"252";"167";"983";"983"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"1";"24";"101";"191";"276";"325";"198";"1116";"1116"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"2";"28";"55";"85";"81";"63";"314";"314"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"5";"28";"83";"153";"198";"152";"619";"619"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"5";"23";"60";"94";"126";"92";"400";"400"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"0";"7";"71";"197";"284";"341";"287";"1187";"1187"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"0";"2";"26";"104";"153";"203";"242";"730";"730"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"0";"3";"9";"17";"79";"92";"94";"294";"294"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"0";"3";"9";"30";"60";"95";"89";"286";"286"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"0";"6";"42";"143";"266";"255";"232";"944";"944"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"11";"45";"116";"147";"159";"98";"576";"576"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"0";"12";"141";"274";"298";"230";"132";"1087";"1087"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"8";"60";"184";"209";"204";"95";"760";"760"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"2";"35";"87";"161";"195";"159";"639";"639"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"1";"132";"907";"2245";"3298";"3681";"2900";"13164";"13164"
