"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_subsektor_1";"n_rtup_subsektor_2";"n_rtup_subsektor_3";"n_rtup_subsektor_4";"n_rtup_subsektor_5";"n_rtup_subsektor_6";"n_rtup_subsektor_7";"n_rtup_subsektor";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"617";"1018";"811";"289";"65";"2";"0";"2802";"2802"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"272";"610";"909";"538";"61";"1";"0";"2391";"2391"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"91";"339";"764";"468";"105";"0";"0";"1767";"1767"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"338";"684";"544";"323";"37";"0";"0";"1926";"1926"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"300";"561";"628";"460";"174";"5";"0";"2128";"2128"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"259";"704";"657";"411";"119";"4";"0";"2154";"2154"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"164";"459";"554";"104";"10";"2";"0";"1293";"1293"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"589";"898";"907";"1050";"879";"22";"0";"4345";"4345"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"514";"1195";"1615";"912";"299";"17";"0";"4552";"4552"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"82";"512";"642";"323";"82";"1";"0";"1642";"1642"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"415";"548";"482";"457";"153";"0";"0";"2055";"2055"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"85";"282";"397";"445";"441";"3";"0";"1653";"1653"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"611";"969";"964";"579";"188";"1";"0";"3312";"3312"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"326";"999";"486";"52";"6";"0";"0";"1869";"1869"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"153";"316";"394";"348";"78";"1";"0";"1290";"1290"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"123";"265";"300";"262";"116";"0";"0";"1066";"1066"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"450";"911";"1146";"951";"316";"7";"0";"3781";"3781"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"487";"768";"757";"384";"78";"4";"0";"2478";"2478"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"1126";"760";"463";"193";"33";"0";"0";"2575";"2575"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1420";"709";"328";"100";"10";"0";"0";"2567";"2567"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1188";"734";"661";"299";"141";"1";"0";"3024";"3024"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"9610";"14241";"14409";"8948";"3391";"71";"0";"50670";"50670"
