"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_usaha_utama_tanaman_pangan";"n_rtup_usaha_utama_hortikultura";"n_rtup_usaha_utama_perkebunan";"n_rtup_usaha_utama_peternakan";"n_rtup_usaha_utama_perikanan";"n_rtup_usaha_utama_kehutanan";"n_rtup_usaha_utama_jasa_pertanian";"n_rtup_usaha_utama_total"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"863";"90";"1428";"278";"110";"21";"12";"2802"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"413";"93";"1606";"231";"13";"20";"15";"2391"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"223";"94";"1261";"183";"0";"4";"2";"1767"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"134";"60";"1360";"252";"116";"3";"1";"1926"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"47";"50";"1779";"188";"53";"6";"5";"2128"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"45";"121";"1833";"132";"8";"7";"8";"2154"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"207";"39";"920";"108";"18";"0";"1";"1293"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"1186";"77";"1881";"465";"681";"51";"4";"4345"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"783";"254";"2867";"480";"142";"17";"9";"4552"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"610";"9";"929";"68";"7";"19";"0";"1642"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"367";"220";"744";"630";"79";"9";"6";"2055"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"48";"61";"1457";"77";"0";"6";"4";"1653"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"1267";"111";"953";"885";"67";"22";"7";"3312"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"394";"2";"1124";"222";"127";"0";"0";"1869"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"248";"87";"768";"172";"0";"9";"6";"1290"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"288";"59";"419";"264";"2";"32";"2";"1066"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"425";"531";"2485";"304";"2";"13";"21";"3781"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1265";"255";"402";"352";"175";"16";"13";"2478"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"773";"208";"252";"864";"470";"4";"4";"2575"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"538";"254";"279";"761";"727";"1";"7";"2567"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"788";"81";"591";"1051";"497";"16";"0";"3024"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"10912";"2756";"25338";"7967";"3294";"276";"127";"50670"
