"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_jasa_tani";"n_rtup_jasa_tani_pengolahan_lahan";"n_rtup_jasa_tani_pemupukan_penanaman_bibit_dan_pengendalian_hama";"n_rtup_jasa_tani_pemanenan";"n_rtup_jasa_tani_penyemprotan_penyerbukan_melalui_udara";"n_rtup_jasa_tani_penunjang_pertanian_lain";"n_rtup_jasa_tani_pelayanan_kesehatan_ternak";"n_rtup_jasa_tani_perkawinan_ternak";"n_rtup_jasa_tani_penetasan_telur";"n_rtup_jasa_tani_penunjang_ternak_lain";"n_rtup_jasa_tani_pasca_panen";"n_rtup_jasa_tani_pemilihan_benih_tuk_pengembangbiakan";"n_rtup_jasa_tani_penggunaan_kawasan_hutan";"n_rtup_jasa_tani_perlindungan_hutan_dan_konversi_alam";"n_rtup_jasa_tani_rehabilitasi_dan_restorasi_hutan_sosial";"n_rtup_jasa_tani_perencanaan_kehutanan";"n_rtup_jasa_tani_penunjang_kehutanan_lain";"n_rtup_jasa_tani_sarana_prod_tangkap_ikan_di_laut";"n_rtup_jasa_tani_prod_tangkap_ikan_di_laut";"n_rtup_jasa_tani_pasca_panen_tangkap_ikan_di_laut";"n_rtup_jasa_tani_sarana_prod_tangkap_ikan_di_air_darat";"n_rtup_jasa_tani_prod_tangkap_ikan_di_air_darat";"n_rtup_jasa_tani_pasca_panen_tangkap_ikan_di_air_darat";"n_rtup_jasa_tani_sarana_prod_budidaya_ikan_di_laut";"n_rtup_jasa_tani_prod_budidaya_ikan_di_laut";"n_rtup_jasa_tani_pasca_panen_budidaya_ikan_di_laut";"n_rtup_jasa_tani_sarana_prod_budidaya_ikan_di_air_tawar";"n_rtup_jasa_tani_prod_budidaya_ikan_di_air_tawar";"n_rtup_jasa_tani_pasca_panen_budidaya_ikan_di_air_tawar";"n_rtup_jasa_tani_sarana_prod_budidaya_ikan_di_air_payau";"n_rtup_jasa_tani_prod_budidaya_ikan_di_air_payau";"n_rtup_jasa_tani_pasca_panen_budidaya_ikan_di_air_payau"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"16";"3";"0";"1";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"24";"8";"0";"10";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"3";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"15";"3";"0";"8";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"20";"0";"0";"3";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"19";"0";"0";"3";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"17";"0";"0";"2";"2";"8";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
