"id_prov";"id_kab";"id_gol_luas_lahan";"id_kec";"prov";"kab";"kec";"gol_luas_lahan";"n_rtup_gol_luas_lahan_st2023"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310010] PAGA";"53";"5310";"5310010";"<1000";"556"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310010] PAGA";"53";"5310";"5310010";"1000-1999";"378"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310010] PAGA";"53";"5310";"5310010";"2000-4999";"643"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310010] PAGA";"53";"5310";"5310010";"5000-9999";"704"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310010] PAGA";"53";"5310";"5310010";"10000-19999";"404"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310010] PAGA";"53";"5310";"5310010";"20000-29999";"85"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310010] PAGA";"53";"5310";"5310010";">=30000";"32"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310011] MEGO";"53";"5310";"5310011";"<1000";"222"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310011] MEGO";"53";"5310";"5310011";"1000-1999";"70"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310011] MEGO";"53";"5310";"5310011";"2000-4999";"336"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310011] MEGO";"53";"5310";"5310011";"5000-9999";"669"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310011] MEGO";"53";"5310";"5310011";"10000-19999";"704"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310011] MEGO";"53";"5310";"5310011";"20000-29999";"240"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310011] MEGO";"53";"5310";"5310011";">=30000";"150"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310012] TANA WAWO";"53";"5310";"5310012";"<1000";"55"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310012] TANA WAWO";"53";"5310";"5310012";"1000-1999";"101"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310012] TANA WAWO";"53";"5310";"5310012";"2000-4999";"455"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310012] TANA WAWO";"53";"5310";"5310012";"5000-9999";"587"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310012] TANA WAWO";"53";"5310";"5310012";"10000-19999";"439"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310012] TANA WAWO";"53";"5310";"5310012";"20000-29999";"104"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310012] TANA WAWO";"53";"5310";"5310012";">=30000";"26"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310020] LELA";"53";"5310";"5310020";"<1000";"364"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310020] LELA";"53";"5310";"5310020";"1000-1999";"161"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310020] LELA";"53";"5310";"5310020";"2000-4999";"421"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310020] LELA";"53";"5310";"5310020";"5000-9999";"475"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310020] LELA";"53";"5310";"5310020";"10000-19999";"369"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310020] LELA";"53";"5310";"5310020";"20000-29999";"85"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310020] LELA";"53";"5310";"5310020";">=30000";"51"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310030] BOLA";"53";"5310";"5310030";"<1000";"177"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310030] BOLA";"53";"5310";"5310030";"1000-1999";"415"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310030] BOLA";"53";"5310";"5310030";"2000-4999";"789"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310030] BOLA";"53";"5310";"5310030";"5000-9999";"544"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310030] BOLA";"53";"5310";"5310030";"10000-19999";"168"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310030] BOLA";"53";"5310";"5310030";"20000-29999";"28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310030] BOLA";"53";"5310";"5310030";">=30000";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310031] DORENG";"53";"5310";"5310031";"<1000";"50"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310031] DORENG";"53";"5310";"5310031";"1000-1999";"106"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310031] DORENG";"53";"5310";"5310031";"2000-4999";"766"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310031] DORENG";"53";"5310";"5310031";"5000-9999";"787"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310031] DORENG";"53";"5310";"5310031";"10000-19999";"353"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310031] DORENG";"53";"5310";"5310031";"20000-29999";"64"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310031] DORENG";"53";"5310";"5310031";">=30000";"28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310032] MAPITARA";"53";"5310";"5310032";"<1000";"17"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310032] MAPITARA";"53";"5310";"5310032";"1000-1999";"66"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310032] MAPITARA";"53";"5310";"5310032";"2000-4999";"465"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310032] MAPITARA";"53";"5310";"5310032";"5000-9999";"508"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310032] MAPITARA";"53";"5310";"5310032";"10000-19999";"184"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310032] MAPITARA";"53";"5310";"5310032";"20000-29999";"34"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310032] MAPITARA";"53";"5310";"5310032";">=30000";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310040] TALIBURA";"53";"5310";"5310040";"<1000";"710"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310040] TALIBURA";"53";"5310";"5310040";"1000-1999";"428"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310040] TALIBURA";"53";"5310";"5310040";"2000-4999";"796"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310040] TALIBURA";"53";"5310";"5310040";"5000-9999";"1003"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310040] TALIBURA";"53";"5310";"5310040";"10000-19999";"1012"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310040] TALIBURA";"53";"5310";"5310040";"20000-29999";"286"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310040] TALIBURA";"53";"5310";"5310040";">=30000";"110"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310041] WAIGETE";"53";"5310";"5310041";"<1000";"478"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2";"[5310041] WAIGETE";"53";"5310";"5310041";"1000-1999";"754"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3";"[5310041] WAIGETE";"53";"5310";"5310041";"2000-4999";"1668"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4";"[5310041] WAIGETE";"53";"5310";"5310041";"5000-9999";"1049"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"5";"[5310041] WAIGETE";"53";"5310";"5310041";"10000-19999";"493"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"6";"[5310041] WAIGETE";"53";"5310";"5310041";"20000-29999";"79"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"7";"[5310041] WAIGETE";"53";"5310";"5310041";">=30000";"31"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1";"[5310042] WAIBLAMA";"53";"5310";"5310042";"<1000";"18"
