"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_utp_pengguna_lahan_tanaman_pangan";"n_utp_pengguna_lahan_hortikultura";"n_utp_pengguna_lahan_perkebunan";"n_utp_pengguna_lahan_peternakan";"n_utp_pengguna_lahan_perikanan_pembudidaya_ikan";"n_utp_pengguna_lahan_kehutanan";"n_utp_petani_gurem_tanaman_pangan";"n_utp_petani_gurem_hortikultura";"n_utp_petani_gurem_perkebunan";"n_utp_petani_gurem_peternakan";"n_utp_petani_gurem_perikanan_pembudidaya_ikan";"n_utp_petani_gurem_kehutanan"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"2065";"521";"1979";"1477";"1";"483";"1246";"259";"858";"833";"0";"157"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"1789";"682";"2044";"1679";"0";"412";"417";"153";"342";"363";"0";"41"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"1568";"450";"1582";"1294";"0";"554";"521";"108";"491";"461";"0";"115"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"1034";"681";"1624";"1231";"0";"86";"513";"240";"677";"560";"0";"22"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"1082";"995";"2117";"1395";"1";"519";"726";"648";"1429";"936";"0";"325"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"892";"989";"2221";"1639";"2";"317";"389";"442";"1058";"763";"1";"88"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"940";"249";"1338";"743";"0";"91";"471";"76";"669";"359";"0";"17"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"3612";"1577";"3326";"2940";"4";"2201";"1441";"337";"985";"1139";"2";"429"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"3181";"1959";"4169";"3271";"4";"894";"2072";"1361";"2746";"2206";"3";"500"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"1544";"298";"1588";"807";"3";"556";"355";"66";"343";"144";"0";"76"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1195";"1055";"1340";"1475";"0";"425";"878";"727";"869";"1106";"0";"228"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"827";"1212";"1739";"1382";"0";"926";"388";"586";"898";"701";"0";"419"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"2262";"1037";"2035";"2571";"0";"660";"1680";"747";"1435";"1942";"0";"446"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"1817";"27";"1394";"627";"0";"7";"1644";"21";"1212";"544";"0";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"781";"815";"1148";"772";"0";"267";"566";"573";"807";"567";"0";"163"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"688";"577";"806";"834";"2";"250";"605";"523";"713";"746";"2";"215"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"2193";"2169";"3443";"2447";"3";"1098";"1090";"1095";"1661";"1299";"2";"451"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1977";"921";"1501";"1535";"0";"172";"1358";"691";"995";"1091";"0";"77"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"1341";"564";"1033";"1116";"1";"59";"1195";"505";"883";"1001";"1";"36"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1053";"468";"634";"1262";"3";"41";"935";"436";"540";"1174";"3";"36"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1650";"542";"1307";"1757";"4";"365";"950";"338";"620";"1149";"3";"166"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"33491";"17788";"38368";"32254";"28";"10383";"19440";"9932";"20231";"19084";"17";"4012"
