"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_putp_tidak_sekolah";"n_putp_tidak_sd";"n_putp_sd";"n_putp_sltp";"n_putp_slta_pertanian";"n_putp_slta_non_pertanian";"n_putp_slta";"n_putp_diploma_pertanian";"n_putp_diploma_non_pertanian";"n_putp_diploma";"n_putp_s1_pertanian";"n_putp_s1_non_pertanian";"n_putp_s1";"n_putp_profesi";"n_putp_s2s3_pertanian";"n_putp_s2s3_non_pertanian";"n_putp_s2s3";"n_putp";"n_putp_cek"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"91";"1210";"832";"320";"12";"377";"389";"1";"33";"34";"5";"94";"99";"0";"0";"2";"2";"2977";"2977"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"406";"807";"610";"247";"7";"244";"251";"3";"14";"17";"3";"66";"69";"0";"0";"1";"1";"2408";"2408"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"129";"525";"802";"115";"4";"130";"134";"4";"15";"19";"1";"44";"45";"0";"0";"1";"1";"1770";"1770"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"39";"787";"671";"184";"3";"249";"252";"0";"22";"22";"1";"42";"43";"0";"0";"2";"2";"2000";"2000"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"93";"978";"681";"176";"5";"246";"251";"3";"19";"22";"4";"35";"39";"0";"0";"0";"0";"2240";"2240"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"263";"762";"661";"194";"7";"290";"297";"3";"18";"21";"6";"77";"83";"0";"0";"2";"2";"2283";"2283"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"234";"601";"353";"87";"5";"122";"127";"1";"3";"4";"1";"32";"33";"0";"0";"0";"0";"1439";"1439"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"191";"1074";"2397";"393";"23";"444";"467";"4";"27";"31";"9";"110";"119";"1";"0";"1";"1";"4674";"4674"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"393";"1607";"1768";"462";"29";"534";"563";"4";"31";"35";"12";"124";"136";"0";"0";"2";"2";"4966";"4966"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"150";"184";"1081";"99";"8";"120";"128";"1";"7";"8";"3";"27";"30";"0";"0";"0";"0";"1680";"1680"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"107";"795";"604";"191";"31";"256";"287";"2";"33";"35";"3";"109";"112";"1";"0";"3";"3";"2135";"2135"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"79";"721";"454";"177";"6";"250";"256";"1";"25";"26";"5";"57";"62";"1";"0";"0";"0";"1776";"1776"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"72";"1084";"1216";"322";"13";"470";"483";"5";"52";"57";"10";"212";"222";"1";"0";"5";"5";"3462";"3462"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"180";"488";"1046";"56";"13";"79";"92";"1";"3";"4";"2";"22";"24";"0";"0";"0";"0";"1890";"1890"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"6";"347";"572";"145";"2";"190";"192";"1";"10";"11";"5";"41";"46";"0";"0";"0";"0";"1319";"1319"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"8";"425";"311";"107";"16";"163";"179";"2";"11";"13";"2";"37";"39";"1";"0";"2";"2";"1085";"1085"
