"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_krt_0_15";"n_rtup_krt_15_24";"n_rtup_krt_25_34";"n_rtup_krt_35_44";"n_rtup_krt_45_54";"n_rtup_krt_55_64";"n_rtup_krt_65plus";"n_rtup_krt";"n_rtup_cek"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"0";"1";"35";"133";"172";"189";"133";"663";"663"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"0";"1";"22";"84";"99";"114";"88";"408";"408"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"3";"29";"48";"88";"93";"69";"330";"330"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"0";"1";"12";"36";"68";"75";"92";"284";"284"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"0";"1";"10";"48";"108";"171";"237";"575";"575"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"0";"4";"26";"58";"82";"101";"87";"358";"358"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"2";"10";"17";"39";"45";"30";"143";"143"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"0";"12";"70";"170";"229";"226";"162";"869";"869"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"1";"13";"64";"139";"223";"280";"163";"883";"883"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"1";"24";"51";"79";"76";"61";"292";"292"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"2";"15";"48";"100";"156";"153";"474";"474"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"4";"16";"52";"67";"107";"79";"325";"325"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"0";"3";"29";"110";"194";"253";"240";"829";"829"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"0";"1";"27";"94";"149";"194";"240";"705";"705"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"0";"2";"7";"12";"62";"83";"92";"258";"258"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"0";"3";"7";"20";"53";"84";"86";"253";"253"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"0";"1";"24";"80";"184";"190";"211";"690";"690"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"5";"26";"71";"107";"126";"83";"418";"418"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"0";"2";"15";"45";"82";"138";"88";"370";"370"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"2";"9";"55";"92";"139";"78";"375";"375"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"1";"10";"57";"113";"167";"160";"508";"508"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"1";"65";"487";"1428";"2390";"3007";"2632";"10010";"10010"
