"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_art_10thn_plus";"n_putp_tp_h_kebun_ternak";"n_putp_perikanan_kehutanan";"n_putp_jasa_pertanian";"n_pekerja_tp_h_kebun_ternak";"n_pekerja_perikanan_kehutanan";"n_pekerja_jasa_pertanian";"n_putp_lainnya";"n_pekerja_lainnya";"n_putp_all";"n_putp_all_non_jasa_pertanian";"n_putp_cek"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"2931";"2038";"496";"16";"551";"168";"2";"479";"700";"2117";"2114";"2977"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"2880";"1978";"389";"23";"860";"3";"4";"375";"349";"1982";"1978";"2408"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"2245";"1434";"495";"3";"756";"0";"0";"132";"174";"1434";"1434";"1770"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"2258";"1660";"208";"2";"560";"8";"2";"525";"543";"1690";"1690";"2000"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"2277";"1547";"424";"15";"552";"27";"7";"365";"464";"1557";"1556";"2240"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"2695";"1856";"289";"20";"783";"0";"1";"269";"426";"1856";"1856";"2283"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"1640";"1252";"104";"2";"338";"0";"0";"104";"182";"1252";"1252";"1439"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"5125";"3363";"2403";"19";"1241";"118";"5";"341";"632";"3691";"3691";"4674"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"5416";"3824";"876";"17";"1300";"7";"25";"866";"831";"3850";"3849";"4966"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"1847";"1366";"484";"3";"459";"0";"8";"136";"112";"1366";"1366";"1680"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"2207";"1458";"401";"8";"259";"10";"1";"499";"704";"1516";"1516";"2135"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"2148";"1376";"742";"6";"707";"0";"0";"870";"342";"1376";"1376";"1776"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"3842";"2234";"518";"9";"902";"21";"2";"677";"1401";"2275";"2274";"3462"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"1995";"1150";"171";"0";"751";"76";"1";"198";"310";"1160";"1160";"1890"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"1598";"1024";"223";"11";"405";"1";"4";"480";"536";"1025";"1024";"1319"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"1362";"798";"197";"6";"429";"1";"1";"393";"619";"799";"798";"1085"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"4476";"3031";"896";"29";"965";"1";"4";"1209";"1198";"3039";"3033";"3983"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"2796";"2011";"333";"28";"475";"56";"13";"184";"433";"2129";"2129";"2705"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"3336";"1401";"603";"6";"647";"477";"3";"583";"1117";"1835";"1833";"2923"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"3190";"1394";"906";"7";"163";"437";"8";"401";"1043";"2126";"2125";"2887"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"3308";"2174";"795";"1";"318";"57";"0";"74";"1474";"2447";"2447";"3086"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"59572";"38369";"11953";"231";"13421";"1468";"91";"9160";"13590";"40522";"40501";"53688"
