"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_gol_luas_lahan_less1000";"n_rtup_gol_luas_lahan_1000_1999";"n_rtup_gol_luas_lahan_2000_4999";"n_rtup_gol_luas_lahan_5000_9999";"n_rtup_gol_luas_lahan_10000_19999";"n_rtup_gol_luas_lahan_20000_29999";"n_rtup_gol_luas_lahan_30000_39999";"n_rtup_gol_luas_lahan_40000_49999";"n_rtup_gol_luas_lahan_50000_99999";"n_rtup_gol_luas_lahan_100000_199999";"n_rtup_gol_luas_lahan_200000_299999";"n_rtup_gol_luas_lahan_300000_399999";"n_rtup_gol_luas_lahan_400000_499999";"n_rtup_gol_luas_lahan_500000_999999";"n_rtup_gol_luas_lahan_1000000_1999999";"n_rtup_gol_luas_lahan_2000000_4999999";"n_rtup_gol_luas_lahan_5000000_9999999";"n_rtup_gol_luas_lahan_10000000plus";"n_rtup_luas_lahan";"n_rtup_cek"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"490";"378";"639";"706";"404";"85";"20";"6";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2734";"2734"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"153";"70";"334";"666";"708";"241";"85";"32";"26";"6";"0";"0";"0";"1";"0";"0";"0";"0";"2322";"2322"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"45";"101";"455";"586";"440";"103";"23";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1757";"1757"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"252";"161";"416";"473";"371";"90";"22";"19";"9";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1814";"1814"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"141";"414";"787";"545";"169";"28";"6";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2091";"2091"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"28";"106";"755";"795";"356";"64";"14";"5";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2132";"2132"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"12";"66";"463";"508";"186";"34";"15";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1288";"1288"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"280";"427";"792";"1005";"1013";"285";"69";"22";"19";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3913";"3913"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"416";"752";"1656";"1057";"494";"78";"22";"3";"5";"2";"0";"0";"0";"0";"0";"0";"0";"0";"4485";"4485"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"13";"45";"247";"517";"644";"127";"21";"11";"10";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1637";"1637"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"503";"338";"556";"408";"131";"27";"5";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1969";"1969"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"57";"125";"571";"541";"289";"51";"8";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1649";"1649"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"547";"514";"945";"688";"318";"49";"7";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3070";"3070"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"693";"524";"441";"152";"40";"9";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1861";"1861"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"265";"248";"397";"244";"100";"19";"10";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1286";"1286"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"219";"175";"357";"240";"40";"8";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1040";"1040"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"426";"367";"1053";"1004";"647";"184";"40";"16";"23";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3760";"3760"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"325";"387";"755";"446";"272";"61";"12";"6";"5";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2270";"2270"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"1156";"404";"289";"130";"51";"16";"6";"2";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2057";"2057"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"988";"345";"260";"109";"88";"16";"5";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1816";"1816"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"665";"300";"511";"480";"289";"39";"4";"3";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2296";"2296"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"7674";"6247";"12679";"11300";"7050";"1614";"397";"135";"132";"16";"2";"0";"0";"1";"0";"0";"0";"0";"47247";"47247"
