"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"mean_luas_lahan_sawah";"mean_luas_lahan_bukan_sawah";"mean_luas_lahan_padang_rumput_sementara";"mean_luas_lahan_padang_rumput_permanen";"mean_luas_lahan_menunggu_penanaman";"mean_luas_lahan_tanaman_tahunan";"mean_luas_lahan_kandang_ternak";"mean_luas_lahan_kehutanan";"mean_luas_lahan_budidaya_ikan";"mean_luas_bukan_lahan_pertanian";"mean_luas_lahan_dikuasai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"244.23";"832.64";"0.00";"0.62";"784.51";"3083.20";"9.03";"125.69";"0.01";"151.32";"5231.25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"373.75";"1788.87";"4.82";"3.58";"599.06";"8352.02";"47.34";"115.94";"0.00";"290.12";"11575.48"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"172.42";"1930.37";"42.09";"54.34";"1340.57";"4484.19";"69.51";"127.53";"0.00";"11.52";"8232.54"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"5.88";"598.05";"0.00";"2.69";"56.57";"5875.85";"8.96";"7.31";"0.00";"2.42";"6557.73"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"3.50";"194.40";"0.56";"22.72";"498.46";"3560.30";"10.40";"26.10";"0.02";"124.91";"4441.37"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"0.64";"252.25";"3.54";"63.48";"877.60";"5075.65";"22.02";"53.78";"0.20";"279.04";"6628.20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"1.06";"1196.40";"0.89";"12.38";"737.26";"3968.46";"26.10";"14.43";"0.00";"87.81";"6044.79"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"187.75";"2247.21";"6.11";"14.94";"367.86";"4365.76";"19.30";"532.71";"0.57";"197.90";"7940.10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"128.30";"972.91";"1.26";"1.48";"155.06";"2887.39";"7.31";"52.18";"0.05";"133.63";"4339.56"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"282.47";"2544.32";"12.33";"32.09";"812.12";"6102.99";"56.01";"179.52";"0.21";"859.35";"10881.40"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1.60";"748.16";"0.21";"9.43";"866.61";"1792.71";"10.71";"33.62";"0.00";"107.28";"3570.35"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0.36";"244.95";"0.26";"41.50";"497.11";"5169.06";"13.83";"61.52";"0.00";"186.11";"6214.69"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"11.74";"1739.58";"0.00";"0.00";"94.62";"1441.04";"18.40";"71.04";"0.00";"754.65";"4131.06"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"3.14";"647.38";"4.98";"0.00";"106.11";"1306.80";"4.29";"0.44";"0.00";"76.04";"2149.20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"31.83";"713.19";"0.00";"0.00";"47.47";"2916.85";"16.78";"46.19";"0.00";"78.12";"3850.41"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"12.26";"824.47";"0.00";"0.00";"107.01";"978.71";"6.45";"157.20";"0.02";"983.72";"3069.85"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"113.58";"638.86";"3.35";"11.17";"226.29";"5361.78";"20.23";"96.36";"0.01";"303.95";"6775.58"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1461.30";"608.48";"0.00";"17.27";"423.91";"1326.42";"7.92";"23.81";"0.00";"489.16";"4358.28"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"50.52";"884.87";"6.64";"7.25";"71.00";"670.55";"6.17";"24.35";"0.04";"123.15";"1844.53"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"62.15";"549.43";"0.06";"3.59";"213.13";"577.45";"17.49";"15.20";"0.02";"357.29";"1795.80"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"58.82";"2092.44";"22.16";"35.61";"358.23";"1414.81";"11.26";"40.12";"0.01";"77.26";"4110.71"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"167.76";"1103.59";"4.81";"14.76";"415.23";"3431.10";"18.39";"103.22";"0.07";"259.88";"5518.83"
