"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_gol_luas_lahan_0";"n_rtup_gol_luas_lahan_less1000";"n_rtup_gol_luas_lahan_1000_1999";"n_rtup_gol_luas_lahan_2000_4999";"n_rtup_gol_luas_lahan_5000_9999";"n_rtup_gol_luas_lahan_10000_19999";"n_rtup_gol_luas_lahan_20000_29999";"n_rtup_gol_luas_lahan_30000_39999";"n_rtup_gol_luas_lahan_40000_49999";"n_rtup_gol_luas_lahan_50000_99999";"n_rtup_gol_luas_lahan_100000_199999";"n_rtup_gol_luas_lahan_200000_299999";"n_rtup_gol_luas_lahan_300000_399999";"n_rtup_gol_luas_lahan_400000_499999";"n_rtup_gol_luas_lahan_500000_999999";"n_rtup_gol_luas_lahan_1000000_1999999";"n_rtup_gol_luas_lahan_2000000_4999999";"n_rtup_gol_luas_lahan_5000000_9999999";"n_rtup_gol_luas_lahan_10000000plus";"n_rtup_luas_lahan";"n_rtup_cek"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"68";"563";"344";"628";"683";"400";"85";"19";"6";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2734";"2802"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"69";"167";"63";"335";"672";"696";"240";"84";"32";"26";"6";"0";"0";"0";"1";"0";"0";"0";"0";"2322";"2391"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"10";"48";"109";"448";"586";"438";"102";"22";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1757";"1767"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"112";"293";"158";"410";"470";"349";"85";"21";"18";"9";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1814";"1926"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"37";"178";"414";"782";"524";"159";"27";"6";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2091";"2128"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"22";"36";"125";"763";"779";"338";"65";"12";"5";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2132";"2154"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"5";"16";"78";"517";"455";"172";"33";"14";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1288";"1293"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"432";"399";"360";"774";"986";"1004";"284";"64";"22";"19";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3913";"4345"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"67";"617";"792";"1529";"974";"467";"76";"20";"3";"6";"1";"0";"0";"0";"0";"0";"0";"0";"0";"4485";"4552"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"5";"27";"42";"272";"515";"623";"115";"21";"10";"10";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1637";"1642"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"86";"610";"297";"533";"380";"119";"24";"5";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1969";"2055"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"4";"66";"142";"578";"530";"269";"49";"8";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1649";"1653"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"242";"711";"484";"889";"638";"292";"48";"7";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3070";"3312"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"8";"739";"496";"429";"147";"39";"9";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1861";"1869"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"4";"327";"224";"383";"234";"94";"17";"5";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1286";"1290"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"26";"254";"167";"351";"226";"33";"8";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1040";"1066"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"21";"522";"358";"1014";"980";"629";"179";"41";"15";"22";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3760";"3781"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"208";"487";"416";"652";"385";"248";"59";"11";"6";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2270";"2478"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"518";"1249";"352";"258";"122";"50";"15";"7";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2057";"2575"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"751";"1207";"216";"188";"99";"83";"14";"4";"1";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1816";"2567"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"728";"768";"247";"481";"470";"282";"36";"4";"3";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2296";"3024"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"3423";"9284";"5884";"12214";"10855";"6784";"1570";"378";"131";"130";"15";"1";"0";"0";"1";"0";"0";"0";"0";"47247";"50670"
