"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_utp_gol_luas_lahan_less1000";"n_utp_gol_luas_lahan_1000_1999";"n_utp_gol_luas_lahan_2000_4999";"n_utp_gol_luas_lahan_5000_9999";"n_utp_gol_luas_lahan_10000_19999";"n_utp_gol_luas_lahan_20000_29999";"n_utp_gol_luas_lahan_30000_39999";"n_utp_gol_luas_lahan_40000_49999";"n_utp_gol_luas_lahan_50000_99999";"n_utp_gol_luas_lahan_100000_199999";"n_utp_gol_luas_lahan_200000_299999";"n_utp_gol_luas_lahan_300000_399999";"n_utp_gol_luas_lahan_400000_499999";"n_utp_gol_luas_lahan_500000_999999";"n_utp_gol_luas_lahan_1000000_1999999";"n_utp_gol_luas_lahan_2000000_4999999";"n_utp_gol_luas_lahan_5000000_9999999";"n_utp_gol_luas_lahan_10000000plus";"n_utp_luas_lahan";"n_utp_cek"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"557";"400";"672";"714";"402";"81";"20";"6";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2858";"2858"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"156";"71";"335";"680";"709";"238";"86";"33";"24";"6";"0";"0";"0";"1";"0";"0";"0";"0";"2339";"2339"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"45";"101";"456";"588";"439";"103";"23";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1759";"1759"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"263";"166";"427";"492";"374";"89";"22";"17";"9";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1860";"1860"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"167";"457";"825";"546";"159";"26";"6";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2187";"2187"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"40";"118";"842";"829";"351";"53";"13";"4";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2259";"2259"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"20";"94";"536";"533";"182";"30";"12";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1411";"1411"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"305";"470";"880";"1139";"1066";"241";"59";"19";"17";"1";"0";"0";"0";"0";"0";"0";"0";"0";"4197";"4197"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"464";"891";"1871";"1097";"466";"71";"18";"2";"6";"1";"0";"0";"0";"0";"0";"0";"0";"0";"4887";"4887"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"15";"48";"267";"539";"638";"126";"19";"12";"9";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1675";"1675"
