"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_utp_gol_luas_lahan_0";"n_utp_gol_luas_lahan_less1000";"n_utp_gol_luas_lahan_1000_1999";"n_utp_gol_luas_lahan_2000_4999";"n_utp_gol_luas_lahan_5000_9999";"n_utp_gol_luas_lahan_10000_19999";"n_utp_gol_luas_lahan_20000_29999";"n_utp_gol_luas_lahan_30000_39999";"n_utp_gol_luas_lahan_40000_49999";"n_utp_gol_luas_lahan_50000_99999";"n_utp_gol_luas_lahan_100000_199999";"n_utp_gol_luas_lahan_200000_299999";"n_utp_gol_luas_lahan_300000_399999";"n_utp_gol_luas_lahan_400000_499999";"n_utp_gol_luas_lahan_500000_999999";"n_utp_gol_luas_lahan_1000000_1999999";"n_utp_gol_luas_lahan_2000000_4999999";"n_utp_gol_luas_lahan_5000000_9999999";"n_utp_gol_luas_lahan_10000000plus";"n_utp_luas_lahan";"n_utp_cek"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"121";"645";"361";"674";"691";"386";"70";"17";"6";"5";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2856";"2977"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"70";"171";"65";"349";"681";"693";"243";"80";"33";"19";"3";"0";"0";"0";"1";"0";"0";"0";"0";"2338";"2408"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"11";"48";"109";"450";"589";"435";"102";"22";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1759";"1770"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"140";"310";"159";"422";"487";"351";"84";"21";"16";"9";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1860";"2000"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"54";"208";"457";"833";"517";"145";"23";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2186";"2240"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"24";"51";"153";"886";"806";"298";"46";"8";"6";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2259";"2283"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"28";"32";"110";"585";"485";"159";"28";"9";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1411";"1439"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"478";"443";"410";"895";"1116";"1017";"234";"49";"16";"15";"1";"0";"0";"0";"0";"0";"0";"0";"0";"4196";"4674"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"81";"743";"959";"1695";"983";"421";"63";"13";"2";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4885";"4966"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"5";"35";"50";"324";"600";"532";"99";"16";"11";"6";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1675";"1680"
