"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_utp_sertifikat_hak_milik";"n_utp_sertifikat_hak_guna_bangunan";"n_utp_sertifikat_hak_milik_atas_srs";"n_utp_sertifikat_hak_guna_usaha";"n_utp_sertifikat_hak_pakai";"n_utp_letter_c";"n_utp_lahan_garapan";"n_utp_tanpa_dokumen_resmi";"n_utp_sewa_perjanjian_tertulis";"n_utp_sewa_tanpa_perjanjian_tertulis";"n_utp_menggarap_lahan_orang_lain";"n_utp_milik_negara_adat_program_perhutanan_sosial";"n_utp_milik_negara_adat_selain_program_perhutanan_sosial";"n_utp_milik_negara_adat_tanpa_perjanjian_tertulis";"n_utp_menempati_tanpa_izin";"n_utp_lainnya";"n_utp_lebih_dari1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"445";"0";"0";"0";"8";"1537";"11";"157";"40";"86";"963";"0";"0";"1";"0";"17";"393"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"251";"0";"0";"0";"0";"1954";"3";"7";"0";"19";"209";"1";"0";"0";"0";"0";"105"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"17";"0";"0";"0";"1";"1551";"0";"99";"0";"6";"163";"1";"0";"1";"0";"1";"80"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"640";"3";"0";"1";"4";"765";"203";"278";"2";"21";"93";"0";"0";"0";"0";"10";"153"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"953";"4";"0";"1";"1";"779";"14";"56";"17";"60";"439";"109";"0";"0";"4";"4";"237"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"768";"0";"0";"0";"54";"1385";"2";"167";"3";"77";"131";"82";"17";"15";"0";"0";"402"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"10";"0";"0";"0";"0";"1158";"0";"245";"2";"35";"47";"8";"0";"4";"0";"0";"97"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"1715";"3";"0";"0";"1";"1622";"202";"406";"14";"90";"654";"104";"8";"39";"0";"8";"630"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"1811";"0";"0";"2";"4";"1369";"78";"1083";"18";"195";"600";"397";"5";"42";"0";"4";"666"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"686";"0";"0";"0";"3";"971";"64";"48";"0";"1";"178";"74";"2";"0";"0";"0";"338"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1156";"0";"0";"0";"1";"371";"10";"119";"8";"159";"520";"2";"1";"0";"1";"36";"343"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1053";"1";"1";"1";"8";"650";"2";"97";"11";"28";"95";"12";"1";"4";"0";"0";"199"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"2037";"2";"1";"0";"2";"442";"28";"254";"28";"189";"581";"2";"0";"18";"0";"21";"394"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"20";"0";"0";"0";"0";"1704";"37";"21";"0";"0";"113";"0";"0";"0";"0";"0";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"239";"0";"0";"0";"0";"840";"0";"120";"2";"30";"314";"1";"0";"0";"0";"2";"225"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"536";"1";"0";"1";"2";"343";"6";"67";"2";"19";"249";"0";"1";"0";"1";"3";"165"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"1461";"3";"1";"0";"7";"1682";"12";"102";"9";"69";"1231";"4";"0";"0";"1";"3";"595"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1404";"2";"1";"0";"0";"462";"55";"211";"38";"312";"493";"2";"1";"1";"0";"13";"501"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"989";"0";"0";"0";"4";"440";"20";"261";"9";"43";"496";"0";"2";"27";"10";"3";"183"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1397";"0";"0";"1";"0";"69";"39";"13";"17";"203";"324";"0";"2";"23";"1";"1";"172"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1104";"0";"0";"0";"9";"560";"0";"418";"9";"14";"429";"1";"5";"2";"1";"2";"205"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"18692";"19";"4";"7";"109";"20654";"786";"4229";"229";"1656";"8322";"800";"45";"177";"19";"128";"6102"
