"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_penyebab_kekeringan";"n_rtup_penyebab_hama";"n_rtup_penyebab_penyakit";"n_rtup_penyebab_banjir";"n_rtup_penyebab_panen_sebagian";"n_rtup_penyebab_dirusak_oleh_hewan";"n_rtup_penyebab_pencurian";"n_rtup_penyebab_lainnya"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310010] PAGA";"53";"5310";"5310010";"3";"98";"0";"0";"0";"2";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310011] MEGO";"53";"5310";"5310011";"3";"45";"1";"0";"0";"2";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310012] TANA WAWO";"53";"5310";"5310012";"2";"31";"3";"5";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310020] LELA";"53";"5310";"5310020";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310030] BOLA";"53";"5310";"5310030";"0";"0";"0";"0";"0";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310031] DORENG";"53";"5310";"5310031";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310032] MAPITARA";"53";"5310";"5310032";"1";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310040] TALIBURA";"53";"5310";"5310040";"14";"99";"21";"0";"2";"1";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310041] WAIGETE";"53";"5310";"5310041";"16";"18";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310042] WAIBLAMA";"53";"5310";"5310042";"2";"3";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310052] KANGAE";"53";"5310";"5310052";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310062] KOTING";"53";"5310";"5310062";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310070] NITA";"53";"5310";"5310070";"0";"24";"1";"0";"0";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310071] MAGEPANDA";"53";"5310";"5310071";"12";"46";"12";"0";"5";"1";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310080] ALOK";"53";"5310";"5310080";"2";"2";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310081] ALOK BARAT";"53";"5310";"5310081";"2";"2";"0";"0";"0";"2";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"1";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310] SIKKA";"53";"5310";"5310999";"57";"369";"38";"5";"7";"10";"2";"3"
