"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_utp_jagung";"n_utp_tanaman_pangan_jagung";"n_utp_tanaman_pangan_jagung_hibrida";"n_utp_tanaman_pangan_jagung_komposit";"n_utp_tanaman_pangan_jagung_lokal";"n_utp_hortikultura_jagung";"n_utp_hortikultura_jagung_manis";"n_utp_hortikultura_jagung_baby"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"1120";"1120";"17";"1";"1102";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"542";"542";"86";"0";"457";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"366";"365";"0";"1";"364";"1";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"405";"404";"34";"0";"381";"1";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"569";"569";"6";"0";"564";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"108";"108";"0";"0";"108";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"140";"140";"1";"0";"139";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"1462";"1461";"136";"0";"1327";"1";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"1651";"1530";"87";"14";"1435";"135";"133";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"457";"456";"11";"0";"445";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1133";"1128";"21";"6";"1110";"7";"7";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"248";"248";"0";"0";"248";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"2102";"2100";"40";"10";"2055";"3";"1";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"1443";"1443";"2";"0";"1443";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"598";"598";"22";"0";"580";"1";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"658";"658";"26";"2";"637";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"1408";"1401";"42";"1";"1374";"14";"4";"10"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310071] MAGEPANDA";"53";"5310";"5310071";"722";"710";"33";"1";"679";"18";"12";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310080] ALOK";"53";"5310";"5310080";"1268";"1266";"178";"5";"1220";"3";"3";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310081] ALOK BARAT";"53";"5310";"5310081";"988";"985";"52";"36";"926";"6";"5";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1580";"1580";"526";"6";"1380";"1";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310] SIKKA";"53";"5310";"5310999";"18968";"18812";"1320";"83";"17974";"192";"170";"22"
