"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_budidaya";"n_utp_pembibitan";"n_utp_budidaya_dan_pembibitan";"n_utp_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213";"[5310010] PAGA";"53";"5310";"5310010";"17";"0";"0";"17";"17"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213";"[5310011] MEGO";"53";"5310";"5310011";"86";"0";"0";"86";"86"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213";"[5310020] LELA";"53";"5310";"5310020";"34";"0";"0";"34";"34"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213";"[5310030] BOLA";"53";"5310";"5310030";"6";"0";"0";"6";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213";"[5310031] DORENG";"53";"5310";"5310031";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213";"[5310032] MAPITARA";"53";"5310";"5310032";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213";"[5310040] TALIBURA";"53";"5310";"5310040";"136";"0";"0";"136";"136"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213";"[5310041] WAIGETE";"53";"5310";"5310041";"87";"0";"0";"87";"87"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213";"[5310042] WAIBLAMA";"53";"5310";"5310042";"11";"0";"0";"11";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213";"[5310050] KEWAPANTE";"53";"5310";"5310050";"19";"1";"1";"21";"21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213";"[5310052] KANGAE";"53";"5310";"5310052";"40";"0";"0";"40";"40"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213";"[5310061] PALUE";"53";"5310";"5310061";"2";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213";"[5310062] KOTING";"53";"5310";"5310062";"22";"0";"0";"22";"22"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213";"[5310063] NELLE";"53";"5310";"5310063";"26";"0";"0";"26";"26"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213";"[5310070] NITA";"53";"5310";"5310070";"42";"0";"0";"42";"42"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213";"[5310071] MAGEPANDA";"53";"5310";"5310071";"33";"0";"0";"33";"33"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213";"[5310080] ALOK";"53";"5310";"5310080";"178";"0";"0";"178";"178"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213";"[5310081] ALOK BARAT";"53";"5310";"5310081";"52";"0";"0";"52";"52"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"526";"0";"0";"526";"526"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213";"[5310] SIKKA";"53";"5310";"5310999";"1318";"1";"1";"1320";"1320"
