"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_dipanen_sendiri";"n_utp_diijonkan";"n_utp_ditebaskan";"n_utp_belum_panen_habis";"n_utp_puso";"n_utp_tidak_panen";"n_utp_belum_panen";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310010] PAGA";"53";"5310";"5310010";"632";"0";"0";"2";"77";"22";"276";"652"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310011] MEGO";"53";"5310";"5310011";"442";"0";"0";"0";"5";"17";"132";"452"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310012] TANA WAWO";"53";"5310";"5310012";"238";"0";"0";"0";"1";"0";"31";"239"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310020] LELA";"53";"5310";"5310020";"5";"0";"0";"0";"0";"0";"0";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310030] BOLA";"53";"5310";"5310030";"4";"0";"0";"0";"0";"0";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310031] DORENG";"53";"5310";"5310031";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310032] MAPITARA";"53";"5310";"5310032";"1";"0";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310040] TALIBURA";"53";"5310";"5310040";"430";"0";"0";"1";"0";"4";"205";"453"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310041] WAIGETE";"53";"5310";"5310041";"255";"0";"0";"1";"1";"0";"60";"287"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310042] WAIBLAMA";"53";"5310";"5310042";"150";"0";"0";"0";"0";"2";"5";"155"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310050] KEWAPANTE";"53";"5310";"5310050";"3";"0";"0";"0";"0";"0";"1";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310052] KANGAE";"53";"5310";"5310052";"3";"0";"0";"0";"0";"0";"1";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310062] KOTING";"53";"5310";"5310062";"16";"0";"0";"0";"0";"0";"3";"17"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310063] NELLE";"53";"5310";"5310063";"8";"0";"0";"0";"0";"0";"2";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310070] NITA";"53";"5310";"5310070";"256";"0";"0";"0";"5";"0";"103";"263"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1325";"0";"0";"7";"15";"4";"908";"1352"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310080] ALOK";"53";"5310";"5310080";"22";"0";"0";"1";"0";"1";"10";"24"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310081] ALOK BARAT";"53";"5310";"5310081";"32";"0";"0";"0";"0";"0";"10";"35"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"47";"0";"0";"0";"0";"0";"4";"48"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1103_1104";"[5310] SIKKA";"53";"5310";"5310999";"3869";"0";"0";"12";"104";"50";"1751";"4001"
