"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp";"sum_luas_tanam";"mean_luas_tanam_per_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1207";"[5310010] PAGA";"53";"5310";"5310010";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1207";"[5310011] MEGO";"53";"5310";"5310011";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1207";"[5310012] TANA WAWO";"53";"5310";"5310012";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1207";"[5310020] LELA";"53";"5310";"5310020";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1207";"[5310030] BOLA";"53";"5310";"5310030";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1207";"[5310031] DORENG";"53";"5310";"5310031";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1207";"[5310032] MAPITARA";"53";"5310";"5310032";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1207";"[5310040] TALIBURA";"53";"5310";"5310040";"1";"0.05";"500.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1207";"[5310041] WAIGETE";"53";"5310";"5310041";"2";"0.33";"1650.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1207";"[5310042] WAIBLAMA";"53";"5310";"5310042";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1207";"[5310050] KEWAPANTE";"53";"5310";"5310050";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1207";"[5310051] HEWOKLOANG";"53";"5310";"5310051";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1207";"[5310052] KANGAE";"53";"5310";"5310052";"2";"0.53";"2650.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1207";"[5310061] PALUE";"53";"5310";"5310061";"16";"1.27";"793.75"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1207";"[5310062] KOTING";"53";"5310";"5310062";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1207";"[5310063] NELLE";"53";"5310";"5310063";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1207";"[5310070] NITA";"53";"5310";"5310070";"1";"0.03";"300.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1207";"[5310071] MAGEPANDA";"53";"5310";"5310071";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1207";"[5310080] ALOK";"53";"5310";"5310080";"1";"0.30";"3000.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1207";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1207";"[5310082] ALOK TIMUR";"53";"5310";"5310082";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1207";"[5310] SIKKA";"53";"5310";"5310999";"24";"2.50";"1041.66"
