"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_penyebab_kekeringan";"n_utp_penyebab_hama";"n_utp_penyebab_penyakit";"n_utp_penyebab_banjir";"n_utp_penyebab_panen_sebagian";"n_utp_penyebab_dirusak_oleh_hewan";"n_utp_penyebab_pencurian";"n_utp_penyebab_lainnya"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310010] PAGA";"53";"5310";"5310010";"87";"76";"8";"1";"5";"228";"1";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310011] MEGO";"53";"5310";"5310011";"32";"58";"2";"0";"1";"53";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310012] TANA WAWO";"53";"5310";"5310012";"19";"17";"0";"0";"1";"46";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310020] LELA";"53";"5310";"5310020";"23";"7";"7";"0";"2";"10";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310030] BOLA";"53";"5310";"5310030";"95";"112";"18";"0";"7";"128";"1";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310031] DORENG";"53";"5310";"5310031";"7";"4";"3";"0";"1";"6";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310032] MAPITARA";"53";"5310";"5310032";"8";"0";"25";"0";"0";"7";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310040] TALIBURA";"53";"5310";"5310040";"152";"332";"104";"2";"8";"153";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310041] WAIGETE";"53";"5310";"5310041";"609";"217";"6";"0";"2";"41";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310042] WAIBLAMA";"53";"5310";"5310042";"8";"81";"104";"0";"1";"28";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310050] KEWAPANTE";"53";"5310";"5310050";"63";"41";"0";"0";"3";"23";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"17";"15";"0";"0";"2";"2";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310052] KANGAE";"53";"5310";"5310052";"131";"141";"9";"0";"1";"18";"3";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310061] PALUE";"53";"5310";"5310061";"253";"12";"1";"0";"14";"27";"0";"375"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310062] KOTING";"53";"5310";"5310062";"3";"22";"17";"0";"0";"0";"1";"29"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310063] NELLE";"53";"5310";"5310063";"11";"5";"9";"0";"3";"7";"3";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310070] NITA";"53";"5310";"5310070";"42";"171";"15";"0";"69";"105";"2";"33"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310071] MAGEPANDA";"53";"5310";"5310071";"22";"8";"5";"2";"1";"46";"0";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310080] ALOK";"53";"5310";"5310080";"15";"26";"6";"1";"11";"7";"0";"60"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310081] ALOK BARAT";"53";"5310";"5310081";"56";"9";"0";"0";"1";"7";"2";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"99";"6";"1";"1";"2";"19";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1213_1215";"[5310] SIKKA";"53";"5310";"5310999";"1752";"1360";"340";"7";"135";"961";"13";"587"
