"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_budidaya";"n_rtup_pembibitan";"n_rtup_budidaya_dan_pembibitan";"n_rtup_jumlah";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310010] PAGA";"53";"5310";"5310010";"640";"0";"0";"640";"640"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310011] MEGO";"53";"5310";"5310011";"451";"0";"0";"451";"451"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310012] TANA WAWO";"53";"5310";"5310012";"239";"0";"0";"239";"239"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310020] LELA";"53";"5310";"5310020";"5";"0";"0";"5";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310030] BOLA";"53";"5310";"5310030";"4";"0";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310031] DORENG";"53";"5310";"5310031";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310032] MAPITARA";"53";"5310";"5310032";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310040] TALIBURA";"53";"5310";"5310040";"444";"0";"0";"444";"444"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310041] WAIGETE";"53";"5310";"5310041";"280";"0";"0";"280";"280"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310042] WAIBLAMA";"53";"5310";"5310042";"152";"0";"0";"152";"152"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310050] KEWAPANTE";"53";"5310";"5310050";"3";"0";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310052] KANGAE";"53";"5310";"5310052";"3";"0";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310062] KOTING";"53";"5310";"5310062";"17";"0";"0";"17";"17"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310063] NELLE";"53";"5310";"5310063";"8";"0";"0";"8";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310070] NITA";"53";"5310";"5310070";"260";"0";"0";"260";"260"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1315";"0";"0";"1315";"1315"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310080] ALOK";"53";"5310";"5310080";"24";"0";"0";"24";"24"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310081] ALOK BARAT";"53";"5310";"5310081";"35";"0";"0";"35";"35"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"48";"0";"0";"48";"48"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310] SIKKA";"53";"5310";"5310999";"3929";"0";"0";"3929";"3929"
