"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_dipanen_sendiri";"n_rtup_diijonkan";"n_rtup_ditebaskan";"n_rtup_belum_panen_habis";"n_rtup_puso";"n_rtup_tidak_panen";"n_rtup_belum_panen";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310010] PAGA";"53";"5310";"5310010";"992";"0";"0";"6";"286";"87";"6";"1086"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310011] MEGO";"53";"5310";"5310011";"441";"0";"0";"0";"3";"10";"5";"454"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310012] TANA WAWO";"53";"5310";"5310012";"320";"0";"0";"0";"1";"11";"94";"364"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310020] LELA";"53";"5310";"5310020";"277";"0";"0";"2";"16";"56";"36";"378"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310030] BOLA";"53";"5310";"5310030";"434";"0";"0";"4";"37";"73";"39";"555"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310031] DORENG";"53";"5310";"5310031";"90";"0";"0";"2";"0";"17";"1";"107"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310032] MAPITARA";"53";"5310";"5310032";"133";"0";"0";"0";"4";"0";"9";"139"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310040] TALIBURA";"53";"5310";"5310040";"1144";"0";"0";"4";"17";"91";"59";"1273"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310041] WAIGETE";"53";"5310";"5310041";"1334";"0";"0";"1";"27";"45";"21";"1398"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310042] WAIBLAMA";"53";"5310";"5310042";"375";"0";"0";"1";"103";"45";"14";"437"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1044";"0";"0";"0";"26";"50";"4";"1097"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"231";"0";"0";"1";"1";"8";"2";"241"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310052] KANGAE";"53";"5310";"5310052";"1960";"0";"0";"3";"11";"12";"28";"2011"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310061] PALUE";"53";"5310";"5310061";"1316";"0";"0";"16";"0";"82";"29";"1440"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310062] KOTING";"53";"5310";"5310062";"536";"0";"0";"1";"22";"24";"6";"575"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310063] NELLE";"53";"5310";"5310063";"629";"0";"0";"0";"1";"1";"5";"636"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310070] NITA";"53";"5310";"5310070";"1281";"0";"0";"13";"134";"40";"21";"1351"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310071] MAGEPANDA";"53";"5310";"5310071";"570";"0";"0";"0";"27";"54";"43";"663"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310080] ALOK";"53";"5310";"5310080";"1166";"0";"0";"12";"5";"17";"12";"1197"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310081] ALOK BARAT";"53";"5310";"5310081";"894";"0";"0";"1";"19";"12";"5";"913"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1357";"0";"0";"1";"2";"40";"3";"1362"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310] SIKKA";"53";"5310";"5310999";"16524";"0";"0";"68";"742";"775";"442";"17677"
