"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_dipanen_sendiri";"n_rtup_diijonkan";"n_rtup_ditebaskan";"n_rtup_belum_panen_habis";"n_rtup_puso";"n_rtup_tidak_panen";"n_rtup_belum_panen";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310010] PAGA";"53";"5310";"5310010";"1009";"0";"0";"6";"293";"88";"7";"1104"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310011] MEGO";"53";"5310";"5310011";"523";"0";"0";"0";"3";"11";"7";"539"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310012] TANA WAWO";"53";"5310";"5310012";"320";"0";"0";"0";"1";"11";"95";"365"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310020] LELA";"53";"5310";"5310020";"296";"0";"0";"2";"20";"57";"37";"401"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310030] BOLA";"53";"5310";"5310030";"436";"0";"0";"4";"37";"76";"40";"560"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310031] DORENG";"53";"5310";"5310031";"90";"0";"0";"2";"0";"17";"1";"107"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310032] MAPITARA";"53";"5310";"5310032";"134";"0";"0";"0";"4";"0";"9";"140"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310040] TALIBURA";"53";"5310";"5310040";"1240";"0";"0";"4";"20";"115";"65";"1398"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310041] WAIGETE";"53";"5310";"5310041";"1425";"0";"0";"1";"29";"47";"22";"1490"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310042] WAIBLAMA";"53";"5310";"5310042";"384";"0";"0";"1";"103";"46";"14";"447"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1060";"0";"0";"0";"26";"50";"6";"1114"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"231";"0";"0";"1";"1";"8";"2";"241"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310052] KANGAE";"53";"5310";"5310052";"2003";"0";"0";"3";"11";"12";"29";"2055"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310061] PALUE";"53";"5310";"5310061";"1316";"0";"0";"16";"0";"82";"29";"1440"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310062] KOTING";"53";"5310";"5310062";"554";"0";"0";"1";"22";"24";"6";"593"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310063] NELLE";"53";"5310";"5310063";"651";"0";"0";"0";"1";"1";"5";"657"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310070] NITA";"53";"5310";"5310070";"1309";"0";"0";"13";"135";"40";"23";"1378"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310071] MAGEPANDA";"53";"5310";"5310071";"595";"0";"0";"0";"29";"56";"44";"693"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310080] ALOK";"53";"5310";"5310080";"1210";"0";"0";"15";"5";"20";"14";"1241"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310081] ALOK BARAT";"53";"5310";"5310081";"951";"0";"0";"1";"19";"12";"5";"970"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1553";"0";"0";"1";"2";"66";"3";"1556"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1213_1214_1215";"[5310] SIKKA";"53";"5310";"5310999";"17290";"0";"0";"71";"761";"839";"463";"18489"
