"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup";"sum_luas_tanam";"mean_luas_tanam_per_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310010] PAGA";"53";"5310";"5310010";"1086";"157.35";"1448.89"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310011] MEGO";"53";"5310";"5310011";"454";"116.44";"2564.75"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310012] TANA WAWO";"53";"5310";"5310012";"364";"64.48";"1771.42"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310020] LELA";"53";"5310";"5310020";"378";"33.80";"894.17"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310030] BOLA";"53";"5310";"5310030";"555";"23.29";"419.63"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310031] DORENG";"53";"5310";"5310031";"107";"12.09";"1129.90"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310032] MAPITARA";"53";"5310";"5310032";"139";"23.70";"1705.03"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310040] TALIBURA";"53";"5310";"5310040";"1273";"125.57";"986.41"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310041] WAIGETE";"53";"5310";"5310041";"1398";"171.34";"1225.60"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310042] WAIBLAMA";"53";"5310";"5310042";"437";"100.03";"2289.01"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1097";"128.08";"1167.54"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"241";"13.38";"555.18"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310052] KANGAE";"53";"5310";"5310052";"2011";"512.58";"2548.88"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310061] PALUE";"53";"5310";"5310061";"1440";"90.13";"625.90"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310062] KOTING";"53";"5310";"5310062";"575";"94.04";"1635.47"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310063] NELLE";"53";"5310";"5310063";"636";"80.46";"1265.09"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310070] NITA";"53";"5310";"5310070";"1351";"98.08";"725.98"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310071] MAGEPANDA";"53";"5310";"5310071";"663";"76.18";"1149.01"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310080] ALOK";"53";"5310";"5310080";"1197";"135.77";"1134.25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310081] ALOK BARAT";"53";"5310";"5310081";"913";"76.64";"839.43"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1362";"395.08";"2900.73"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"1215";"[5310] SIKKA";"53";"5310";"5310999";"17677";"2528.51";"1430.39"
