"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup";"sum_luas_tanam";"mean_luas_tanam_per_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310010] PAGA";"53";"5310";"5310010";"640";"166.45";"2600.84"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310011] MEGO";"53";"5310";"5310011";"451";"130.40";"2891.44"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310012] TANA WAWO";"53";"5310";"5310012";"239";"47.61";"1992.20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310020] LELA";"53";"5310";"5310020";"5";"0.30";"594.40"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310030] BOLA";"53";"5310";"5310030";"4";"0.40";"1003.75"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310031] DORENG";"53";"5310";"5310031";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310032] MAPITARA";"53";"5310";"5310032";"1";"0.15";"1500.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310040] TALIBURA";"53";"5310";"5310040";"444";"143.84";"3239.59"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310041] WAIGETE";"53";"5310";"5310041";"280";"56.67";"2023.98"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310042] WAIBLAMA";"53";"5310";"5310042";"152";"63.00";"4144.95"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310050] KEWAPANTE";"53";"5310";"5310050";"3";"0.59";"1973.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310051] HEWOKLOANG";"53";"5310";"5310051";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310052] KANGAE";"53";"5310";"5310052";"3";"2.05";"6833.33"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310061] PALUE";"53";"5310";"5310061";-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310062] KOTING";"53";"5310";"5310062";"17";"6.69";"3932.58"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310063] NELLE";"53";"5310";"5310063";"8";"1.80";"2255.75"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310070] NITA";"53";"5310";"5310070";"260";"73.08";"2810.75"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1315";"719.59";"5472.13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310080] ALOK";"53";"5310";"5310080";"24";"12.52";"5217.20"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310081] ALOK BARAT";"53";"5310";"5310081";"35";"18.61";"5317.37"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"48";"22.34";"4653.60"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_1103_1104";"[5310] SIKKA";"53";"5310";"5310999";"3929";"1466.10";"3731.48"
