tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_utp_budidaya;n_utp_pembibitan;n_utp_budidaya_dan_pembibitan;n_utp_jumlah;n_utp
BAB_4_tabel_4_07_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310010] PAGA;53;5310;5310010;0;0;0;0;0
BAB_4_tabel_4_07_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310011] MEGO;53;5310;5310011;0;0;0;0;0
BAB_4_tabel_4_07_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310012] TANA WAWO;53;5310;5310012;1;0;0;1;1
BAB_4_tabel_4_07_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310020] LELA;53;5310;5310020;1;0;0;1;1
BAB_4_tabel_4_07_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310030] BOLA;53;5310;5310030;0;0;0;0;0
BAB_4_tabel_4_07_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310031] DORENG;53;5310;5310031;0;0;0;0;0
BAB_4_tabel_4_07_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0
BAB_4_tabel_4_07_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310040] TALIBURA;53;5310;5310040;1;0;0;1;1
BAB_4_tabel_4_07_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310041] WAIGETE;53;5310;5310041;133;0;0;133;133
BAB_4_tabel_4_07_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0
BAB_4_tabel_4_07_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310050] KEWAPANTE;53;5310;5310050;7;0;0;7;7
BAB_4_tabel_4_07_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0
BAB_4_tabel_4_07_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310052] KANGAE;53;5310;5310052;1;0;0;1;1
BAB_4_tabel_4_07_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310061] PALUE;53;5310;5310061;0;0;0;0;0
BAB_4_tabel_4_07_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310062] KOTING;53;5310;5310062;1;0;0;1;1
BAB_4_tabel_4_07_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310063] NELLE;53;5310;5310063;0;0;0;0;0
BAB_4_tabel_4_07_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310070] NITA;53;5310;5310070;4;0;0;4;4
BAB_4_tabel_4_07_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310071] MAGEPANDA;53;5310;5310071;12;0;0;12;12
BAB_4_tabel_4_07_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310080] ALOK;53;5310;5310080;3;0;0;3;3
BAB_4_tabel_4_07_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310081] ALOK BARAT;53;5310;5310081;5;0;0;5;5
BAB_4_tabel_4_07_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310082] ALOK TIMUR;53;5310;5310082;1;0;0;1;1
BAB_4_tabel_4_07_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;1212;[5310] SIKKA;53;5310;5310999;170;0;0;170;170
BAB_4_tabel_4_07_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2201;[5310010] PAGA;53;5310;5310010;0;0;0;0;0
