"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_dipanen_sendiri";"n_utp_diijonkan";"n_utp_ditebaskan";"n_utp_belum_panen_habis";"n_utp_puso";"n_utp_tidak_panen";"n_utp_belum_panen";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2426";"[5310010] PAGA";"53";"5310";"5310010";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2426";"[5310011] MEGO";"53";"5310";"5310011";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2426";"[5310012] TANA WAWO";"53";"5310";"5310012";"1";"0";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2426";"[5310020] LELA";"53";"5310";"5310020";"4";"0";"0";"1";"0";"0";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2426";"[5310030] BOLA";"53";"5310";"5310030";"37";"0";"0";"29";"0";"0";"9";"46"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2426";"[5310031] DORENG";"53";"5310";"5310031";"314";"0";"0";"158";"0";"0";"10";"411"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2426";"[5310032] MAPITARA";"53";"5310";"5310032";"41";"0";"0";"43";"0";"0";"14";"98"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2426";"[5310040] TALIBURA";"53";"5310";"5310040";"4";"0";"0";"0";"0";"1";"0";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2426";"[5310041] WAIGETE";"53";"5310";"5310041";"66";"0";"0";"62";"0";"0";"4";"132"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2426";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2426";"[5310050] KEWAPANTE";"53";"5310";"5310050";"3";"0";"0";"0";"0";"0";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2426";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"45";"0";"0";"26";"0";"0";"6";"56"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2426";"[5310052] KANGAE";"53";"5310";"5310052";"10";"0";"0";"3";"0";"0";"0";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2426";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2426";"[5310062] KOTING";"53";"5310";"5310062";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2426";"[5310063] NELLE";"53";"5310";"5310063";"1";"0";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2426";"[5310070] NITA";"53";"5310";"5310070";"87";"0";"0";"82";"0";"0";"0";"134"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2426";"[5310071] MAGEPANDA";"53";"5310";"5310071";"5";"0";"0";"0";"0";"1";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2426";"[5310080] ALOK";"53";"5310";"5310080";"1";"0";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2426";"[5310081] ALOK BARAT";"53";"5310";"5310081";"6";"0";"0";"0";"0";"1";"0";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2426";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"10";"0";"0";"0";"0";"0";"1";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2426";"[5310] SIKKA";"53";"5310";"5310999";"635";"0";"0";"404";"0";"3";"44";"929"
