tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_utp_dipanen_sendiri;n_utp_diijonkan;n_utp_ditebaskan;n_utp_belum_panen_habis;n_utp_puso;n_utp_tidak_panen;n_utp_belum_panen;n_utp
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310052] KANGAE;53;5310;5310052;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310062] KOTING;53;5310;5310062;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310070] NITA;53;5310;5310070;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310071] MAGEPANDA;53;5310;5310071;1;0;0;0;0;0;0;1
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310080] ALOK;53;5310;5310080;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310081] ALOK BARAT;53;5310;5310081;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310082] ALOK TIMUR;53;5310;5310082;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2202_2204;[5310] SIKKA;53;5310;5310999;1;0;0;0;0;0;0;1
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310010] PAGA;53;5310;5310010;18;0;0;5;0;0;4;21
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310011] MEGO;53;5310;5310011;68;0;0;0;0;0;16;84
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310012] TANA WAWO;53;5310;5310012;88;0;0;1;0;0;75;109
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310020] LELA;53;5310;5310020;16;0;0;4;0;0;14;30
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310030] BOLA;53;5310;5310030;11;0;0;11;0;0;4;16
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310031] DORENG;53;5310;5310031;7;0;0;8;0;0;1;15
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310032] MAPITARA;53;5310;5310032;1;0;0;2;0;0;3;6
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310040] TALIBURA;53;5310;5310040;6;0;0;0;0;0;0;6
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310041] WAIGETE;53;5310;5310041;15;0;0;0;0;0;4;19
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310042] WAIBLAMA;53;5310;5310042;4;0;0;0;0;0;0;4
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310050] KEWAPANTE;53;5310;5310050;14;0;0;7;0;0;2;18
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310051] HEWOKLOANG;53;5310;5310051;6;0;0;0;0;0;1;7
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310052] KANGAE;53;5310;5310052;5;0;0;0;0;0;1;6
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310061] PALUE;53;5310;5310061;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310062] KOTING;53;5310;5310062;13;0;0;1;0;0;7;18
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310063] NELLE;53;5310;5310063;0;0;0;0;0;0;1;1
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310070] NITA;53;5310;5310070;165;0;0;52;0;4;57;218
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310071] MAGEPANDA;53;5310;5310071;22;0;0;3;0;0;4;28
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310080] ALOK;53;5310;5310080;10;0;0;5;0;0;2;13
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310081] ALOK BARAT;53;5310;5310081;14;0;0;0;0;0;2;15
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310082] ALOK TIMUR;53;5310;5310082;5;0;0;1;0;0;0;6
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2410_2413;[5310] SIKKA;53;5310;5310999;488;0;0;100;0;4;198;640
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310012] TANA WAWO;53;5310;5310012;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310020] LELA;53;5310;5310020;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310030] BOLA;53;5310;5310030;1;0;0;0;0;0;0;1
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310032] MAPITARA;53;5310;5310032;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310040] TALIBURA;53;5310;5310040;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310041] WAIGETE;53;5310;5310041;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0;0
BAB_4_tabel_4_09_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2414_2416;[5310051] HEWOKLOANG;53;5310;5310051;0;0;0;0;0;0;0;0
