"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_buah_semusim_blewah";"n_rtup_buah_semusim_melon_lainnya";"n_rtup_buah_semusim_melon_berjaring";"n_rtup_buah_semusim_melon_tidak_berjaring";"n_rtup_buah_semusim_melon";"n_rtup_buah_semusim_mentimun_suri";"n_rtup_buah_semusim_semangka";"n_rtup_buah_semusim_stroberi";"n_rtup_buah_semusim_bengkoang";"n_rtup_buah_semusim_lainnya";"n_rtup_sayuran_semusim_asparagus";"n_rtup_sayuran_semusim_bawang_bombay";"n_rtup_sayuran_semusim_bawang_daun";"n_rtup_sayuran_semusim_bawang_merah";"n_rtup_sayuran_semusim_bawang_prei";"n_rtup_sayuran_semusim_bawang_putih";"n_rtup_sayuran_semusim_bayam";"n_rtup_sayuran_semusim_brokoli";"n_rtup_sayuran_semusim_buncis";"n_rtup_sayuran_semusim_cabai_hijau";"n_rtup_sayuran_semusim_cabai_merah_besar";"n_rtup_sayuran_semusim_cabai_merah_keriting";"n_rtup_sayuran_semusim_cabai_rawit";"n_rtup_sayuran_semusim_cabai";"n_rtup_sayuran_semusim_jamur_kuping";"n_rtup_sayuran_semusim_jamur_merang";"n_rtup_sayuran_semusim_jamur_tiram";"n_rtup_sayuran_semusim_jamur";"n_rtup_sayuran_semusim_kacang_kapri";"n_rtup_sayuran_semusim_kacang_panjang";"n_rtup_sayuran_semusim_kalian";"n_rtup_sayuran_semusim_kangkung";"n_rtup_sayuran_semusim_kembang_kol";"n_rtup_sayuran_semusim_kentang_sayur";"n_rtup_sayuran_semusim_kentang_industri";"n_rtup_sayuran_semusim_kentang";"n_rtup_sayuran_semusim_kubis";"n_rtup_sayuran_semusim_labu_semusim";"n_rtup_sayuran_semusim_lobak";"n_rtup_sayuran_semusim_ketimun";"n_rtup_sayuran_semusim_gambas";"n_rtup_sayuran_semusim_pak_choi";"n_rtup_sayuran_semusim_paprika";"n_rtup_sayuran_semusim_pare";"n_rtup_sayuran_semusim_sawi_putih";"n_rtup_sayuran_semusim_sawi";"n_rtup_sayuran_semusim_seledri";"n_rtup_sayuran_semusim_selada";"n_rtup_sayuran_semusim_terong";"n_rtup_sayuran_semusim_tomat";"n_rtup_sayuran_semusim_wortel";"n_rtup_sayuran_semusim_gedi";"n_rtup_sayuran_semusim_leunca";"n_rtup_sayuran_semusim_okra";"n_rtup_sayuran_semusim_edamame";"n_rtup_sayuran_semusim_jagung_baby";"n_rtup_sayuran_semusim_jagung_manis";"n_rtup_sayuran_semusim_lainnya";"n_rtup_obat_semusim_artemisia";"n_rtup_obat_semusim_brotowali";"n_rtup_obat_semusim_jahe_putih_besar";"n_rtup_obat_semusim_jahe_putih_kecil";"n_rtup_obat_semusim_jahe_merah";"n_rtup_obat_semusim_jahe";"n_rtup_obat_semusim_jamur_ling_zhi";"n_rtup_obat_semusim_keji_beling";"n_rtup_obat_semusim_kemangi";"n_rtup_obat_semusim_kencur";"n_rtup_obat_semusim_kepet";"n_rtup_obat_semusim_kunyit";"n_rtup_obat_semusim_lempuyang";"n_rtup_obat_semusim_lengkuas";"n_rtup_obat_semusim_lidah_buaya";"n_rtup_obat_semusim_pegagan";"n_rtup_obat_semusim_pulepandak";"n_rtup_obat_semusim_purwoceng";"n_rtup_obat_semusim_sambiloto";"n_rtup_obat_semusim_selasih";"n_rtup_obat_semusim_tapak_dara";"n_rtup_obat_semusim_tapak_liman";"n_rtup_obat_semusim_tempuyung";"n_rtup_obat_semusim_temu_giring";"n_rtup_obat_semusim_temu_ireng";"n_rtup_obat_semusim_temu_kunci";"n_rtup_obat_semusim_temu_wiyang";"n_rtup_obat_semusim_temulawak";"n_rtup_obat_semusim_temumangga";"n_rtup_obat_semusim_temuputih";"n_rtup_obat_semusim_lainnya";"n_rtup_hias_semusim_alamanda";"n_rtup_hias_semusim_alpinia";"n_rtup_hias_semusim_anggrek";"n_rtup_hias_semusim_anyelir";"n_rtup_hias_semusim_aglaonema";"n_rtup_hias_semusim_bunga_matahari";"n_rtup_hias_semusim_catleya";"n_rtup_hias_semusim_celosia";"n_rtup_hias_semusim_cocor_bebek";"n_rtup_hias_semusim_cordylene";"n_rtup_hias_semusim_drasena";"n_rtup_hias_semusim_fitonia";"n_rtup_hias_semusim_gladiol";"n_rtup_hias_semusim_hebras";"n_rtup_hias_semusim_kalla_lili";"n_rtup_hias_semusim_kamboja_jepang";"n_rtup_hias_semusim_katsuba";"n_rtup_hias_semusim_kecombrang";"n_rtup_hias_semusim_krisan";"n_rtup_hias_semusim_lantana";"n_rtup_hias_semusim_mawar";"n_rtup_hias_semusim_melati";"n_rtup_hias_semusim_melati_gambir_hutan";"n_rtup_hias_semusim_melati_kosta";"n_rtup_hias_semusim_monstra";"n_rtup_hias_semusim_nanas_nanasan";"n_rtup_hias_semusim_palm_jepang";"n_rtup_hias_semusim_palm_kuning";"n_rtup_hias_semusim_palm_merah";"n_rtup_hias_semusim_palm_waregu";"n_rtup_hias_semusim_peperonia";"n_rtup_hias_semusim_pisang_pisangan";"n_rtup_hias_semusim_pohon_dollar";"n_rtup_hias_semusim_pakis_pakisan";"n_rtup_hias_semusim_pedang_pedangan";"n_rtup_hias_semusim_rose_bombay";"n_rtup_hias_semusim_rumput_peking";"n_rtup_hias_semusim_scindapus";"n_rtup_hias_semusim_sirih_sirihan";"n_rtup_hias_semusim_sedap_malam";"n_rtup_hias_semusim_spathipyllum";"n_rtup_hias_semusim_talas_talasan";"n_rtup_hias_semusim_vanda";"n_rtup_hias_semusim_lainnya"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"8";"13";"21";"0";"0";"0";"0";"0";"1";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"5";"13";"0";"2";"19";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"2";"4";"79";"84";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"12";"0";"2";"12";"21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"6";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"146";"0";"0";"1";"109";"109";"0";"0";"0";"0";"0";"4";"0";"1";"0";"1";"0";"1";"0";"1";"0";"2";"0";"0";"0";"0";"5";"5";"0";"2";"4";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"41";"7";"0";"48";"0";"0";"0";"1";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"3";"0";"27";"30";"0";"0";"0";"0";"0";"2";"0";"11";"1";"0";"0";"0";"0";"4";"0";"0";"1";"0";"0";"12";"1";"13";"1";"0";"25";"29";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"14";"15";"0";"0";"1";"1";"0";"4";"0";"4";"0";"0";"0";"0";"0";"43";"0";"1";"0";"0";"0";"4";"1";"8";"0";"0";"4";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"5";"0";"6";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"1";"0";"14";"15";"0";"0";"0";"0";"0";"5";"0";"3";"1";"0";"0";"0";"0";"402";"0";"1";"0";"0";"0";"4";"5";"34";"0";"1";"9";"9";"28";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"41";"22";"46";"0";"0";"0";"1";"0";"30";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"9";"0";"0";"0";"6";"6";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"96";"0";"0";"0";"0";"0";"1";"2";"14";"0";"0";"0";"2";"13";"0";"0";"0";"0";"0";"0";"1";"1";"0";"64";"1";"5";"70";"0";"0";"0";"0";"0";"66";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"6";"0";"0";"0";"0";"0";"6";"6";"0";"0";"0";"0";"0";"21";"0";"24";"2";"0";"0";"0";"2";"5";"0";"1";"0";"0";"0";"1";"10";"81";"0";"1";"47";"15";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"8";"0";"0";"14";"0";"0";"1";"0";"6";"11";"18";"0";"0";"0";"0";"0";"7";"0";"49";"27";"0";"0";"0";"8";"129";"0";"17";"1";"1";"0";"23";"16";"100";"0";"1";"75";"58";"2";"0";"0";"0";"0";"2";"124";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"4";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
