"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_seluruhnya_dijual";"n_rtup_sebagian_besar_dijual";"n_rtup_sebagian_besar_dikonsumsi_sendiri";"n_rtup_seluruhnya_dikonsumsi_sendiri";"n_rtup_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310010] PAGA";"53";"5310";"5310010";"5";"5";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310011] MEGO";"53";"5310";"5310011";"6";"8";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310020] LELA";"53";"5310";"5310020";"2";"16";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310030] BOLA";"53";"5310";"5310030";"1";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310031] DORENG";"53";"5310";"5310031";"1";"3";"5";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"2";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310040] TALIBURA";"53";"5310";"5310040";"2";"10";"2";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310041] WAIGETE";"53";"5310";"5310041";"7";"49";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1";"3";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1";"0";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310052] KANGAE";"53";"5310";"5310052";"3";"3";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310061] PALUE";"53";"5310";"5310061";"0";"1";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310062] KOTING";"53";"5310";"5310062";"9";"2";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310070] NITA";"53";"5310";"5310070";"38";"132";"2";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310071] MAGEPANDA";"53";"5310";"5310071";"16";"36";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310080] ALOK";"53";"5310";"5310080";"3";"5";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310081] ALOK BARAT";"53";"5310";"5310081";"7";"12";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1";"1";"1";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2438";"[5310] SIKKA";"53";"5310";"5310999";"103";"288";"13";"0";"0"
