"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_utp_buah_alpukat";"n_utp_buah_anggur";"n_utp_buah_apel";"n_utp_buah_belimbing_dewa";"n_utp_buah_belimbing_demak_kunir";"n_utp_buah_belimbing_karang_sari";"n_utp_buah_belimbing_lainnya";"n_utp_buah_belimbing";"n_utp_buah_naga";"n_utp_buah_srikaya";"n_utp_buah_cempedak";"n_utp_buah_duku";"n_utp_buah_durian_monthong";"n_utp_buah_durian_lai";"n_utp_buah_durian_lainnya";"n_utp_buah_durian";"n_utp_buah_duwet";"n_utp_buah_jambu_air";"n_utp_buah_jambu_air_citra";"n_utp_buah_jambu_air_dalhari";"n_utp_buah_jambu_air_camplong";"n_utp_buah_jambu_biji";"n_utp_buah_jambu_biji_putih";"n_utp_buah_jambu_biji_merah";"n_utp_buah_jambu_bol";"n_utp_buah_jambu_air_total";"n_utp_buah_jambu_biji_total";"n_utp_buah_jeruk_siam";"n_utp_buah_jeruk_keprok";"n_utp_buah_jeruk_besar";"n_utp_buah_jeruk_manis";"n_utp_buah_jeruk_lainnya";"n_utp_buah_jeruk";"n_utp_buah_kedondong";"n_utp_buah_kesemek";"n_utp_buah_langsat";"n_utp_buah_lengkeng";"n_utp_buah_mangga_arumanis";"n_utp_buah_mangga_cengkir";"n_utp_buah_mangga_gedong_gincu";"n_utp_buah_mangga_gedong";"n_utp_buah_mangga_kweni";"n_utp_buah_mangga_manalagi";"n_utp_buah_mangga_lainnya";"n_utp_buah_mangga";"n_utp_buah_manggis";"n_utp_buah_markisa_konyal";"n_utp_buah_markisa_siuh";"n_utp_buah_markisa_lainnya";"n_utp_buah_markisa";"n_utp_buah_matoa_buah";"n_utp_buah_nangka";"n_utp_buah_nenas_queen";"n_utp_buah_nenas_smooth_cayenne";"n_utp_buah_nenas_lainnya";"n_utp_buah_nenas";"n_utp_buah_pepaya_besar_dampit";"n_utp_buah_pepaya_sedang_calina";"n_utp_buah_pepaya_kecil_hawaii";"n_utp_buah_pepaya_lainnya";"n_utp_buah_pepaya";"n_utp_buah_pisang_mas_lampung";"n_utp_buah_pisang_ambon";"n_utp_buah_pisang_kepok";"n_utp_buah_pisang_raja";"n_utp_buah_pisang_lainnya";"n_utp_buah_pisang";"n_utp_buah_rambutan_binjai";"n_utp_buah_rambutan_rapiah";"n_utp_buah_rambutan_lainnya";"n_utp_buah_rambutan";"n_utp_buah_salak_pondoh";"n_utp_buah_salak_gula_pasir";"n_utp_buah_salak_lainnya";"n_utp_buah_salak";"n_utp_buah_sawo";"n_utp_buah_sirsak";"n_utp_buah_sukun";"n_utp_buah_terong_brastagi";"n_utp_buah_buahan_lainnya";"n_utp_sayuran_blimbing_wuluh";"n_utp_sayuran_jengkol";"n_utp_sayuran_kluwih";"n_utp_sayuran_melinjo";"n_utp_sayuran_petai";"n_utp_sayuran_lainnya";"n_utp_obat_daun_ungu";"n_utp_obat_dlingo";"n_utp_obat_jati_belanda";"n_utp_obat_jojoba";"n_utp_obat_kapulaga";"n_utp_obat_lavander";"n_utp_obat_mahkota_dewa";"n_utp_obat_mengkudu";"n_utp_obat_paliasa";"n_utp_obat_salam";"n_utp_obat_sereh";"n_utp_obat_sembung";"n_utp_obat_sirih";"n_utp_obat_tribulus";"n_utp_obat_zodiak";"n_utp_obat_cincau";"n_utp_obat_buah_merah";"n_utp_obat_jeruk_nipis";"n_utp_obat_lainnya";"n_utp_hias_anthurium_bunga";"n_utp_hias_anthurium_daun";"n_utp_hias_bambu_hias";"n_utp_hias_bougenvillea_spp";"n_utp_hias_caladium";"n_utp_hias_dieffenbachia";"n_utp_hias_euphorbia";"n_utp_hias_kaktus";"n_utp_hias_phylodendron";"n_utp_hias_ponix";"n_utp_hias_polyscias";"n_utp_hias_soka_ixora";"n_utp_hias_tabulampot";"n_utp_hias_lainnya"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"9";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"2";"7";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"434";"1";"25";"458";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"45";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"1";"4";"10";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"3";"537";"0";"9";"542";"0";"1";"3";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"51";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"2";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"1";"0";"7";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"202";"1";"21";"215";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"37";"0";"0";"0";"0";"0";"2";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"0";"1";"0";"0";"1";"7";"19";"0";"0";"0";"0";"0";"0";"8";"0";"0";"2";"2";"4";"1";"7";"4";"15";"0";"1";"550";"1";"33";"560";"0";"0";"0";"0";"0";"0";"51";"51";"0";"0";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"27";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"297";"0";"0";"0";"0";"0";"0";"0";"5";"0";"1";"0";"16";"1";"15";"32";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"2";"0";"0";"0";"0";"17";"0";"0";"1";"0";"0";"22";"40";"0";"0";"0";"0";"0";"0";"89";"14";"4";"26";"44";"23";"21";"3";"3";"48";"8";"1";"702";"1";"81";"741";"2";"7";"4";"13";"1";"0";"6";"7";"0";"7";"0";"0";"1";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"121";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"22";"11";"133";"166";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"19";"0";"0";"4";"4";"2";"0";"0";"0";"2";"18";"15";"382";"1";"16";"406";"0";"1";"4";"5";"2";"1";"85";"88";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"11";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"100";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"15";"15";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"6";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"31";"0";"0";"31";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"100";"0";"0";"0";"0";"0";"1";"1";"4";"0";"0";"0";"0";"0";"4";"4";"3";"17";"0";"0";"0";"1";"1";"0";"0";"17";"2";"0";"0";"1";"4";"0";"5";"1";"0";"0";"0";"153";"2";"3";"0";"0";"3";"17";"176";"0";"0";"0";"0";"0";"0";"18";"244";"1";"239";"417";"5";"34";"4";"11";"53";"11";"8";"1208";"11";"260";"1280";"1";"0";"13";"14";"1";"0";"0";"1";"6";"3";"6";"0";"1";"0";"3";"0";"0";"206";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"223";"0";"0";"0";"0";"0";"1";"1";"19";"16";"0";"0";"2";"0";"1";"3";"4";"6";"0";"0";"0";"3";"1";"0";"0";"6";"4";"0";"0";"0";"0";"3";"3";"0";"0";"0";"1";"166";"0";"0";"15";"0";"12";"132";"315";"0";"0";"0";"0";"0";"0";"63";"2";"0";"71";"73";"7";"50";"8";"15";"80";"12";"7";"1133";"0";"84";"1201";"0";"0";"0";"0";"1";"0";"1";"2";"2";"10";"4";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"7";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"2";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"3";"0";"0";"0";"0";"15";"0";"0";"1";"0";"2";"3";"21";"0";"0";"0";"0";"0";"0";"8";"0";"0";"22";"22";"0";"2";"0";"5";"7";"0";"1";"244";"2";"21";"256";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
