tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;n_rtup_budidaya;n_rtup_pembibitan;n_rtup_budidaya_dan_pembibitan;n_rtup_jumlah;n_rtup_budidaya_jumlah;n_rtup_pembibitan_jumlah;n_rtup
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310010] PAGA;53;5310;5310010;0;0;0;0;0;0;0
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310011] MEGO;53;5310;5310011;0;0;0;0;0;0;0
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310012] TANA WAWO;53;5310;5310012;1;0;0;1;1;0;1
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310020] LELA;53;5310;5310020;2;0;0;2;2;0;2
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310030] BOLA;53;5310;5310030;0;0;0;0;0;0;0
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310031] DORENG;53;5310;5310031;0;0;0;0;0;0;0
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310032] MAPITARA;53;5310;5310032;1;0;0;1;1;0;1
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310040] TALIBURA;53;5310;5310040;1;0;0;1;1;0;1
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310041] WAIGETE;53;5310;5310041;1;0;0;1;1;0;1
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310042] WAIBLAMA;53;5310;5310042;0;0;0;0;0;0;0
BAB_4_tabel_4_52_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310050] KEWAPANTE;53;5310;5310050;0;0;0;0;0;0;0
