"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_budidaya";"n_rtup_pembibitan";"n_rtup_budidaya_dan_pembibitan";"n_rtup_jumlah";"n_rtup_budidaya_jumlah";"n_rtup_pembibitan_jumlah";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310010] PAGA";"53";"5310";"5310010";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310011] MEGO";"53";"5310";"5310011";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310020] LELA";"53";"5310";"5310020";"50";"0";"0";"50";"50";"0";"50"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310030] BOLA";"53";"5310";"5310030";"7";"0";"0";"7";"7";"0";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310031] DORENG";"53";"5310";"5310031";"87";"0";"0";"87";"87";"0";"87"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310040] TALIBURA";"53";"5310";"5310040";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310041] WAIGETE";"53";"5310";"5310041";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310042] WAIBLAMA";"53";"5310";"5310042";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310050] KEWAPANTE";"53";"5310";"5310050";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"24";"0";"0";"24";"24";"0";"24"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310052] KANGAE";"53";"5310";"5310052";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310062] KOTING";"53";"5310";"5310062";"22";"0";"0";"22";"22";"0";"22"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310063] NELLE";"53";"5310";"5310063";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310070] NITA";"53";"5310";"5310070";"36";"0";"0";"36";"36";"0";"36"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310080] ALOK";"53";"5310";"5310080";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310081] ALOK BARAT";"53";"5310";"5310081";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"4";"0";"0";"4";"4";"0";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2161_2163";"[5310] SIKKA";"53";"5310";"5310999";"239";"0";"0";"239";"239";"0";"239"
