"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_utp_budidaya";"n_utp_pembibitan";"n_utp_budidaya_dan_pembibitan";"n_utp_jumlah";"n_utp_budidaya_jumlah";"n_utp_pembibitan_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2158";"[5310010] PAGA";"53";"5310";"5310010";"75014611";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2158";"[5310011] MEGO";"53";"5310";"5310011";"64298082";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2158";"[5310012] TANA WAWO";"53";"5310";"5310012";"53581625";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2158";"[5310020] LELA";"53";"5310";"5310020";"48223377";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2158";"[5310030] BOLA";"53";"5310";"5310030";"42865600";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2158";"[5310031] DORENG";"53";"5310";"5310031";"48224556";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2158";"[5310032] MAPITARA";"53";"5310";"5310032";"21433110";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2158";"[5310040] TALIBURA";"53";"5310";"5310040";"107165310";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2158";"[5310041] WAIGETE";"53";"5310";"5310041";"58940750";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2158";"[5310042] WAIBLAMA";"53";"5310";"5310042";"37507687";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2158";"[5310050] KEWAPANTE";"53";"5310";"5310050";"48224097";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2158";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"37507575";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2158";"[5310052] KANGAE";"53";"5310";"5310052";"48226183";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2158";"[5310061] PALUE";"53";"5310";"5310061";"42869236";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2158";"[5310062] KOTING";"53";"5310";"5310062";"37510529";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2158";"[5310063] NELLE";"53";"5310";"5310063";"26793205";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2158";"[5310070] NITA";"53";"5310";"5310070";"80379465";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2158";"[5310071] MAGEPANDA";"53";"5310";"5310071";"42868956";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2158";"[5310080] ALOK";"53";"5310";"5310080";"37510284";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2158";"[5310081] ALOK BARAT";"53";"5310";"5310081";"21434426";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2158";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"58944589";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2158";"[5310] SIKKA";"53";"5310";"5310999";"1039523253";"7";"0";"0";"7";"7";"0";"7"
