tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;ID;n_utp_budidaya;n_utp_pembibitan;n_utp_budidaya_dan_pembibitan;n_utp_jumlah;n_utp_budidaya_jumlah;n_utp_pembibitan_jumlah;n_utp
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310010] PAGA;53;5310;5310010;10784431;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310011] MEGO;53;5310;5310011;9243642;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310012] TANA WAWO;53;5310;5310012;7704109;1;0;0;1;1;0;1
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310020] LELA;53;5310;5310020;6933879;2;0;0;2;2;0;2
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310030] BOLA;53;5310;5310030;6163380;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310031] DORENG;53;5310;5310031;6933726;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310032] MAPITARA;53;5310;5310032;3081630;1;0;0;1;1;0;1
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310040] TALIBURA;53;5310;5310040;15407910;1;0;0;1;1;0;1
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310041] WAIGETE;53;5310;5310041;8474180;1;0;0;1;1;0;1
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310042] WAIBLAMA;53;5310;5310042;5393489;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310050] KEWAPANTE;53;5310;5310050;6937281;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310051] HEWOKLOANG;53;5310;5310051;5396242;2;0;0;2;2;0;2
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310052] KANGAE;53;5310;5310052;6937146;1;0;0;1;1;0;1
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310061] PALUE;53;5310;5310061;6166284;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310062] KOTING;53;5310;5310062;5395446;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310063] NELLE;53;5310;5310063;3853860;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310070] NITA;53;5310;5310070;11561430;1;0;0;1;1;0;1
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310071] MAGEPANDA;53;5310;5310071;6166004;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310080] ALOK;53;5310;5310080;5395499;1;0;0;1;1;0;1
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310081] ALOK BARAT;53;5310;5310081;3083546;3;0;0;3;3;0;3
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310082] ALOK TIMUR;53;5310;5310082;8479669;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310] SIKKA;53;5310;5310999;149492783;14;0;0;14;14;0;14
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310010] PAGA;53;5310;5310010;12247375;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310011] MEGO;53;5310;5310011;10497593;1;0;0;1;1;0;1
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310012] TANA WAWO;53;5310;5310012;8747875;3;0;0;3;3;0;3
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310020] LELA;53;5310;5310020;7873002;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310030] BOLA;53;5310;5310030;6998454;32;0;0;32;32;0;32
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310031] DORENG;53;5310;5310031;7874190;166;0;0;166;166;0;166
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310032] MAPITARA;53;5310;5310032;3499614;15;0;0;15;15;0;15
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310040] TALIBURA;53;5310;5310040;17497830;4;0;0;4;4;0;4
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310041] WAIGETE;53;5310;5310041;9623636;3;0;0;3;3;0;3
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310042] WAIBLAMA;53;5310;5310042;6124069;3;0;0;3;3;0;3
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310050] KEWAPANTE;53;5310;5310050;7873731;25;0;0;25;25;0;25
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310051] HEWOKLOANG;53;5310;5310051;6123903;108;1;0;109;108;1;109
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310052] KANGAE;53;5310;5310052;7872106;2;0;0;2;2;0;2
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310061] PALUE;53;5310;5310061;6992724;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310062] KOTING;53;5310;5310062;6118581;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310063] NELLE;53;5310;5310063;4370385;1;0;0;1;1;0;1
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310070] NITA;53;5310;5310070;13111005;17;1;0;18;17;1;18
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310071] MAGEPANDA;53;5310;5310071;6992444;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310080] ALOK;53;5310;5310080;6118336;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310081] ALOK BARAT;53;5310;5310081;3496170;1;0;0;1;1;0;1
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310082] ALOK TIMUR;53;5310;5310082;9614385;1;0;0;1;1;0;1
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310] SIKKA;53;5310;5310999;169667408;382;2;0;384;382;2;384
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310010] PAGA;53;5310;5310010;8826601;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310011] MEGO;53;5310;5310011;7565502;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310012] TANA WAWO;53;5310;5310012;6304475;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310020] LELA;53;5310;5310020;5673942;1;0;0;1;1;0;1
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310030] BOLA;53;5310;5310030;5043436;1;0;0;1;1;0;1
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310031] DORENG;53;5310;5310031;5673789;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310032] MAPITARA;53;5310;5310032;2521658;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310040] TALIBURA;53;5310;5310040;12609838;17;0;0;17;17;0;17
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310041] WAIGETE;53;5310;5310041;6935896;6;0;0;6;6;0;6
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310042] WAIBLAMA;53;5310;5310042;4413689;1;0;0;1;1;0;1
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310050] KEWAPANTE;53;5310;5310050;5674671;6;0;0;6;6;0;6
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310051] HEWOKLOANG;53;5310;5310051;4413577;4;0;0;4;4;0;4
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310052] KANGAE;53;5310;5310052;5674527;6;0;0;6;6;0;6
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310061] PALUE;53;5310;5310061;5043956;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310062] KOTING;53;5310;5310062;4413409;4;0;0;4;4;0;4
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310063] NELLE;53;5310;5310063;3152405;1;0;0;1;1;0;1
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310070] NITA;53;5310;5310070;9463770;4;0;0;4;4;0;4
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310071] MAGEPANDA;53;5310;5310071;5047252;3;0;0;3;3;0;3
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310080] ALOK;53;5310;5310080;4416293;8;0;0;8;8;0;8
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310081] ALOK BARAT;53;5310;5310081;2523574;3;0;0;3;3;0;3
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310082] ALOK TIMUR;53;5310;5310082;6939746;4;0;0;4;4;0;4
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310] SIKKA;53;5310;5310999;122332006;69;0;0;69;69;0;69
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310010] PAGA;53;5310;5310010;15658657;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310011] MEGO;53;5310;5310011;13420954;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310012] TANA WAWO;53;5310;5310012;11183025;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310020] LELA;53;5310;5310020;10064637;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310030] BOLA;53;5310;5310030;8946276;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310031] DORENG;53;5310;5310031;10064484;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310032] MAPITARA;53;5310;5310032;4473078;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310040] TALIBURA;53;5310;5310040;22365150;2;0;0;2;2;0;2
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310041] WAIGETE;53;5310;5310041;12300811;4;0;0;4;4;0;4
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310042] WAIBLAMA;53;5310;5310042;7828674;0;0;0;0;0;0;0
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310050] KEWAPANTE;53;5310;5310050;10065366;1;0;0;1;1;0;1
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310051] HEWOKLOANG;53;5310;5310051;7828562;3;0;0;3;3;0;3
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310052] KANGAE;53;5310;5310052;10065222;1;0;0;1;1;0;1
BAB_4_tabel_4_53_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310061] PALUE;53;5310;5310061;8946796;0;0;0;0;0;0;0
