"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_utp_budidaya";"n_utp_pembibitan";"n_utp_budidaya_dan_pembibitan";"n_utp_jumlah";"n_utp_budidaya_jumlah";"n_utp_pembibitan_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310010] PAGA";"53";"5310";"5310010";"3040205";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310011] MEGO";"53";"5310";"5310011";"2605734";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310012] TANA WAWO";"53";"5310";"5310012";"2171335";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310020] LELA";"53";"5310";"5310020";"1955457";"15";"0";"0";"15";"15";"0";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310030] BOLA";"53";"5310";"5310030";"1738116";"48";"0";"0";"48";"48";"0";"48"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310031] DORENG";"53";"5310";"5310031";"1955304";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310032] MAPITARA";"53";"5310";"5310032";"868998";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310040] TALIBURA";"53";"5310";"5310040";"4344750";"53";"0";"0";"53";"53";"0";"53"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310041] WAIGETE";"53";"5310";"5310041";"2389442";"80";"0";"0";"80";"80";"0";"80"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310042] WAIBLAMA";"53";"5310";"5310042";"1520491";"7";"0";"0";"7";"7";"0";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1954547";"52";"0";"0";"52";"52";"0";"52"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1519195";"31";"0";"0";"31";"31";"0";"31"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310052] KANGAE";"53";"5310";"5310052";"1953369";"69";"0";"0";"69";"69";"0";"69"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310061] PALUE";"53";"5310";"5310061";"1736260";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310062] KOTING";"53";"5310";"5310062";"1519175";"8";"0";"0";"8";"8";"0";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310063] NELLE";"53";"5310";"5310063";"1085095";"11";"0";"0";"11";"11";"0";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310070] NITA";"53";"5310";"5310070";"3255135";"27";"0";"0";"27";"27";"0";"27"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310071] MAGEPANDA";"53";"5310";"5310071";"1735980";"7";"0";"0";"7";"7";"0";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310080] ALOK";"53";"5310";"5310080";"1518930";"23";"0";"0";"23";"23";"0";"23"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310081] ALOK BARAT";"53";"5310";"5310081";"867938";"13";"0";"0";"13";"13";"0";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"2387939";"58";"0";"0";"58";"58";"0";"58"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310] SIKKA";"53";"5310";"5310999";"42123395";"506";"0";"0";"506";"506";"0";"506"
