"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_rtup_tunggal";"n_rtup_campuran";"n_rtup_tumpang_sari";"n_rtup_asosiasi_antar_semusim";"n_rtup_jumlah";"n_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2143";"[5310010] PAGA";"53";"5310";"5310010";"56274883";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2143";"[5310011] MEGO";"53";"5310";"5310011";"48236426";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2143";"[5310012] TANA WAWO";"53";"5310";"5310012";"40197315";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2143";"[5310020] LELA";"53";"5310";"5310020";"36177498";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2143";"[5310030] BOLA";"53";"5310";"5310030";"32157708";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2143";"[5310031] DORENG";"53";"5310";"5310031";"36177345";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2143";"[5310032] MAPITARA";"53";"5310";"5310032";"16078794";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2143";"[5310040] TALIBURA";"53";"5310";"5310040";"80392883";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2143";"[5310041] WAIGETE";"53";"5310";"5310041";"44215050";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2143";"[5310042] WAIBLAMA";"53";"5310";"5310042";"28136787";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2143";"[5310050] KEWAPANTE";"53";"5310";"5310050";"36175797";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2143";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"28136675";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2143";"[5310052] KANGAE";"53";"5310";"5310052";"36175653";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2143";"[5310061] PALUE";"53";"5310";"5310061";"32156068";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2143";"[5310062] KOTING";"53";"5310";"5310062";"28137112";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2143";"[5310063] NELLE";"53";"5310";"5310063";"20098080";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2143";"[5310070] NITA";"53";"5310";"5310070";"60294090";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2143";"[5310071] MAGEPANDA";"53";"5310";"5310071";"32156756";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2143";"[5310080] ALOK";"53";"5310";"5310080";"28137109";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2143";"[5310081] ALOK BARAT";"53";"5310";"5310081";"16078326";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2143";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"44215314";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2143";"[5310] SIKKA";"53";"5310";"5310999";"779805669";"0";"0";"0";"0";"0";"0"
