"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_utp_tunggal";"n_utp_campuran";"n_utp_tumpang_sari";"n_utp_asosiasi_antar_semusim";"n_utp_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2101";"[5310010] PAGA";"53";"5310";"5310010";"23127251";"3";"6";"0";"0";"9";"9"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2101";"[5310011] MEGO";"53";"5310";"5310011";"19823202";"3";"42";"0";"0";"45";"45"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2101";"[5310012] TANA WAWO";"53";"5310";"5310012";"16519225";"0";"51";"0";"0";"51";"51"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2101";"[5310020] LELA";"53";"5310";"5310020";"14867217";"1";"36";"0";"0";"37";"37"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2101";"[5310030] BOLA";"53";"5310";"5310030";"13215236";"5";"292";"0";"0";"297";"297"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2101";"[5310031] DORENG";"53";"5310";"5310031";"14867659";"0";"121";"0";"0";"121";"121"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2101";"[5310032] MAPITARA";"53";"5310";"5310032";"6608034";"1";"92";"0";"7";"100";"100"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2101";"[5310040] TALIBURA";"53";"5310";"5310040";"33039930";"1";"49";"8";"42";"100";"100"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2101";"[5310041] WAIGETE";"53";"5310";"5310041";"18171791";"3";"188";"3";"29";"223";"223"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2101";"[5310042] WAIBLAMA";"53";"5310";"5310042";"11563804";"0";"3";"3";"1";"7";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2101";"[5310050] KEWAPANTE";"53";"5310";"5310050";"14867676";"10";"40";"0";"0";"50";"50"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2101";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"11563338";"4";"416";"0";"0";"420";"420"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2101";"[5310052] KANGAE";"53";"5310";"5310052";"14866470";"0";"89";"2";"0";"91";"91"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2101";"[5310061] PALUE";"53";"5310";"5310061";"13214572";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2101";"[5310062] KOTING";"53";"5310";"5310062";"11562698";"6";"353";"0";"0";"359";"359"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2101";"[5310063] NELLE";"53";"5310";"5310063";"8259040";"1";"46";"0";"0";"47";"47"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2101";"[5310070] NITA";"53";"5310";"5310070";"24776970";"8";"343";"0";"0";"351";"352"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2101";"[5310071] MAGEPANDA";"53";"5310";"5310071";"13214292";"3";"0";"0";"0";"3";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2101";"[5310080] ALOK";"53";"5310";"5310080";"11562807";"3";"4";"1";"0";"8";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2101";"[5310081] ALOK BARAT";"53";"5310";"5310081";"6607566";"0";"1";"3";"0";"4";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2101";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"18170724";"2";"48";"2";"0";"52";"52"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2101";"[5310] SIKKA";"53";"5310";"5310999";"320469502";"54";"2220";"22";"79";"2375";"2376"
