tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;ID;n_utp_tunggal;n_utp_campuran;n_utp_tumpang_sari;n_utp_asosiasi_antar_semusim;n_utp_jumlah;n_utp
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310010] PAGA;53;5310;5310010;8776285;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310011] MEGO;53;5310;5310011;7522374;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310012] TANA WAWO;53;5310;5310012;6268535;1;0;0;0;1;1
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310020] LELA;53;5310;5310020;5641953;0;2;0;0;2;2
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310030] BOLA;53;5310;5310030;5017540;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310031] DORENG;53;5310;5310031;5644656;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310032] MAPITARA;53;5310;5310032;2508710;0;1;0;0;1;1
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310040] TALIBURA;53;5310;5310040;12543310;1;0;0;0;1;1
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310041] WAIGETE;53;5310;5310041;6898650;0;1;0;0;1;1
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310042] WAIBLAMA;53;5310;5310042;4390106;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310050] KEWAPANTE;53;5310;5310050;5645268;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310051] HEWOKLOANG;53;5310;5310051;4389291;1;1;0;0;2;2
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310052] KANGAE;53;5310;5310052;5645133;0;1;0;0;1;1
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310061] PALUE;53;5310;5310061;5017828;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310062] KOTING;53;5310;5310062;4390547;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310063] NELLE;53;5310;5310063;3136075;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310070] NITA;53;5310;5310070;9408075;0;1;0;0;1;1
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310071] MAGEPANDA;53;5310;5310071;5016596;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310080] ALOK;53;5310;5310080;4389469;1;0;0;0;1;1
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310081] ALOK BARAT;53;5310;5310081;2508246;3;0;0;0;3;3
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310082] ALOK TIMUR;53;5310;5310082;6897594;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310] SIKKA;53;5310;5310999;121656241;7;7;0;0;14;14
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310010] PAGA;53;5310;5310010;7603652;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310011] MEGO;53;5310;5310011;6517565;0;1;0;0;1;1
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310012] TANA WAWO;53;5310;5310012;5431185;0;3;0;0;3;3
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310020] LELA;53;5310;5310020;4887981;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310030] BOLA;53;5310;5310030;4344804;0;32;0;0;32;32
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310031] DORENG;53;5310;5310031;4887828;0;166;0;0;166;166
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310032] MAPITARA;53;5310;5310032;2171866;1;14;0;0;15;15
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310040] TALIBURA;53;5310;5310040;10859090;1;3;0;0;4;4
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310041] WAIGETE;53;5310;5310041;5972329;0;1;0;2;3;3
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310042] WAIBLAMA;53;5310;5310042;3800510;0;1;1;1;3;3
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310050] KEWAPANTE;53;5310;5310050;4886298;0;25;0;0;25;25
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310051] HEWOKLOANG;53;5310;5310051;3800612;4;104;0;0;108;109
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310052] KANGAE;53;5310;5310052;4886996;0;2;0;0;2;2
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310061] PALUE;53;5310;5310061;4344140;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310062] KOTING;53;5310;5310062;3801070;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310063] NELLE;53;5310;5310063;2715020;0;1;0;0;1;1
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310070] NITA;53;5310;5310070;8144910;0;17;0;0;17;18
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310071] MAGEPANDA;53;5310;5310071;4343860;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310080] ALOK;53;5310;5310080;3800825;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310081] ALOK BARAT;53;5310;5310081;2169383;0;1;0;0;1;1
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310082] ALOK TIMUR;53;5310;5310082;5945137;0;1;0;0;1;1
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310] SIKKA;53;5310;5310999;105315061;6;372;1;3;382;384
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310010] PAGA;53;5310;5310010;7674135;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310011] MEGO;53;5310;5310011;6578150;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310012] TANA WAWO;53;5310;5310012;5482475;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310020] LELA;53;5310;5310020;4934142;1;0;0;0;1;1
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310030] BOLA;53;5310;5310030;4385836;1;0;0;0;1;1
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310031] DORENG;53;5310;5310031;4933989;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310032] MAPITARA;53;5310;5310032;2192858;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310040] TALIBURA;53;5310;5310040;10961674;7;7;0;3;17;17
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310041] WAIGETE;53;5310;5310041;6023523;0;6;0;0;6;6
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310042] WAIBLAMA;53;5310;5310042;3833088;0;1;0;0;1;1
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310050] KEWAPANTE;53;5310;5310050;4928184;2;4;0;0;6;6
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310051] HEWOKLOANG;53;5310;5310051;3832976;0;4;0;0;4;4
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310052] KANGAE;53;5310;5310052;4928040;1;4;1;0;6;6
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310061] PALUE;53;5310;5310061;4380412;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310062] KOTING;53;5310;5310062;3833165;0;4;0;0;4;4
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310063] NELLE;53;5310;5310063;2738285;0;1;0;0;1;1
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310070] NITA;53;5310;5310070;8214705;0;4;0;0;4;4
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310071] MAGEPANDA;53;5310;5310071;4381084;1;1;0;1;3;3
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310080] ALOK;53;5310;5310080;3833396;7;1;0;0;8;8
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310081] ALOK BARAT;53;5310;5310081;2190490;2;1;0;0;3;3
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310082] ALOK TIMUR;53;5310;5310082;6023765;1;3;0;0;4;4
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310] SIKKA;53;5310;5310999;106284372;23;41;1;4;69;69
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310010] PAGA;53;5310;5310010;13327531;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310011] MEGO;53;5310;5310011;11423442;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310012] TANA WAWO;53;5310;5310012;9519425;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310020] LELA;53;5310;5310020;8567992;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310030] BOLA;53;5310;5310030;7616348;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310031] DORENG;53;5310;5310031;8568315;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310032] MAPITARA;53;5310;5310032;3808114;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310040] TALIBURA;53;5310;5310040;19040330;0;2;0;0;2;2
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310041] WAIGETE;53;5310;5310041;10472011;1;3;0;0;4;4
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310042] WAIBLAMA;53;5310;5310042;6663472;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310050] KEWAPANTE;53;5310;5310050;8566794;0;1;0;0;1;1
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310051] HEWOKLOANG;53;5310;5310051;6663006;0;3;0;0;3;3
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310052] KANGAE;53;5310;5310052;8566650;1;0;0;0;1;1
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310061] PALUE;53;5310;5310061;7614732;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310062] KOTING;53;5310;5310062;6662838;0;1;0;0;1;1
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310063] NELLE;53;5310;5310063;4759140;0;2;0;0;2;2
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310070] NITA;53;5310;5310070;14277860;0;1;0;0;1;1
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310071] MAGEPANDA;53;5310;5310071;7615396;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310080] ALOK;53;5310;5310080;6663419;0;0;1;0;1;1
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310081] ALOK BARAT;53;5310;5310081;3807646;0;1;2;0;3;3
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310082] ALOK TIMUR;53;5310;5310082;10470944;0;0;0;0;0;0
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310] SIKKA;53;5310;5310999;184675405;2;14;3;0;19;19
BAB_4_tabel_4_55_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2124_2128;[5310010] PAGA;53;5310;5310010;10871287;0;0;0;0;0;0
