"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_utp_tunggal";"n_utp_campuran";"n_utp_tumpang_sari";"n_utp_asosiasi_antar_semusim";"n_utp_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310010] PAGA";"53";"5310";"5310010";"211043";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310011] MEGO";"53";"5310";"5310011";"180738";"0";"1";"0";"0";"1";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310012] TANA WAWO";"53";"5310";"5310012";"150505";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310020] LELA";"53";"5310";"5310020";"135369";"1";"15";"0";"0";"16";"15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310030] BOLA";"53";"5310";"5310030";"120260";"0";"48";"0";"0";"48";"48"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310031] DORENG";"53";"5310";"5310031";"130456";"0";"2";"0";"0";"2";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310032] MAPITARA";"53";"5310";"5310032";"57690";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310040] TALIBURA";"53";"5310";"5310040";"288210";"6";"38";"1";"8";"53";"53"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310041] WAIGETE";"53";"5310";"5310041";"158345";"9";"46";"21";"4";"80";"80"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310042] WAIBLAMA";"53";"5310";"5310042";"100702";"0";"1";"2";"4";"7";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310050] KEWAPANTE";"53";"5310";"5310050";"129402";"10";"37";"3";"2";"52";"52"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"101877";"0";"30";"0";"1";"31";"31"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310052] KANGAE";"53";"5310";"5310052";"130338";"8";"46";"14";"1";"69";"69"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310061] PALUE";"53";"5310";"5310061";"115788";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310062] KOTING";"53";"5310";"5310062";"101262";"0";"8";"0";"0";"8";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310063] NELLE";"53";"5310";"5310063";"72300";"1";"10";"0";"0";"11";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310070] NITA";"53";"5310";"5310070";"216750";"1";"26";"0";"0";"27";"27"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310071] MAGEPANDA";"53";"5310";"5310071";"115508";"4";"1";"1";"1";"7";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310080] ALOK";"53";"5310";"5310080";"100427";"7";"14";"0";"2";"23";"23"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310081] ALOK BARAT";"53";"5310";"5310081";"57230";"7";"4";"0";"2";"13";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"157300";"10";"42";"2";"4";"58";"58"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2149_2152";"[5310] SIKKA";"53";"5310";"5310999";"2831500";"64";"370";"44";"29";"507";"506"
