"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_rtup";"sum_jumlah_tanaman_belum_menghasilkan";"sum_jumlah_tanaman_menghasilkan";"sum_jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2166";"[5310010] PAGA";"53";"5310";"5310010";"68572987";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2166";"[5310011] MEGO";"53";"5310";"5310011";"58777523";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2166";"[5310012] TANA WAWO";"53";"5310";"5310012";"48981655";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2166";"[5310020] LELA";"53";"5310";"5310020";"44083404";"2";"1";"2";"0";"60";"166"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2166";"[5310030] BOLA";"53";"5310";"5310030";"39185180";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2166";"[5310031] DORENG";"53";"5310";"5310031";"44083251";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2166";"[5310032] MAPITARA";"53";"5310";"5310032";"19592530";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2166";"[5310040] TALIBURA";"53";"5310";"5310040";"97961577";"6";"40";"9";"0";"34.5";"375"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2166";"[5310041] WAIGETE";"53";"5310";"5310041";"53877846";"4";"0";"5";"0";"510";"2700"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2166";"[5310042] WAIBLAMA";"53";"5310";"5310042";"34285839";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2166";"[5310050] KEWAPANTE";"53";"5310";"5310050";"44081721";"12";"1";"16";"0";"853";"3350"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2166";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"34285727";"2";"0";"3";"0";"205";"290"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2166";"[5310052] KANGAE";"53";"5310";"5310052";"44081577";"1";"0";"1";"0";"80";"800"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2166";"[5310061] PALUE";"53";"5310";"5310061";"39183556";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2166";"[5310062] KOTING";"53";"5310";"5310062";"34286273";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2166";"[5310063] NELLE";"53";"5310";"5310063";"24490250";"2";"1";"3";"0";"416";"580"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2166";"[5310070] NITA";"53";"5310";"5310070";"73470600";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2166";"[5310071] MAGEPANDA";"53";"5310";"5310071";"39184228";"2";"0";"2";"0";"85";"275"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2166";"[5310080] ALOK";"53";"5310";"5310080";"34286147";"13";"0";"15";"0";"1123";"8700"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2166";"[5310081] ALOK BARAT";"53";"5310";"5310081";"19592062";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2166";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"53878088";"3";"0";"3";"0";"163";"1270"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2166";"[5310] SIKKA";"53";"5310";"5310999";"950222021";"47";"43";"59";"0";"3529.5";"18506"
