"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_rtup";"sum_jumlah_tanaman_belum_menghasilkan";"sum_jumlah_tanaman_menghasilkan";"sum_jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310010] PAGA";"53";"5310";"5310010";"136054835";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310011] MEGO";"53";"5310";"5310011";"116618274";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310012] TANA WAWO";"53";"5310";"5310012";"97184633";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310020] LELA";"53";"5310";"5310020";"87466725";"1";"0";"1";"0";"30";"100"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310030] BOLA";"53";"5310";"5310030";"77748132";"1";"0";"1";"0";"125";"125"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310031] DORENG";"53";"5310";"5310031";"87466572";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310032] MAPITARA";"53";"5310";"5310032";"38874006";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310040] TALIBURA";"53";"5310";"5310040";"194369790";"17";"2";"27";"0";"970";"1840"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310041] WAIGETE";"53";"5310";"5310041";"106904404";"6";"0";"8";"0";"128";"380"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310042] WAIBLAMA";"53";"5310";"5310042";"68030088";"1";"0";"1";"0";"6";"60"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310050] KEWAPANTE";"53";"5310";"5310050";"87467184";"6";"2";"7";"0";"98";"512"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"68029976";"4";"0";"9";"0";"155";"450"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310052] KANGAE";"53";"5310";"5310052";"87467040";"6";"0";"10";"0";"187";"1685"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310061] PALUE";"53";"5310";"5310061";"77748412";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310062] KOTING";"53";"5310";"5310062";"68029808";"4";"2";"3";"0";"15";"68"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310063] NELLE";"53";"5310";"5310063";"48592452";"1";"0";"1";"0";"40";"50"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310070] NITA";"53";"5310";"5310070";"145776135";"4";"0";"9";"0";"89";"805"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310071] MAGEPANDA";"53";"5310";"5310071";"77747180";"3";"0";"5";"0";"96";"450"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310080] ALOK";"53";"5310";"5310080";"68028730";"8";"0";"11";"0";"1237";"1966"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310081] ALOK BARAT";"53";"5310";"5310081";"38873538";"3";"0";"4";"0";"245";"200"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"106902147";"4";"1";"4";"0";"253";"1400"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2116_2119_2123";"[5310] SIKKA";"53";"5310";"5310999";"1885380061";"69";"7";"101";"0";"3674";"10091"
