"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"ID";"n_rtup";"sum_jumlah_tanaman_belum_menghasilkan";"sum_jumlah_tanaman_menghasilkan";"sum_jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2141_2143";"[5310010] PAGA";"53";"5310";"5310010";"132234053";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2141_2143";"[5310011] MEGO";"53";"5310";"5310011";"113342610";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2141_2143";"[5310012] TANA WAWO";"53";"5310";"5310012";"94452065";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2141_2143";"[5310020] LELA";"53";"5310";"5310020";"85006773";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2141_2143";"[5310030] BOLA";"53";"5310";"5310030";"75561508";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2141_2143";"[5310031] DORENG";"53";"5310";"5310031";"85006620";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2141_2143";"[5310032] MAPITARA";"53";"5310";"5310032";"37780694";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2141_2143";"[5310040] TALIBURA";"53";"5310";"5310040";"188905590";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2141_2143";"[5310041] WAIGETE";"53";"5310";"5310041";"103897904";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2141_2143";"[5310042] WAIBLAMA";"53";"5310";"5310042";"66116785";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2141_2143";"[5310050] KEWAPANTE";"53";"5310";"5310050";"85007223";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2141_2143";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"66116673";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2141_2143";"[5310052] KANGAE";"53";"5310";"5310052";"85008503";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2141_2143";"[5310061] PALUE";"53";"5310";"5310061";"75564628";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2141_2143";"[5310062] KOTING";"53";"5310";"5310062";"66118997";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2141_2143";"[5310063] NELLE";"53";"5310";"5310063";"47227825";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2141_2143";"[5310070] NITA";"53";"5310";"5310070";"141683325";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2141_2143";"[5310071] MAGEPANDA";"53";"5310";"5310071";"75564348";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2141_2143";"[5310080] ALOK";"53";"5310";"5310080";"66118752";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2141_2143";"[5310081] ALOK BARAT";"53";"5310";"5310081";"37782122";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2141_2143";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"103901943";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"_2141_2143";"[5310] SIKKA";"53";"5310";"5310999";"1832398941";"0";"0";"0";"0";"0";"0"
