"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"jenis_produksi";"satuan_produksi";"ID";"sum_jumlah_tanaman_belum_menghasilkan";"sum_jumlah_tanaman_menghasilkan";"sum_jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2148";"[5310020] LELA";"53";"5310";"5310020";"6";"1";"7606303";"5";"14";"6";"14";"97"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2148";"[5310030] BOLA";"53";"5310";"5310030";"6";"1";"19015376";"36";"298";"0";"528";"502850"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2148";"[5310031] DORENG";"53";"5310";"5310031";"6";"1";"11409182";"0";"110";"0";"407";"1415"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2148";"[5310040] TALIBURA";"53";"5310";"5310040";"6";"1";"34227328";"2142";"10315";"129";"14772.34";"72515"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2148";"[5310041] WAIGETE";"53";"5310";"5310041";"6";"1";"26621073";"404";"1853";"112";"2468";"11902"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2148";"[5310042] WAIBLAMA";"53";"5310";"5310042";"6";"1";"11409238";"118";"714";"5";"275";"1365"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2148";"[5310050] KEWAPANTE";"53";"5310";"5310050";"6";"1";"15211901";"20";"328";"1";"454";"1925"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2148";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"6";"1";"19015521";"2";"2004";"0";"2723.4";"11870"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2148";"[5310052] KANGAE";"53";"5310";"5310052";"6";"1";"15212274";"20";"99";"0";"148";"525"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2148";"[5310062] KOTING";"53";"5310";"5310062";"6";"1";"15212208";"422";"378";"0";"291";"1884"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2148";"[5310063] NELLE";"53";"5310";"5310063";"6";"1";"7606091";"0";"74";"0";"155";"900"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2148";"[5310070] NITA";"53";"5310";"5310070";"6";"1";"34227338";"49";"1270";"0";"1081";"6857"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2148";"[5310080] ALOK";"53";"5310";"5310080";"6";"1";"3804235";"20";"50";"0";"155";"900"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2148";"[5310] SIKKA";"53";"5310";"5310999";"6";"1";"220578068";"3238";"17507";"253";"23471.74";"615005"
