tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;jenis_produksi;satuan_produksi;ID;sum_jumlah_tanaman_belum_menghasilkan;sum_jumlah_tanaman_menghasilkan;sum_jumlah_tanaman_tidak_menghasilkan;sum_produksi_volume;sum_produksi_nilai
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310012] TANA WAWO;53;5310;5310012;5;1;5780013;150;500;0;300;7500
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310020] LELA;53;5310;5310020;5;1;11559787;0;17;10;25;175
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310032] MAPITARA;53;5310;5310032;5;1;5779872;15;50;0;30;900
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310040] TALIBURA;53;5310;5310040;5;1;5779868;0;1;0;1;16
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310041] WAIGETE;53;5310;5310041;5;1;5779848;0;30;0;22;396
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310051] HEWOKLOANG;53;5310;5310051;5;1;11558460;10;10;0;60;600
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310052] KANGAE;53;5310;5310052;5;1;5779917;0;1;0;50;10
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310070] NITA;53;5310;5310070;5;1;5780224;0;2;0;10;150
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310080] ALOK;53;5310;5310080;5;1;5780205;0;1;0;105;175
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310081] ALOK BARAT;53;5310;5310081;5;1;11560395;0;13;0;103;2030
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2104_2107;[5310] SIKKA;53;5310;5310999;5;1;75138589;175;625;10;706;11952
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310011] MEGO;53;5310;5310011;5;1;5708093;13;30;0;115;4600
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310012] TANA WAWO;53;5310;5310012;5;1;11416107;5;23;0;34;820
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310030] BOLA;53;5310;5310030;5;1;22832063;15;24;2;515;8075
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310031] DORENG;53;5310;5310031;5;1;34247913;245;610;0;24026;661970
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310032] MAPITARA;53;5310;5310032;5;1;11415971;10;28;0;1356;39250
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310040] TALIBURA;53;5310;5310040;5;1;5707979;0;28;0;443;6418
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310041] WAIGETE;53;5310;5310041;5;1;5709180;0;3;0;34;500
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310042] WAIBLAMA;53;5310;5310042;5;1;5709166;0;30;0;60;1260
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310050] KEWAPANTE;53;5310;5310050;5;1;5709161;0;1;0;15;450
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310051] HEWOKLOANG;53;5310;5310051;5;1;28542197;99;204;12;5010;89838
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310052] KANGAE;53;5310;5310052;5;1;5707962;0;4;4;50;1500
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310063] NELLE;53;5310;5310063;5;1;5709232;0;1;0;336;10080
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310070] NITA;53;5310;5310070;5;1;28544846;30;31;0;308.5;6949
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310081] ALOK BARAT;53;5310;5310081;5;1;5709197;0;10;0;148;1500
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310082] ALOK TIMUR;53;5310;5310082;5;1;5709191;0;10;0;100;1750
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2112_2114;[5310] SIKKA;53;5310;5310999;5;1;188378258;417;1037;18;32550.5;834960
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310020] LELA;53;5310;5310020;5;1;6940711;0;1;0;30;100
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310030] BOLA;53;5310;5310030;5;1;6940697;0;1;0;125;125
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310040] TALIBURA;53;5310;5310040;5;1;34702834;0;27;0;970;1840
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310041] WAIGETE;53;5310;5310041;5;1;27762185;0;8;0;128;380
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310042] WAIBLAMA;53;5310;5310042;5;1;6940540;0;1;0;6;60
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310050] KEWAPANTE;53;5310;5310050;5;1;13883424;0;7;0;98;512
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310051] HEWOKLOANG;53;5310;5310051;5;1;20821897;0;9;0;155;450
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310052] KANGAE;53;5310;5310052;5;1;34703126;0;10;0;187;1685
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310062] KOTING;53;5310;5310062;5;1;13883500;0;3;0;15;68
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310063] NELLE;53;5310;5310063;5;1;6940601;0;1;0;40;50
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310070] NITA;53;5310;5310070;5;1;20821780;0;5;0;89;805
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310071] MAGEPANDA;53;5310;5310071;5;1;13880055;0;5;0;96;450
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310080] ALOK;53;5310;5310080;5;1;27760087;0;11;0;1237;1966
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310081] ALOK BARAT;53;5310;5310081;5;1;6940017;0;4;0;245;200
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310082] ALOK TIMUR;53;5310;5310082;5;1;20820026;0;4;0;253;1400
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2116_2119_2123;[5310] SIKKA;53;5310;5310999;5;1;263741480;0;97;0;3674;10091
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310040] TALIBURA;53;5310;5310040;5;1;6991398;0;17;0;16320;61200
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310041] WAIGETE;53;5310;5310041;5;1;13982773;1;4;0;39;295
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310050] KEWAPANTE;53;5310;5310050;5;1;6991371;0;2;0;1;20
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310051] HEWOKLOANG;53;5310;5310051;5;1;20973745;0;9;0;71;230
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310052] KANGAE;53;5310;5310052;5;1;6991237;0;1;0;5;50
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310063] NELLE;53;5310;5310063;5;1;6991217;3;4;0;11;45
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310070] NITA;53;5310;5310070;5;1;6991208;0;2;0;3.25;65
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310080] ALOK;53;5310;5310080;5;1;6991302;0;26;0;572;17160
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310081] ALOK BARAT;53;5310;5310081;5;1;13982590;0;9;3;155;110
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2120_2122;[5310] SIKKA;53;5310;5310999;5;1;90886841;4;74;3;17177.25;79175
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2124_2128;[5310012] TANA WAWO;53;5310;5310012;5;1;13806969;0;72;0;174;2800
BAB_4_tabel_4_60_jenis_satuan_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;_2124_2128;[5310030] BOLA;53;5310;5310030;5;1;13806927;0;3;0;7;63
