tabel;id_prov;id_kab;id_komoditas;id_kec;prov;kab;kec;jenis_produksi;satuan_produksi;ID;sum_jumlah_tanaman_belum_menghasilkan;sum_jumlah_tanaman_menghasilkan;sum_jumlah_tanaman_tidak_menghasilkan;sum_produksi_volume;sum_produksi_nilai
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2510;[5310070] NITA;53;5310;5310070;10;1;274210;0;2;0;1;50
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2510;[5310] SIKKA;53;5310;5310999;10;1;274210;0;2;0;1;50
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2511;[5310010] PAGA;53;5310;5310010;10;1;719019;0;12;0;40;1200
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2511;[5310020] LELA;53;5310;5310020;10;1;719071;0;4;0;30;150
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2511;[5310032] MAPITARA;53;5310;5310032;10;1;719048;0;10;0;5;50
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2511;[5310041] WAIGETE;53;5310;5310041;10;1;2156771;0;62;0;1561;2294
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2511;[5310050] KEWAPANTE;53;5310;5310050;10;1;2156720;0;80;0;284;1620
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2511;[5310052] KANGAE;53;5310;5310052;10;1;1437789;0;15;0;57;105
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2511;[5310063] NELLE;53;5310;5310063;10;1;718965;4;19;0;12;164
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2511;[5310070] NITA;53;5310;5310070;10;1;4313777;96;1475;0;3106;55425
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2511;[5310071] MAGEPANDA;53;5310;5310071;10;1;1437895;0;22;0;19;200
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2511;[5310081] ALOK BARAT;53;5310;5310081;10;1;2156799;0;30;0;350;1875
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2511;[5310082] ALOK TIMUR;53;5310;5310082;10;1;719216;5;1;0;5;30
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2511;[5310] SIKKA;53;5310;5310999;10;1;17255070;105;1730;0;5469;63113
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2513;[5310012] TANA WAWO;53;5310;5310012;10;1;1200108;0;12;0;30;250
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2513;[5310020] LELA;53;5310;5310020;10;1;3600284;0;228;0;218;23650
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2513;[5310030] BOLA;53;5310;5310030;10;1;2400120;1;19;0;395;4650
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2513;[5310031] DORENG;53;5310;5310031;10;1;1200084;0;235;0;718;5680
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2513;[5310040] TALIBURA;53;5310;5310040;10;1;1199971;10;3;0;1;100
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2513;[5310041] WAIGETE;53;5310;5310041;10;1;1199951;0;3;0;1;10
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2513;[5310050] KEWAPANTE;53;5310;5310050;10;1;1199933;0;5;0;100;1000
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2513;[5310051] HEWOKLOANG;53;5310;5310051;10;1;2400039;2;139;0;264;4644
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2513;[5310062] KOTING;53;5310;5310062;10;1;2400123;0;13;0;47.3;900
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2513;[5310070] NITA;53;5310;5310070;10;1;3601018;0;162;0;418;12090
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2513;[5310081] ALOK BARAT;53;5310;5310081;10;1;1201041;0;1;0;2;150
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2513;[5310082] ALOK TIMUR;53;5310;5310082;10;1;1200123;0;25;0;10;250
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2513;[5310] SIKKA;53;5310;5310999;10;1;22802795;13;845;0;2204.3;53374
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2519;[5310020] LELA;53;5310;5310020;5;1;1126846;0;3;0;45;160
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2519;[5310030] BOLA;53;5310;5310030;5;1;1126830;0;9;0;102;1970
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2519;[5310031] DORENG;53;5310;5310031;5;1;563410;0;3;0;300;300
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2519;[5310040] TALIBURA;53;5310;5310040;5;1;1126777;0;2;0;12;95
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2519;[5310041] WAIGETE;53;5310;5310041;5;1;1690412;0;8;0;72;940
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2519;[5310050] KEWAPANTE;53;5310;5310050;5;1;1723663;0;21;0;196;2252
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2519;[5310051] HEWOKLOANG;53;5310;5310051;5;1;2817224;12;19;0;225;1745
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2519;[5310052] KANGAE;53;5310;5310052;5;1;563435;0;2;0;5;20
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2519;[5310062] KOTING;53;5310;5310062;5;1;1688778;0;9;0;289.67;380
BAB_4_tabel_4_62_jenis_komoditas;[53] NUSA TENGGARA TIMUR;[5310] SIKKA;2519;[5310070] NITA;53;5310;5310070;5;1;2251645;0;16;0;325;2630
