"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_budidaya";"n_utp_pembibitan";"n_utp_budidaya_dan_pembibitan";"n_utp_jumlah";"n_utp_budidaya_jumlah";"n_utp_pembibitan_jumlah";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2306";"[5310010] PAGA";"53";"5310";"5310010";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2306";"[5310011] MEGO";"53";"5310";"5310011";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2306";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2306";"[5310020] LELA";"53";"5310";"5310020";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2306";"[5310030] BOLA";"53";"5310";"5310030";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2306";"[5310031] DORENG";"53";"5310";"5310031";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2306";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2306";"[5310040] TALIBURA";"53";"5310";"5310040";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2306";"[5310041] WAIGETE";"53";"5310";"5310041";"1";"0";"0";"1";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2306";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2306";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2306";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2306";"[5310052] KANGAE";"53";"5310";"5310052";"6";"0";"0";"6";"6";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2306";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2306";"[5310062] KOTING";"53";"5310";"5310062";"13";"0";"0";"13";"13";"0";"13"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2306";"[5310063] NELLE";"53";"5310";"5310063";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2306";"[5310070] NITA";"53";"5310";"5310070";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2306";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2306";"[5310080] ALOK";"53";"5310";"5310080";"3";"0";"0";"3";"3";"0";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2306";"[5310081] ALOK BARAT";"53";"5310";"5310081";"7";"0";"0";"7";"7";"0";"7"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2306";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"2";"0";"0";"2";"2";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2306";"[5310] SIKKA";"53";"5310";"5310999";"36";"0";"0";"36";"36";"0";"36"
