"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup";"jumlah_tanaman_belum_menghasilkan";"jumlah_tanaman_menghasilkan";"jumlah_tanaman_tidak_menghasilkan";"sum_produksi_volume";"sum_produksi_nilai";"produktivitas"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310010] PAGA";"53";"5310";"5310010";"11";"259";"56";"0";"46";"3150";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310011] MEGO";"53";"5310";"5310011";"38";"751";"41";"0";"132";"5430";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310012] TANA WAWO";"53";"5310";"5310012";"134";"3258";"31";"20";"37";"1610";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310020] LELA";"53";"5310";"5310020";"46";"461";"866";"29";"2217";"51555";"3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310030] BOLA";"53";"5310";"5310030";"874";"14888";"6146";"399";"14485";"614076";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310031] DORENG";"53";"5310";"5310031";"1457";"31420";"15779";"1081";"81859";"3073076";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310032] MAPITARA";"53";"5310";"5310032";"207";"6556";"613";"33";"632";"50185";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310040] TALIBURA";"53";"5310";"5310040";"31";"883";"23";"0";"5";"225";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310041] WAIGETE";"53";"5310";"5310041";"437";"6914";"3496";"263";"18330";"603860";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310042] WAIBLAMA";"53";"5310";"5310042";"5";"170";"2";"0";"10";"700";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310050] KEWAPANTE";"53";"5310";"5310050";"138";"3023";"871";"2";"1609";"105191";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1134";"24232";"16972";"1754";"42294";"3042716";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310052] KANGAE";"53";"5310";"5310052";"105";"1482";"465";"30";"2072";"143750";"4"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310061] PALUE";"53";"5310";"5310061";"5";"99";"16";"0";"84";"2720";"5"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310062] KOTING";"53";"5310";"5310062";"34";"423";"83";"0";"127";"3245";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310063] NELLE";"53";"5310";"5310063";-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310070] NITA";"53";"5310";"5310070";"309";"5063";"1706";"18";"3550";"245900";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310071] MAGEPANDA";"53";"5310";"5310071";-;-;-;-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310080] ALOK";"53";"5310";"5310080";"9";"108";"144";"0";"344";"23970";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310081] ALOK BARAT";"53";"5310";"5310081";"5";"125";"22";"4";"23";"3700";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"70";"1113";"1588";"2";"2070";"180540";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3124";"[5310] SIKKA";"53";"5310";"5310999";"5049";"101228";"48920";"3635";"169926";"8155599";"3"
