"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_pohon_perkebunan_kelor_2306";"n_pohon_perkebunan_aren_3101";"n_pohon_perkebunan_asam_jawa_3102";"n_pohon_perkebunan_cengkeh_3103";"n_pohon_perkebunan_gambir_3104";"n_pohon_perkebunan_jambu_mete_3105";"n_pohon_perkebunan_jarak_pagar_3106";"n_pohon_perkebunan_kakao_3107";"n_pohon_perkebunan_kapok_3108";"n_pohon_perkebunan_karet_3109";"n_pohon_perkebunan_kayumanis_3110";"n_pohon_perkebunan_kelapa_sawit_3111";"n_pohon_perkebunan_kelapa_3112";"n_pohon_perkebunan_kemenyan_3113";"n_pohon_perkebunan_kemiri_3114";"n_pohon_perkebunan_kemiri_sunan_3115";"n_pohon_perkebunan_kenanga_3116";"n_pohon_perkebunan_kina_3117";"n_pohon_perkebunan_klerek_3118";"n_pohon_perkebunan_kopi_3119";"n_pohon_perkebunan_lada_3120";"n_pohon_perkebunan_lontar_3121";"n_pohon_perkebunan_panili_3123";"n_pohon_perkebunan_pala_3124";"n_pohon_perkebunan_pandan_anyam_3125";"n_pohon_perkebunan_pinang_jambe_3126";"n_pohon_perkebunan_sagu_3127";"n_pohon_perkebunan_soga_3128";"n_pohon_perkebunan_teh_3129";"n_pohon_perkebunan_andaliman_3130";"n_pohon_perkebunan_gayam_3131";"n_pohon_perkebunan_kurma_3132";"n_pohon_perkebunan_kelapa_nira_3198";"n_pohon_perkebunan_lainnya_3199"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"0";"238";"166";"575";"0";"12117";"0";"176213";"0";"0";"0";"0";"47511";"0";"29145";"0";"0";"0";"0";"1539";"51";"0";"6423";"315";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"0";"163";"30";"2540";"0";"3218";"0";"181641";"0";"0";"450";"0";"37738";"0";"111128";"999";"0";"0";"0";"14655";"112";"6";"16596";"792";"0";"20";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"164";"0";"4046";"0";"249";"0";"104792";"0";"0";"25";"0";"260";"0";"46081";"251";"0";"0";"0";"30600";"20";"0";"2639";"3309";"50";"228";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"0";"5";"93";"55";"0";"13132";"0";"51612";"3";"0";"0";"0";"101313";"0";"1544";"0";"0";"0";"0";"238";"2655";"0";"6184";"1356";"0";"343";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"0";"0";"352";"20051";"0";"12559";"0";"81797";"0";"0";"0";"0";"77249";"0";"7629";"30";"0";"0";"0";"7098";"2476";"1133";"125145";"21433";"0";"2915";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"0";"0";"1013";"53319";"0";"12743";"0";"125368";"0";"0";"15";"0";"76613";"0";"12433";"0";"0";"0";"0";"3070";"105";"250";"142898";"48280";"3";"553";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"0";"0";"82";"5147";"0";"21805";"0";"41036";"0";"0";"0";"0";"30281";"0";"23592";"75";"0";"0";"0";"2237";"60";"250";"30692";"7202";"75";"159";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"62";"1";"2262";"385";"0";"171311";"0";"14788";"0";"0";"0";"0";"79213";"0";"29783";"103";"0";"0";"0";"3939";"824";"325";"6173";"906";"0";"472";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"5";"0";"7143";"11188";"0";"135199";"0";"17714";"0";"0";"0";"0";"36623";"0";"27700";"112";"0";"0";"0";"2591";"49";"7331";"7402";"10673";"5";"52";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"1635";"549";"0";"61990";"0";"20088";"0";"0";"70";"0";"29416";"0";"38630";"190";"0";"0";"0";"207";"0";"30";"438";"172";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"30";"1638";"3383";"0";"16017";"0";"10042";"21";"0";"3";"0";"22292";"0";"2729";"0";"0";"0";"0";"109";"4";"897";"10972";"3896";"0";"398";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"0";"22";"742";"33070";"0";"12197";"0";"49345";"0";"0";"105";"0";"43067";"0";"5730";"0";"0";"0";"0";"3430";"307";"657";"35579";"42958";"0";"3900";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"28";"8";"3075";"2033";"0";"21817";"0";"11711";"5";"0";"0";"0";"27840";"0";"3737";"0";"0";"0";"0";"1621";"61";"2360";"23063";"1977";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0"
