"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"persentase_rtup_seluruhnya_dijual";"persentase_rtup_sebagian_besar_dijual";"persentase_rtup_sebagian_besar_dikonsumsi";"persentase_rtup_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310010] PAGA";"53";"5310";"5310010";"14.29";"50.00";"35.71";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310011] MEGO";"53";"5310";"5310011";"13.76";"29.82";"53.67";"2.75"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310012] TANA WAWO";"53";"5310";"5310012";"5.63";"54.17";"40.00";"0.21"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310020] LELA";"53";"5310";"5310020";"60.00";"20.00";"20.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310030] BOLA";"53";"5310";"5310030";"14.66";"51.72";"34.48";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310031] DORENG";"53";"5310";"5310031";"29.07";"54.65";"16.28";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310032] MAPITARA";"53";"5310";"5310032";"8.70";"60.87";"30.43";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310040] TALIBURA";"53";"5310";"5310040";"10.96";"31.51";"57.53";"1.37"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310041] WAIGETE";"53";"5310";"5310041";"29.17";"39.58";"31.25";"2.08"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310042] WAIBLAMA";"53";"5310";"5310042";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310050] KEWAPANTE";"53";"5310";"5310050";"50.00";"50.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"13.24";"23.53";"63.24";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310052] KANGAE";"53";"5310";"5310052";"26.19";"57.14";"14.29";"2.38"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310061] PALUE";"53";"5310";"5310061";"64.29";"0.00";"28.57";"7.14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310062] KOTING";"53";"5310";"5310062";"33.33";"66.67";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310063] NELLE";"53";"5310";"5310063";"50.00";"50.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310070] NITA";"53";"5310";"5310070";"16.13";"58.06";"22.58";"3.23"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310071] MAGEPANDA";"53";"5310";"5310071";"50.00";"50.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310080] ALOK";"53";"5310";"5310080";-;-;-;-
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310081] ALOK BARAT";"53";"5310";"5310081";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"19.23";"76.92";"3.85";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3119";"[5310] SIKKA";"53";"5310";"5310999";"13.99";"46.03";"39.27";"0.95"
