"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"persentase_utp_seluruhnya_dijual";"persentase_utp_sebagian_besar_dijual";"persentase_utp_sebagian_besar_dikonsumsi";"persentase_utp_belum_dijual"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310010] PAGA";"53";"5310";"5310010";"99.51";"0.25";"0.00";"0.25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310011] MEGO";"53";"5310";"5310011";"98.31";"0.00";"0.00";"1.69"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310012] TANA WAWO";"53";"5310";"5310012";"100.00";"0.00";"0.00";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310020] LELA";"53";"5310";"5310020";"98.75";"0.16";"0.16";"0.94"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310030] BOLA";"53";"5310";"5310030";"99.56";"0.15";"0.00";"0.29"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310031] DORENG";"53";"5310";"5310031";"99.24";"0.25";"0.25";"0.25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310032] MAPITARA";"53";"5310";"5310032";"99.55";"0.22";"0.00";"0.22"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310040] TALIBURA";"53";"5310";"5310040";"98.59";"0.32";"0.46";"0.64"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310041] WAIGETE";"53";"5310";"5310041";"98.71";"1.08";"0.07";"0.14"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310042] WAIBLAMA";"53";"5310";"5310042";"98.59";"0.38";"0.47";"0.56"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310050] KEWAPANTE";"53";"5310";"5310050";"99.18";"0.47";"0.00";"0.35"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"98.99";"0.60";"0.00";"0.40"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310052] KANGAE";"53";"5310";"5310052";"98.04";"1.38";"0.12";"0.46"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310061] PALUE";"53";"5310";"5310061";"99.78";"0.00";"0.07";"0.15"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310062] KOTING";"53";"5310";"5310062";"99.27";"0.24";"0.48";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310063] NELLE";"53";"5310";"5310063";"78.20";"21.30";"0.50";"0.00"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310070] NITA";"53";"5310";"5310070";"98.16";"1.62";"0.00";"0.22"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310071] MAGEPANDA";"53";"5310";"5310071";"98.48";"0.80";"0.18";"0.54"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310080] ALOK";"53";"5310";"5310080";"99.00";"0.87";"0.00";"0.12"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310081] ALOK BARAT";"53";"5310";"5310081";"90.89";"6.38";"2.51";"0.23"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"98.36";"1.01";"0.13";"0.50"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"3105";"[5310] SIKKA";"53";"5310";"5310999";"98.16";"1.23";"0.23";"0.37"
