"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"n_rtup_pelihara_ternak";"n_rtup_ternak_pelihara_sapi";"n_rtup_ternak_pelihara_sapi_potong";"n_rtup_ternak_pelihara_sapi_perah";"n_rtup_ternak_pelihara_kerbau";"n_rtup_ternak_pelihara_kerbau_potong";"n_rtup_ternak_pelihara_kerbau_perah";"n_rtup_ternak_pelihara_kuda";"n_rtup_ternak_pelihara_unta";"n_rtup_ternak_pelihara_rusa";"n_rtup_ternak_pelihara_kambing";"n_rtup_ternak_pelihara_kambing_potong";"n_rtup_ternak_pelihara_kambing_perah";"n_rtup_ternak_pelihara_domba";"n_rtup_ternak_pelihara_domba_potong";"n_rtup_ternak_pelihara_domba_perah";"n_rtup_ternak_pelihara_babi";"n_rtup_ternak_pelihara_keledai";"n_rtup_ternak_pelihara_kelinci_potong";"n_rtup_ternak_pelihara_ayam_ras_pedaging";"n_rtup_ternak_pelihara_ayam_ras_petelur";"n_rtup_ternak_pelihara_ayam_ras_pedaging_petelur";"n_rtup_ternak_pelihara_ayam_kampung";"n_rtup_ternak_pelihara_ayam_kampung_biasa";"n_rtup_ternak_pelihara_ayam_kampung_pedaging";"n_rtup_ternak_pelihara_ayam_kampung_petelur";"n_rtup_ternak_pelihara_itik";"n_rtup_ternak_pelihara_itik_petelur";"n_rtup_ternak_pelihara_itik_pedaging";"n_rtup_ternak_pelihara_itik_manila";"n_rtup_ternak_pelihara_angsa";"n_rtup_ternak_pelihara_merpati";"n_rtup_ternak_pelihara_puyuh";"n_rtup_ternak_pelihara_puyuh_petelur";"n_rtup_ternak_pelihara_puyuh_pedaging";"n_rtup_ternak_pelihara_kalkun";"n_rtup_ternak_pelihara_burung_unta";"n_rtup_ternak_pelihara_anjing";"n_rtup_ternak_pelihara_cacing";"n_rtup_ternak_pelihara_hamster";"n_rtup_ternak_pelihara_jangkrik";"n_rtup_ternak_pelihara_kucing";"n_rtup_ternak_pelihara_lebah";"n_rtup_ternak_pelihara_marmut";"n_rtup_ternak_pelihara_ulat_sutera";"n_rtup_ternak_pelihara_walet";"n_rtup_ternak_pelihara_ayam_lokal_lain";"n_rtup_ternak_pelihara_unggas_non_pangan";"n_rtup_ternak_pelihara_lainnya"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"1598";"282";"282";"0";"2";"2";"0";"11";"0";"0";"391";"391";"0";"0";"0";"0";"512";"0";"0";"2";"0";"2";"1010";"1010";"0";"0";"100";"0";"0";"100";"1";"0";"0";"0";"0";"0";"0";"476";"0";"0";"0";"43";"0";"0";"0";"1";"3";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"1768";"437";"437";"0";"27";"27";"0";"31";"0";"0";"625";"625";"0";"0";"0";"0";"582";"0";"0";"3";"0";"3";"1148";"1148";"0";"0";"46";"0";"0";"46";"0";"1";"0";"0";"0";"0";"0";"639";"0";"0";"0";"31";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"1333";"338";"338";"0";"2";"2";"0";"11";"0";"0";"542";"542";"0";"0";"0";"0";"401";"0";"0";"0";"0";"0";"796";"796";"0";"0";"23";"0";"0";"23";"0";"0";"0";"0";"0";"0";"0";"604";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"1397";"124";"124";"0";"0";"0";"0";"24";"0";"0";"631";"631";"0";"0";"0";"0";"496";"0";"0";"3";"1";"4";"1057";"1057";"0";"0";"26";"0";"0";"26";"0";"0";"0";"0";"0";"0";"0";"472";"0";"0";"0";"67";"0";"0";"0";"0";"3";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"1813";"287";"287";"0";"0";"0";"0";"2";"0";"0";"438";"438";"0";"0";"0";"0";"858";"0";"0";"1";"0";"1";"1444";"1444";"0";"0";"21";"0";"0";"21";"0";"3";"0";"0";"0";"1";"0";"927";"0";"0";"0";"461";"0";"0";"0";"0";"4";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"1712";"249";"249";"0";"0";"0";"0";"7";"0";"0";"312";"312";"0";"0";"0";"0";"670";"0";"0";"1";"0";"1";"1391";"1391";"0";"0";"9";"0";"0";"9";"0";"1";"0";"0";"0";"0";"0";"819";"0";"0";"0";"231";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"959";"206";"206";"0";"0";"0";"0";"30";"0";"0";"368";"368";"0";"0";"0";"0";"463";"0";"0";"0";"0";"0";"514";"514";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"305";"0";"0";"0";"15";"0";"0";"0";"0";"20";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"3115";"775";"775";"0";"0";"0";"0";"2";"0";"0";"837";"837";"0";"0";"0";"0";"1178";"0";"0";"2";"1";"3";"1945";"1945";"0";"0";"44";"0";"0";"44";"0";"0";"0";"0";"0";"0";"0";"1140";"0";"0";"0";"337";"0";"0";"0";"1";"12";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"3723";"503";"503";"0";"0";"0";"0";"11";"0";"0";"928";"928";"0";"0";"0";"0";"1048";"0";"0";"4";"2";"6";"2870";"2870";"0";"0";"53";"0";"0";"53";"0";"1";"0";"0";"0";"0";"0";"1449";"0";"0";"0";"416";"1";"0";"0";"0";"11";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"834";"154";"154";"0";"1";"1";"0";"0";"0";"0";"282";"282";"0";"0";"0";"0";"349";"0";"0";"0";"0";"0";"412";"412";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"150";"0";"0";"0";"4";"0";"0";"0";"0";"6";"0";"0"
