"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_selain_ternak_besar_tujuan_pengembangbiakan";"n_utp_selain_ternak_besar_tujuan_penggemukan";"n_utp_selain_ternak_besar_tujuan_pembibitan";"n_utp_selain_ternak_besar_tujuan_pembesaran";"n_utp_selain_ternak_besar_tujuan_produksi";"jumlah";"n_utp_usaha_selain_ternak_besar"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310010] PAGA";"53";"5310";"5310010";"949";"0";"0";"0";"0";"949";"949"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310011] MEGO";"53";"5310";"5310011";"1127";"0";"0";"0";"0";"1127";"1127"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310012] TANA WAWO";"53";"5310";"5310012";"779";"0";"0";"0";"0";"779";"779"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310020] LELA";"53";"5310";"5310020";"986";"0";"0";"0";"0";"986";"986"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310030] BOLA";"53";"5310";"5310030";"1025";"0";"0";"0";"0";"1025";"1025"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310031] DORENG";"53";"5310";"5310031";"1369";"0";"0";"0";"0";"1369";"1369"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310032] MAPITARA";"53";"5310";"5310032";"354";"0";"0";"0";"0";"354";"354"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310040] TALIBURA";"53";"5310";"5310040";"1904";"0";"0";"0";"0";"1904";"1904"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310041] WAIGETE";"53";"5310";"5310041";"2556";"0";"0";"0";"0";"2556";"2556"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310042] WAIBLAMA";"53";"5310";"5310042";"397";"0";"0";"0";"0";"397";"397"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310050] KEWAPANTE";"53";"5310";"5310050";"1050";"0";"0";"0";"0";"1050";"1050"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1247";"0";"0";"0";"0";"1247";"1247"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310052] KANGAE";"53";"5310";"5310052";"2248";"0";"0";"0";"0";"2248";"2248"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310061] PALUE";"53";"5310";"5310061";"276";"0";"0";"0";"0";"276";"276"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310062] KOTING";"53";"5310";"5310062";"592";"0";"0";"0";"0";"592";"592"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310063] NELLE";"53";"5310";"5310063";"645";"0";"0";"0";"0";"645";"645"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310070] NITA";"53";"5310";"5310070";"1645";"0";"0";"0";"0";"1645";"1645"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310071] MAGEPANDA";"53";"5310";"5310071";"974";"0";"0";"0";"0";"974";"974"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310080] ALOK";"53";"5310";"5310080";"710";"0";"0";"0";"0";"710";"710"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310081] ALOK BARAT";"53";"5310";"5310081";"729";"0";"0";"0";"0";"729";"729"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"1144";"0";"0";"0";"0";"1144";"1144"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4301";"[5310] SIKKA";"53";"5310";"5310999";"22706";"0";"0";"0";"0";"22706";"22706"
