"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_rtup_usaha_ternak_besar_produksi_daging";"n_rtup_usaha_ternak_besar_produksi_susu_segar";"n_rtup_usaha_ternak_besar_produksi_telur_konsumsi";"n_rtup_usaha_ternak_besar_produksi_telur_tetas";"n_rtup_usaha_ternak_besar_produksi_semen_ternak";"n_rtup_usaha_ternak_besar_produksi_embrio";"n_rtup_usaha_ternak_besar_produksi_madu";"n_rtup_usaha_ternak_besar_produksi_liur_atau_sarang";"n_rtup_usaha_ternak_besar_produksi_bulu";"n_rtup_usaha_ternak_besar_produksi_kepompong";"n_rtup_usaha_ternak_besar_produksi_kulit";"n_rtup_usaha_ternak_besar_produksi_lilin_malam";"jumlah";"n_rtup_usaha_ternak_besar"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310010] PAGA";"53";"5310";"5310010";"268";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"268";"268"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310011] MEGO";"53";"5310";"5310011";"437";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"437";"437"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310012] TANA WAWO";"53";"5310";"5310012";"338";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"338";"338"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310020] LELA";"53";"5310";"5310020";"113";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"113";"113"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310030] BOLA";"53";"5310";"5310030";"215";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"215";"215"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310031] DORENG";"53";"5310";"5310031";"219";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"219";"219"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310032] MAPITARA";"53";"5310";"5310032";"164";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"164";"164"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310040] TALIBURA";"53";"5310";"5310040";"741";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"741";"741"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310041] WAIGETE";"53";"5310";"5310041";"410";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"410";"410"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310042] WAIBLAMA";"53";"5310";"5310042";"152";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"152";"152"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310050] KEWAPANTE";"53";"5310";"5310050";"211";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"211";"211"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"35";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"35";"35"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310052] KANGAE";"53";"5310";"5310052";"326";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"326";"326"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310062] KOTING";"53";"5310";"5310062";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"8"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310063] NELLE";"53";"5310";"5310063";"22";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22";"22"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310070] NITA";"53";"5310";"5310070";"49";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"49";"49"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310071] MAGEPANDA";"53";"5310";"5310071";"390";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"390";"390"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310080] ALOK";"53";"5310";"5310080";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310081] ALOK BARAT";"53";"5310";"5310081";"199";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"199";"199"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"119";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"119";"119"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"4104";"[5310] SIKKA";"53";"5310";"5310999";"4427";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4427";"4427"
