"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"rerata_jml_ternak_sapi_diusahakan_utp";"rerata_jml_ternak_sapi_potong_diusahakan_utp";"rerata_jml_ternak_sapi_perah_diusahakan_utp";"rerata_jml_ternak_kerbau_diusahakan_utp";"rerata_jml_ternak_kerbau_potong_diusahakan_utp";"rerata_jml_ternak_kerbau_perah_diusahakan_utp";"rerata_jml_ternak_kuda_diusahakan_utp";"rerata_jml_ternak_unta_diusahakan_utp";"rerata_jml_ternak_rusa_diusahakan_utp";"rerata_jml_ternak_kambing_diusahakan_utp";"rerata_jml_ternak_kambing_potong_diusahakan_utp";"rerata_jml_ternak_kambing_perah_diusahakan_utp";"rerata_jml_ternak_domba_diusahakan_utp";"rerata_jml_ternak_domba_potong_diusahakan_utp";"rerata_jml_ternak_domba_perah_diusahakan_utp";"rerata_jml_ternak_babi_diusahakan_utp";"rerata_jml_ternak_keledai_diusahakan_utp";"rerata_jml_ternak_kelinci_potong_diusahakan_utp";"rerata_jml_ternak_ayam_ras_pedaging_diusahakan_utp";"rerata_jml_ternak_ayam_ras_petelur_diusahakan_utp";"rerata_jml_ternak_ayam_ras_pedaging_petelur_diusahakan_utp";"rerata_jml_ternak_ayam_kampung_diusahakan_utp";"rerata_jml_ternak_ayam_kampung_biasa_diusahakan_utp";"rerata_jml_ternak_ayam_kampung_pedaging_diusahakan_utp";"rerata_jml_ternak_ayam_kampung_petelur_diusahakan_utp";"rerata_jml_ternak_itik_diusahakan_utp";"rerata_jml_ternak_itik_petelur_diusahakan_utp";"rerata_jml_ternak_itik_pedaging_diusahakan_utp";"rerata_jml_ternak_itik_manila_diusahakan_utp";"rerata_jml_ternak_angsa_diusahakan_utp";"rerata_jml_ternak_merpati_diusahakan_utp";"rerata_jml_ternak_puyuh_diusahakan_utp";"rerata_jml_ternak_puyuh_petelur_diusahakan_utp";"rerata_jml_ternak_puyuh_pedaging_diusahakan_utp";"rerata_jml_ternak_kalkun_diusahakan_utp";"rerata_jml_ternak_burung_unta_diusahakan_utp";"rerata_jml_ternak_anjing_diusahakan_utp";"rerata_jml_ternak_cacing_diusahakan_utp";"rerata_jml_ternak_hamster_diusahakan_utp";"rerata_jml_ternak_jangkrik_diusahakan_utp";"rerata_jml_ternak_kucing_diusahakan_utp";"rerata_jml_ternak_lebah_diusahakan_utp";"rerata_jml_ternak_marmut_diusahakan_utp";"rerata_jml_ternak_ulat_sutera_diusahakan_utp";"rerata_jml_ternak_walet_diusahakan_utp";"rerata_jml_ternak_ayam_lokal_lain_diusahakan_utp";"rerata_jml_ternak_unggas_non_pangan_diusahakan_utp";"rerata_jml_ternak_lainnya_diusahakan_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"3";"3";"0";"3";"3";"0";"2";"0";"0";"3";"3";"0";"0";"0";"0";"2";"0";"0";"308";"0";"308";"9";"9";"0";"0";"7";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"56";"11";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"3";"3";"0";"3";"3";"0";"2";"0";"0";"3";"3";"0";"0";"0";"0";"2";"0";"0";"3234";"0";"3234";"7";"7";"0";"0";"5";"0";"0";"5";"0";"3";"0";"0";"0";"0";"0";"2";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"2";"2";"0";"1";"1";"0";"2";"0";"0";"3";"3";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"9";"9";"0";"0";"6";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"11";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"3";"3";"0";"0";"0";"0";"2";"0";"0";"3";"3";"0";"0";"0";"0";"2";"0";"0";"4010";"200";"3058";"10";"10";"0";"0";"5";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"3";"0";"0";"0";"0";"19";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"2";"2";"0";"0";"0";"0";"6";"0";"0";"3";"3";"0";"0";"0";"0";"2";"0";"0";"10";"0";"10";"9";"9";"0";"0";"6";"0";"0";"6";"0";"60";"0";"0";"0";"0";"0";"4";"0";"0";"0";"8";"0";"0";"0";"0";"6";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"2";"2";"0";"0";"0";"0";"1";"0";"0";"3";"3";"0";"0";"0";"0";"3";"0";"0";"70";"0";"70";"10";"10";"0";"0";"4";"0";"0";"4";"0";"3";"0";"0";"0";"0";"0";"3";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"3";"3";"0";"0";"0";"0";"2";"0";"0";"5";"5";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"10";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"3";"3";"0";"0";"0";"0";"1";"0";"0";"3";"3";"0";"0";"0";"0";"3";"0";"0";"250";"100";"200";"8";"8";"0";"0";"7";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"2";"0";"0";"0";"110";"15";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"3";"3";"0";"0";"0";"0";"2";"0";"0";"3";"3";"0";"0";"0";"0";"2";"0";"0";"1828";"200";"1285";"11";"11";"0";"0";"7";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"5";"0";"0";"0";"16";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"3";"3";"0";"1";"1";"0";"0";"0";"0";"3";"3";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"11";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0"
