"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"populasi_ternak_betina_dewasa_sapi_dipelihara_rtup";"populasi_ternak_betina_dewasa_sapi_potong_dipelihara_rtup";"populasi_ternak_betina_dewasa_sapi_perah_dipelihara_rtup";"populasi_ternak_betina_dewasa_kerbau_dipelihara_rtup";"populasi_ternak_betina_dewasa_kerbau_potong_dipelihara_rtup";"populasi_ternak_betina_dewasa_kerbau_perah_dipelihara_rtup";"populasi_ternak_betina_dewasa_kuda_dipelihara_rtup";"populasi_ternak_betina_dewasa_unta_dipelihara_rtup";"populasi_ternak_betina_dewasa_rusa_dipelihara_rtup";"populasi_ternak_betina_dewasa_kambing_dipelihara_rtup";"populasi_ternak_betina_dewasa_kambing_potong_dipelihara_rtup";"populasi_ternak_betina_dewasa_kambing_perah_dipelihara_rtup";"populasi_ternak_betina_dewasa_domba_dipelihara_rtup";"populasi_ternak_betina_dewasa_domba_potong_dipelihara_rtup";"populasi_ternak_betina_dewasa_domba_perah_dipelihara_rtup";"populasi_ternak_betina_dewasa_babi_dipelihara_rtup";"populasi_ternak_betina_dewasa_keledai_dipelihara_rtup";"populasi_ternak_betina_dewasa_kelinci_potong_dipelihara_rtup";"populasi_ternak_betina_dewasa_ayam_ras_pedaging_dipelihara_rtup";"populasi_ternak_betina_dewasa_ayam_ras_petelur_dipelihara_rtup";"populasi_ternak_betina_dewasa_ayam_ras_pedaging_petelur_dipelihara_rtup";"populasi_ternak_betina_dewasa_ayam_kampung_dipelihara_rtup";"populasi_ternak_betina_dewasa_ayam_kampung_biasa_dipelihara_rtup";"populasi_ternak_betina_dewasa_ayam_kampung_pedaging_dipelihara_rtup";"populasi_ternak_betina_dewasa_ayam_kampung_petelur_dipelihara_rtup";"populasi_ternak_betina_dewasa_itik_dipelihara_rtup";"populasi_ternak_betina_dewasa_itik_petelur_dipelihara_rtup";"populasi_ternak_betina_dewasa_itik_pedaging_dipelihara_rtup";"populasi_ternak_betina_dewasa_itik_manila_dipelihara_rtup";"populasi_ternak_betina_dewasa_angsa_dipelihara_rtup";"populasi_ternak_betina_dewasa_merpati_dipelihara_rtup";"populasi_ternak_betina_dewasa_puyuh_dipelihara_rtup";"populasi_ternak_betina_dewasa_puyuh_petelur_dipelihara_rtup";"populasi_ternak_betina_dewasa_puyuh_pedaging_dipelihara_rtup";"populasi_ternak_betina_dewasa_kalkun_dipelihara_rtup";"populasi_ternak_betina_dewasa_burung_unta_dipelihara_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"323";"323";"0";"3";"3";"0";"10";"0";"0";"570";"570";"0";"0";"0";"0";"438";"0";"0";"15";"0";"15";"3226";"3226";"0";"0";"267";"0";"0";"267";"1";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"482";"482";"0";"32";"32";"0";"26";"0";"0";"940";"940";"0";"0";"0";"0";"612";"0";"0";"5700";"0";"5700";"3671";"3671";"0";"0";"114";"0";"0";"114";"0";"1";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"436";"436";"0";"2";"2";"0";"12";"0";"0";"802";"802";"0";"0";"0";"0";"440";"0";"0";"0";"0";"0";"2265";"2265";"0";"0";"61";"0";"0";"61";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"136";"136";"0";"0";"0";"0";"18";"0";"0";"1139";"1139";"0";"0";"0";"0";"468";"0";"0";"6011";"200";"6211";"3807";"3807";"0";"0";"55";"0";"0";"55";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"322";"322";"0";"0";"0";"0";"1";"0";"0";"644";"644";"0";"0";"0";"0";"735";"0";"0";"10";"0";"10";"4519";"4519";"0";"0";"53";"0";"0";"53";"0";"44";"0";"0";"0";"1";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"277";"277";"0";"0";"0";"0";"4";"0";"0";"421";"421";"0";"0";"0";"0";"583";"0";"0";"15";"0";"15";"4075";"4075";"0";"0";"10";"0";"0";"10";"0";"2";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"222";"222";"0";"0";"0";"0";"22";"0";"0";"563";"563";"0";"0";"0";"0";"425";"0";"0";"0";"0";"0";"1375";"1375";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"1137";"1137";"0";"0";"0";"0";"0";"0";"0";"1420";"1420";"0";"0";"0";"0";"1251";"0";"0";"60";"100";"160";"6441";"6441";"0";"0";"109";"0";"0";"109";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"637";"637";"0";"0";"0";"0";"11";"0";"0";"1509";"1509";"0";"0";"0";"0";"1033";"0";"0";"4163";"400";"4563";"9557";"9557";"0";"0";"172";"0";"0";"172";"0";"1";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"146";"146";"0";"0";"0";"0";"0";"0";"0";"433";"433";"0";"0";"0";"0";"405";"0";"0";"0";"0";"0";"1908";"1908";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"269";"269";"0";"0";"0";"0";"5";"0";"0";"569";"569";"0";"0";"0";"0";"654";"0";"0";"0";"10";"10";"3919";"3919";"0";"0";"70";"0";"0";"70";"1";"1";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"34";"34";"0";"0";"0";"0";"2";"0";"0";"357";"357";"0";"0";"0";"0";"369";"0";"0";"0";"0";"0";"4313";"4313";"0";"0";"15";"0";"0";"15";"0";"1";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"397";"397";"0";"0";"0";"0";"20";"0";"0";"1042";"1042";"0";"0";"0";"0";"1170";"0";"0";"2880";"100";"2980";"9041";"9041";"0";"0";"201";"0";"0";"201";"0";"5";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0";"0";"0";"0";"0";"297";"297";"0";"0";"0";"0";"358";"0";"0";"0";"0";"0";"2492";"2492";"0";"0";"16";"0";"0";"16";"0";"4";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"14";"14";"0";"0";"0";"0";"7";"0";"0";"347";"347";"0";"0";"0";"0";"415";"0";"0";"1000";"36";"1036";"3184";"3184";"0";"0";"39";"0";"0";"39";"0";"10";"0";"0";"0";"0";"0"
