"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"nilai_produksi_ternak_sapi_diusahakan_rtup";"nilai_produksi_ternak_sapi_potong_diusahakan_rtup";"nilai_produksi_ternak_sapi_perah_diusahakan_rtup";"nilai_produksi_ternak_kerbau_diusahakan_rtup";"nilai_produksi_ternak_kerbau_potong_diusahakan_rtup";"nilai_produksi_ternak_kerbau_perah_diusahakan_rtup";"nilai_produksi_ternak_kuda_diusahakan_rtup";"nilai_produksi_ternak_unta_diusahakan_rtup";"nilai_produksi_ternak_rusa_diusahakan_rtup";"nilai_produksi_ternak_kambing_diusahakan_rtup";"nilai_produksi_ternak_kambing_potong_diusahakan_rtup";"nilai_produksi_ternak_kambing_perah_diusahakan_rtup";"nilai_produksi_ternak_domba_diusahakan_rtup";"nilai_produksi_ternak_domba_potong_diusahakan_rtup";"nilai_produksi_ternak_domba_perah_diusahakan_rtup";"nilai_produksi_ternak_babi_diusahakan_rtup";"nilai_produksi_ternak_keledai_diusahakan_rtup";"nilai_produksi_ternak_kelinci_potong_diusahakan_rtup";"nilai_produksi_ternak_ayam_ras_pedaging_diusahakan_rtup";"nilai_produksi_ternak_ayam_ras_petelur_diusahakan_rtup";"nilai_produksi_ternak_ayam_ras_pedaging_petelur_diusahakan_rtup";"nilai_produksi_ternak_ayam_kampung_diusahakan_rtup";"nilai_produksi_ternak_ayam_kampung_biasa_diusahakan_rtup";"nilai_produksi_ternak_ayam_kampung_pedaging_diusahakan_rtup";"nilai_produksi_ternak_ayam_kampung_petelur_diusahakan_rtup";"nilai_produksi_ternak_itik_diusahakan_rtup";"nilai_produksi_ternak_itik_petelur_diusahakan_rtup";"nilai_produksi_ternak_itik_pedaging_diusahakan_rtup";"nilai_produksi_ternak_itik_manila_diusahakan_rtup";"nilai_produksi_ternak_angsa_diusahakan_rtup";"nilai_produksi_ternak_merpati_diusahakan_rtup";"nilai_produksi_ternak_puyuh_diusahakan_rtup";"nilai_produksi_ternak_puyuh_petelur_diusahakan_rtup";"nilai_produksi_ternak_puyuh_pedaging_diusahakan_rtup";"nilai_produksi_ternak_kalkun_diusahakan_rtup";"nilai_produksi_ternak_burung_unta_diusahakan_rtup";"nilai_produksi_ternak_anjing_diusahakan_rtup";"nilai_produksi_ternak_cacing_diusahakan_rtup";"nilai_produksi_ternak_hamster_diusahakan_rtup";"nilai_produksi_ternak_jangkrik_diusahakan_rtup";"nilai_produksi_ternak_kucing_diusahakan_rtup";"nilai_produksi_ternak_lebah_diusahakan_rtup";"nilai_produksi_ternak_marmut_diusahakan_rtup";"nilai_produksi_ternak_ulat_sutera_diusahakan_rtup";"nilai_produksi_ternak_walet_diusahakan_rtup";"nilai_produksi_ternak_ayam_lokal_lain_diusahakan_rtup";"nilai_produksi_ternak_unggas_non_pangan_diusahakan_rtup";"nilai_produksi_ternak_lainnya_diusahakan_rtup";"nilai_produksi_peternakan_diusahakan_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"947";"947";"0";"10";"10";"0";"21.5";"0";"0";"355.02";"355.02";"0";"0";"0";"0";"523.45";"0";"0";"82.5";"0";"82.5";"274.25";"274.25";"0";"0";"15.39";"0";"0";"15.39";"0";"0";"0";"0";"0";"0";"0";"74.3";"0";"0";"0";"0";"0";"0";"0";"27";"3";"0";"0";"2333.43"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"1535.1";"1535.1";"0";"177.67";"177.67";"0";"68";"0";"0";"266.89";"266.89";"0";"0";"0";"0";"622.41";"0";"0";"1044";"0";"1044";"202.82";"202.82";"0";"0";"3.64";"0";"0";"3.64";"0";"0";"0";"0";"0";"0";"0";"46.15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3966.71"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"871.3";"871.3";"0";"0";"0";"0";"5";"0";"0";"310.5";"310.5";"0";"0";"0";"0";"636.55";"0";"0";"0";"0";"0";"138.92";"138.92";"0";"0";"2.91";"0";"0";"2.91";"0";"0";"0";"0";"0";"0";"0";"98.12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2063.3"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"283.5";"283.5";"0";"0";"0";"0";"35.5";"0";"0";"408";"408";"0";"0";"0";"0";"345.85";"0";"0";"1425.6";"5";"1430.6";"329.3";"329.3";"0";"0";"0.95";"0";"0";"0.95";"0";"0";"0";"0";"0";"0";"0";"147";"0";"0";"0";"0";"0";"0";"0";"0";"7.2";"0";"0";"2987.91"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"574.1";"574.1";"0";"0";"0";"0";"0";"0";"0";"155.11";"155.11";"0";"0";"0";"0";"1051.05";"0";"0";"12.6";"0";"12.6";"439.89";"439.89";"0";"0";"2.73";"0";"0";"2.73";"0";"0.6";"0";"0";"0";"0";"0";"71.13";"0";"0";"0";"0.25";"0";"0";"0";"0";"1.65";"0";"0";"2309.1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"449.5";"449.5";"0";"0";"0";"0";"0";"0";"0";"120.22";"120.22";"0";"0";"0";"0";"656.25";"0";"0";"30.38";"0";"30.38";"903.92";"903.92";"0";"0";"0.2";"0";"0";"0.2";"0";"0";"0";"0";"0";"0";"0";"57.05";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2217.52"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"387.2";"387.2";"0";"0";"0";"0";"35";"0";"0";"283.25";"283.25";"0";"0";"0";"0";"510.65";"0";"0";"0";"0";"0";"107.05";"107.05";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17.05";"0";"0";"0";"0";"0";"0";"0";"0";"0.55";"0";"0";"1340.76"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"2911.92";"2911.92";"0";"0";"0";"0";"0";"0";"0";"609.99";"609.99";"0";"0";"0";"0";"2306.9";"0";"0";"28.75";"0.32";"29.07";"540.1";"540.1";"0";"0";"10.64";"0";"0";"10.64";"0";"0";"0";"0";"0";"0";"0";"119.27";"0";"0";"0";"0";"0";"0";"0";"0";"43.7";"0";"0";"6572.6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"1322.44";"1322.44";"0";"0";"0";"0";"24";"0";"0";"533.35";"533.35";"0";"0";"0";"0";"10317.45";"0";"0";"1277.07";"7.2";"1284.27";"1073.39";"1073.39";"0";"0";"9.15";"0";"0";"9.15";"0";"0";"0";"0";"0";"0";"0";"159.53";"0";"0";"0";"0";"8";"0";"0";"0";"12.29";"0";"0";"14743.89"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"7305.7";"7305.7";"0";"0";"0";"0";"0";"0";"0";"120.04";"120.04";"0";"0";"0";"0";"193.7";"0";"0";"0";"0";"0";"56.57";"56.57";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"29.7";"0";"0";"0";"0";"0";"0";"0";"0";"2.12";"0";"0";"7707.83"
