"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"rerata_produksi_ternak_sapi_diusahakan_rtup";"rerata_produksi_ternak_sapi_potong_diusahakan_rtup";"rerata_produksi_ternak_sapi_perah_diusahakan_rtup";"rerata_produksi_ternak_kerbau_diusahakan_rtup";"rerata_produksi_ternak_kerbau_potong_diusahakan_rtup";"rerata_produksi_ternak_kerbau_perah_diusahakan_rtup";"rerata_produksi_ternak_kuda_diusahakan_rtup";"rerata_produksi_ternak_unta_diusahakan_rtup";"rerata_produksi_ternak_rusa_diusahakan_rtup";"rerata_produksi_ternak_kambing_diusahakan_rtup";"rerata_produksi_ternak_kambing_potong_diusahakan_rtup";"rerata_produksi_ternak_kambing_perah_diusahakan_rtup";"rerata_produksi_ternak_domba_diusahakan_rtup";"rerata_produksi_ternak_domba_potong_diusahakan_rtup";"rerata_produksi_ternak_domba_perah_diusahakan_rtup";"rerata_produksi_ternak_babi_diusahakan_rtup";"rerata_produksi_ternak_keledai_diusahakan_rtup";"rerata_produksi_ternak_kelinci_potong_diusahakan_rtup";"rerata_produksi_ternak_ayam_ras_pedaging_diusahakan_rtup";"rerata_produksi_ternak_ayam_ras_petelur_diusahakan_rtup";"rerata_produksi_ternak_ayam_ras_pedaging_petelur_diusahakan_rtup";"rerata_produksi_ternak_ayam_kampung_diusahakan_rtup";"rerata_produksi_ternak_ayam_kampung_biasa_diusahakan_rtup";"rerata_produksi_ternak_ayam_kampung_pedaging_diusahakan_rtup";"rerata_produksi_ternak_ayam_kampung_petelur_diusahakan_rtup";"rerata_produksi_ternak_itik_diusahakan_rtup";"rerata_produksi_ternak_itik_petelur_diusahakan_rtup";"rerata_produksi_ternak_itik_pedaging_diusahakan_rtup";"rerata_produksi_ternak_itik_manila_diusahakan_rtup";"rerata_produksi_ternak_angsa_diusahakan_rtup";"rerata_produksi_ternak_merpati_diusahakan_rtup";"rerata_produksi_ternak_puyuh_diusahakan_rtup";"rerata_produksi_ternak_puyuh_petelur_diusahakan_rtup";"rerata_produksi_ternak_puyuh_pedaging_diusahakan_rtup";"rerata_produksi_ternak_kalkun_diusahakan_rtup";"rerata_produksi_ternak_burung_unta_diusahakan_rtup";"rerata_produksi_ternak_anjing_diusahakan_rtup";"rerata_produksi_ternak_cacing_diusahakan_rtup";"rerata_produksi_ternak_hamster_diusahakan_rtup";"rerata_produksi_ternak_jangkrik_diusahakan_rtup";"rerata_produksi_ternak_kucing_diusahakan_rtup";"rerata_produksi_ternak_lebah_diusahakan_rtup";"rerata_produksi_ternak_marmut_diusahakan_rtup";"rerata_produksi_ternak_ulat_sutera_diusahakan_rtup";"rerata_produksi_ternak_walet_diusahakan_rtup";"rerata_produksi_ternak_ayam_lokal_lain_diusahakan_rtup";"rerata_produksi_ternak_unggas_non_pangan_diusahakan_rtup";"rerata_produksi_ternak_lainnya_diusahakan_rtup";"rerata_produksi_peternakan_diusahakan_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"3533.59";"3533.59";"0.00";"5000.00";"5000.00";"0.00";"2150.00";"0.00";"0.00";"912.65";"912.65";"0.00";"0.00";"0.00";"0.00";"1032.45";"0.00";"0.00";"41250.00";"0.00";"41250.00";"292.08";"292.08";"0.00";"0.00";"169.12";"0.00";"0.00";"169.12";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"377.16";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"27000.00";"1000.00";"0.00";"0.00";"1555.61"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"3512.83";"3512.83";"0.00";"6580.37";"6580.37";"0.00";"2193.55";"0.00";"0.00";"427.72";"427.72";"0.00";"0.00";"0.00";"0.00";"1071.28";"0.00";"0.00";"348000.00";"0.00";"348000.00";"179.97";"179.97";"0.00";"0.00";"80.89";"0.00";"0.00";"80.89";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"74.56";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"2287.60"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"2577.81";"2577.81";"0.00";"0.00";"0.00";"0.00";"454.55";"0.00";"0.00";"573.94";"573.94";"0.00";"0.00";"0.00";"0.00";"1607.46";"0.00";"0.00";"0.00";"0.00";"0.00";"178.77";"178.77";"0.00";"0.00";"126.74";"0.00";"0.00";"126.74";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"169.76";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1583.50"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"2508.85";"2508.85";"0.00";"0.00";"0.00";"0.00";"2218.75";"0.00";"0.00";"660.20";"660.20";"0.00";"0.00";"0.00";"0.00";"734.29";"0.00";"0.00";"475200.00";"5000.00";"357650.00";"338.79";"338.79";"0.00";"0.00";"43.18";"0.00";"0.00";"43.18";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"493.29";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"2400.00";"0.00";"0.00";"2279.11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"2670.24";"2670.24";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"434.48";"434.48";"0.00";"0.00";"0.00";"0.00";"1501.50";"0.00";"0.00";"12600.00";"0.00";"12600.00";"439.00";"439.00";"0.00";"0.00";"209.62";"0.00";"0.00";"209.62";"0.00";"600.00";"0.00";"0.00";"0.00";"0.00";"0.00";"392.96";"0.00";"0.00";"0.00";"250.00";"0.00";"0.00";"0.00";"0.00";"550.00";"0.00";"0.00";"1663.61"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"2052.52";"2052.52";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"399.41";"399.41";"0.00";"0.00";"0.00";"0.00";"995.83";"0.00";"0.00";"30375.00";"0.00";"30375.00";"671.57";"671.57";"0.00";"0.00";"33.33";"0.00";"0.00";"33.33";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"226.39";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1370.54"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"2360.99";"2360.99";"0.00";"0.00";"0.00";"0.00";"1521.74";"0.00";"0.00";"953.71";"953.71";"0.00";"0.00";"0.00";"0.00";"1402.89";"0.00";"0.00";"0.00";"0.00";"0.00";"306.75";"306.75";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"218.59";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"27.50";"0.00";"0.00";"1846.78"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"3929.72";"3929.72";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"739.39";"739.39";"0.00";"0.00";"0.00";"0.00";"2013.01";"0.00";"0.00";"14375.00";"320.00";"9690.00";"293.37";"293.37";"0.00";"0.00";"247.44";"0.00";"0.00";"247.44";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"234.32";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4370.00";"0.00";"0.00";"2221.97"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"3225.48";"3225.48";"0.00";"0.00";"0.00";"0.00";"4000.00";"0.00";"0.00";"609.54";"609.54";"0.00";"0.00";"0.00";"0.00";"10453.35";"0.00";"0.00";"319267.50";"3600.00";"214045.00";"435.27";"435.27";"0.00";"0.00";"217.86";"0.00";"0.00";"217.86";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"403.88";"0.00";"0.00";"0.00";"0.00";"8000.00";"0.00";"0.00";"0.00";"1366.11";"0.00";"0.00";"4651.07"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"48063.82";"48063.82";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"438.12";"438.12";"0.00";"0.00";"0.00";"0.00";"566.37";"0.00";"0.00";"0.00";"0.00";"0.00";"143.94";"143.94";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"401.35";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"352.50";"0.00";"0.00";"9658.93"
