"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"rerata_produksi_ternak_sapi_diusahakan_utp";"rerata_produksi_ternak_sapi_potong_diusahakan_utp";"rerata_produksi_ternak_sapi_perah_diusahakan_utp";"rerata_produksi_ternak_kerbau_diusahakan_utp";"rerata_produksi_ternak_kerbau_potong_diusahakan_utp";"rerata_produksi_ternak_kerbau_perah_diusahakan_utp";"rerata_produksi_ternak_kuda_diusahakan_utp";"rerata_produksi_ternak_unta_diusahakan_utp";"rerata_produksi_ternak_rusa_diusahakan_utp";"rerata_produksi_ternak_kambing_diusahakan_utp";"rerata_produksi_ternak_kambing_potong_diusahakan_utp";"rerata_produksi_ternak_kambing_perah_diusahakan_utp";"rerata_produksi_ternak_domba_diusahakan_utp";"rerata_produksi_ternak_domba_potong_diusahakan_utp";"rerata_produksi_ternak_domba_perah_diusahakan_utp";"rerata_produksi_ternak_babi_diusahakan_utp";"rerata_produksi_ternak_keledai_diusahakan_utp";"rerata_produksi_ternak_kelinci_potong_diusahakan_utp";"rerata_produksi_ternak_ayam_ras_pedaging_diusahakan_utp";"rerata_produksi_ternak_ayam_ras_petelur_diusahakan_utp";"rerata_produksi_ternak_ayam_ras_pedaging_petelur_diusahakan_utp";"rerata_produksi_ternak_ayam_kampung_diusahakan_utp";"rerata_produksi_ternak_ayam_kampung_biasa_diusahakan_utp";"rerata_produksi_ternak_ayam_kampung_pedaging_diusahakan_utp";"rerata_produksi_ternak_ayam_kampung_petelur_diusahakan_utp";"rerata_produksi_ternak_itik_diusahakan_utp";"rerata_produksi_ternak_itik_petelur_diusahakan_utp";"rerata_produksi_ternak_itik_pedaging_diusahakan_utp";"rerata_produksi_ternak_itik_manila_diusahakan_utp";"rerata_produksi_ternak_angsa_diusahakan_utp";"rerata_produksi_ternak_merpati_diusahakan_utp";"rerata_produksi_ternak_puyuh_diusahakan_utp";"rerata_produksi_ternak_puyuh_petelur_diusahakan_utp";"rerata_produksi_ternak_puyuh_pedaging_diusahakan_utp";"rerata_produksi_ternak_kalkun_diusahakan_utp";"rerata_produksi_ternak_burung_unta_diusahakan_utp";"rerata_produksi_ternak_anjing_diusahakan_utp";"rerata_produksi_ternak_cacing_diusahakan_utp";"rerata_produksi_ternak_hamster_diusahakan_utp";"rerata_produksi_ternak_jangkrik_diusahakan_utp";"rerata_produksi_ternak_kucing_diusahakan_utp";"rerata_produksi_ternak_lebah_diusahakan_utp";"rerata_produksi_ternak_marmut_diusahakan_utp";"rerata_produksi_ternak_ulat_sutera_diusahakan_utp";"rerata_produksi_ternak_walet_diusahakan_utp";"rerata_produksi_ternak_ayam_lokal_lain_diusahakan_utp";"rerata_produksi_ternak_unggas_non_pangan_diusahakan_utp";"rerata_produksi_ternak_lainnya_diusahakan_utp";"rerata_produksi_peternakan_diusahakan_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"3520.45";"3520.45";"0.00";"5000.00";"5000.00";"0.00";"2150.00";"0.00";"0.00";"903.36";"903.36";"0.00";"0.00";"0.00";"0.00";"1022.36";"0.00";"0.00";"41250.00";"0.00";"41250.00";"289.00";"289.00";"0.00";"0.00";"167.28";"0.00";"0.00";"167.28";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"373.37";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"27000.00";"1000.00";"0.00";"0.00";"1537.17"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"3473.09";"3473.09";"0.00";"6580.37";"6580.37";"0.00";"2193.55";"0.00";"0.00";"426.35";"426.35";"0.00";"0.00";"0.00";"0.00";"1069.44";"0.00";"0.00";"348000.00";"0.00";"348000.00";"179.97";"179.97";"0.00";"0.00";"80.89";"0.00";"0.00";"80.89";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"74.56";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"2278.41"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"2577.81";"2577.81";"0.00";"0.00";"0.00";"0.00";"454.55";"0.00";"0.00";"573.94";"573.94";"0.00";"0.00";"0.00";"0.00";"1607.46";"0.00";"0.00";"0.00";"0.00";"0.00";"178.31";"178.31";"0.00";"0.00";"126.74";"0.00";"0.00";"126.74";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"169.47";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1581.07"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"2465.22";"2465.22";"0.00";"0.00";"0.00";"0.00";"2218.75";"0.00";"0.00";"652.80";"652.80";"0.00";"0.00";"0.00";"0.00";"729.64";"0.00";"0.00";"475200.00";"5000.00";"357650.00";"333.98";"333.98";"0.00";"0.00";"43.18";"0.00";"0.00";"43.18";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"490.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"2400.00";"0.00";"0.00";"2218.19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"2621.47";"2621.47";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"428.48";"428.48";"0.00";"0.00";"0.00";"0.00";"1484.54";"0.00";"0.00";"12600.00";"0.00";"12600.00";"429.15";"429.15";"0.00";"0.00";"209.62";"0.00";"0.00";"209.62";"0.00";"600.00";"0.00";"0.00";"0.00";"0.00";"0.00";"392.96";"0.00";"0.00";"0.00";"250.00";"0.00";"0.00";"0.00";"0.00";"550.00";"0.00";"0.00";"1608.01"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"2024.78";"2024.78";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"394.17";"394.17";"0.00";"0.00";"0.00";"0.00";"983.89";"0.00";"0.00";"30375.00";"0.00";"30375.00";"660.28";"660.28";"0.00";"0.00";"33.33";"0.00";"0.00";"33.33";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"226.39";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1335.06"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"2346.68";"2346.68";"0.00";"0.00";"0.00";"0.00";"1521.74";"0.00";"0.00";"950.51";"950.51";"0.00";"0.00";"0.00";"0.00";"1365.38";"0.00";"0.00";"0.00";"0.00";"0.00";"302.42";"302.42";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"218.59";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"27.50";"0.00";"0.00";"1741.25"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"3872.24";"3872.24";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"726.18";"726.18";"0.00";"0.00";"0.00";"0.00";"1992.15";"0.00";"0.00";"14375.00";"320.00";"9690.00";"283.66";"283.66";"0.00";"0.00";"247.44";"0.00";"0.00";"247.44";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"228.93";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4370.00";"0.00";"0.00";"2139.52"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"3186.62";"3186.62";"0.00";"0.00";"0.00";"0.00";"4000.00";"0.00";"0.00";"594.59";"594.59";"0.00";"0.00";"0.00";"0.00";"10245.73";"0.00";"0.00";"319267.50";"3600.00";"214045.00";"419.95";"419.95";"0.00";"0.00";"217.86";"0.00";"0.00";"217.86";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"396.85";"0.00";"0.00";"0.00";"0.00";"8000.00";"0.00";"0.00";"0.00";"1366.11";"0.00";"0.00";"4435.58"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"48063.82";"48063.82";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"436.52";"436.52";"0.00";"0.00";"0.00";"0.00";"561.45";"0.00";"0.00";"0.00";"0.00";"0.00";"142.49";"142.49";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"401.35";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"264.38";"0.00";"0.00";"9504.10"
