"id_prov";"id_kab";"id_kec";"prov";"kab";"kec";"rerata_produksi_ternak_jenis_daging_diusahakan_rtup";"rerata_produksi_ternak_jenis_susu_segar_diusahakan_rtup";"rerata_produksi_ternak_jenis_telur_konsumsi_diusahakan_rtup";"rerata_produksi_ternak_jenis_telur_tetas_diusahakan_rtup";"rerata_produksi_ternak_jenis_semen_ternak_diusahakan_rtup";"rerata_produksi_ternak_jenis_embrio_diusahakan_rtup";"rerata_produksi_ternak_jenis_madu_diusahakan_rtup";"rerata_produksi_ternak_jenis_liur_atau_sarang_diusahakan_rtup";"rerata_produksi_ternak_jenis_bulu_diusahakan_rtup";"rerata_produksi_ternak_jenis_kepompong_diusahakan_rtup";"rerata_produksi_ternak_jenis_kulit_diusahakan_rtup";"rerata_produksi_ternak_jenis_lilin_malam_diusahakan_rtup";"rerata_produksi_ternak_diusahakan_rtup"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310010] PAGA";"53";"5310";"5310010";"1534.75";"0.00";"64.91";"0.00";"0.00";"0.00";"0.00";"27000.00";"0.00";"0.00";"1200.00";"0.00";"1555.61"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310011] MEGO";"53";"5310";"5310011";"2284.80";"0.00";"402.00";"80.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"2287.60"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310012] TANA WAWO";"53";"5310";"5310012";"1583.00";"0.00";"58.36";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1583.50"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310020] LELA";"53";"5310";"5310020";"2269.34";"0.00";"468.78";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"2279.11"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310030] BOLA";"53";"5310";"5310030";"1661.33";"0.00";"41.29";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1663.61"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310031] DORENG";"53";"5310";"5310031";"1369.51";"0.00";"131.74";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1370.54"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310032] MAPITARA";"53";"5310";"5310032";"1844.71";"0.00";"101.36";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1846.78"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310040] TALIBURA";"53";"5310";"5310040";"2221.73";"0.00";"73.21";"30.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"2221.97"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310041] WAIGETE";"53";"5310";"5310041";"4642.82";"0.00";"44.85";"12.08";"0.00";"0.00";"8000.00";"0.00";"0.00";"0.00";"0.00";"0.00";"4651.07"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310042] WAIBLAMA";"53";"5310";"5310042";"9656.34";"0.00";"45.61";"200.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"9658.93"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310050] KEWAPANTE";"53";"5310";"5310050";"10794.14";"0.00";"263.00";"225.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"10782.36"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"1047.72";"0.00";"63.24";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"1048.54"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310052] KANGAE";"53";"5310";"5310052";"2317.09";"0.00";"149.63";"118.89";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"10666.67";"0.00";"2331.52"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310061] PALUE";"53";"5310";"5310061";"2557.06";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"2557.06"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310062] KOTING";"53";"5310";"5310062";"2746.65";"0.00";"268.77";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"2730.27"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310063] NELLE";"53";"5310";"5310063";"2889.36";"0.00";"10003.33";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"2924.42"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"[5310070] NITA";"53";"5310";"5310070";"3133.58";"0.00";"60.61";"66.67";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"3086.74"
